N	3gram	Tiupa_Narr_2	KulturaY
1	и т п	2	18
2	для того чтобы	1	15
3	в том что	8	15
4	с точки зрения	2	9
5	по отношению к	5	8
6	в самом деле	1	7
7	о том что	4	5
8	в зависимости от	1	5
9	в этом отношении	3	5
10	во всяком случае	1	5
11	мере в какой	2	5
12	той мере в	2	5
13	в той мере	2	5
14	до сих пор	1	4
15	не в том	1	4
16	тем не менее	4	4
17	состоит в том	4	3
18	более или менее	1	3
19	в этом смысле	1	3
20	в соответствии с	3	3
21	того или иного	3	3
22	можно было бы	1	3
23	в связи с	1	3
24	а с другой	1	3
25	не может быть	2	3
26	и того же	1	2
27	на самом деле	2	2
28	так или иначе	1	2
29	в ряде случаев	1	2
30	на мой взгляд	1	2
31	так и в	1	2
32	по большей части	3	2
33	а в том	2	2
34	то же время	3	2
35	этой точки зрения	1	2
36	одного и того	1	2
37	в то же	3	2
38	к тому что	3	2
39	в том виде	1	1
40	на том что	1	1
41	что иное как	1	1
42	в этой фразе	1	1
43	в данный момент	1	1
44	каждый из нас	1	1
45	прежде всего на	1	1
46	иметь в виду	1	1
47	никак не может	1	1
48	свидетельствует о том	1	1
49	в живой речи	1	1
50	с одной стороны	5	1
51	как раз и	1	1
52	что с точки	1	1
53	и в то	1	1
54	в отличие от	5	1
55	в строгом смысле	1	1
56	вследствие того что	1	1
57	но они не	1	1
58	на этот вопрос	1	1
59	в противном случае	1	1
60	т п все	1	1
61	с этой точки	1	1
62	позицию по отношению	1	1
63	одна из наиболее	1	1
64	тогда как в	2	1
65	едва ли не	1	1
66	не только в	6	1
67	и с точки	1	1
68	отношению к которому	1	1
69	в том смысле	1	1
70	не для того	1	1
71	не столько к	1	1
72	так же как	2	1
73	вместо того чтобы	1	1
74	в случае с	1	1
75	об этом и	1	1
76	с легкой руки	1	1
77	и все же	2	1
78	но с другой	1	1
79	по аналогии с	1	1
80	внимание на некоторые	1	1
81	что в ней	1	1
82	далеко не всегда	1	1
83	с ним было	1	1
84	было ясно что	1	1
85	и тем самым	2	1
86	в каждой из	1	1
87	той или иной	3	1
88	тем более что	1	1
89	в большинстве случаев	1	1
90	не что иное	1	1
91	все то что	2	1
92	точно так же	2	1
93	а то и	2	1
