N	3gram	Berdyaev_M_2	Russkaja
1	с точки зрения	1	9
2	в том что	2	7
3	на самом деле	1	6
4	для того чтобы	4	6
5	а между тем	1	5
6	до сих пор	3	5
7	на то что	1	4
8	не может быть	8	4
9	к которой он	1	4
10	в конце концов	1	3
11	той или иной	1	3
12	а следовательно и	1	2
13	что он не	1	2
14	в себе и	1	2
15	с самим собой	1	2
16	в этом направлении	1	2
17	в самом себе	1	2
18	о том что	2	2
19	к тому что	3	2
20	сама по себе	1	2
21	она не может	1	2
22	никогда не было	3	1
23	к ближнему и	1	1
24	не будет в	1	1
25	как бы не	1	1
26	по отношению к	2	1
27	считает себя принадлежащим	1	1
28	в этом есть	1	1
29	может быть назван	2	1
30	и есть истинная	1	1
31	в этом отношении	1	1
32	но для этого	2	1
33	ни у кого	1	1
34	в значительной степени	1	1
35	многие из нас	1	1
36	ни к какому	1	1
37	смысле этого слова	1	1
38	во имя человеколюбия	1	1
39	и должно быть	1	1
40	и в этом	3	1
41	он считает себя	1	1
42	на земле что	1	1
43	решения вопроса о	3	1
44	друг к другу	5	1
45	так же как	3	1
46	ввергнуть его в	1	1
47	и не допускает	1	1
48	к богу и	1	1
49	приводит к отрицанию	1	1
50	от того что	3	1
51	это и есть	3	1
52	у него на	1	1
53	он верит в	1	1
54	в нем самом	1	1
55	церковь не есть	1	1
56	и во всем	1	1
57	границей и на	1	1
58	только в этом	1	1
59	любви к богу	1	1
60	жизни в эпоху	1	1
61	за границей и	1	1
