N	3gram	Bakhtin_KF_1	VerxiiNi
1	вместе с тем	1	8
2	с точки зрения	9	6
3	во всяком случае	1	6
4	для того чтобы	1	5
5	тем не менее	2	3
6	в том что	2	3
7	то же самое	1	2
8	но все это	1	2
9	то или иное	2	2
10	может быть и	1	2
11	то ни было	2	2
12	бы то ни	2	2
13	то же время	2	2
14	он не имеет	1	2
15	той или иной	2	2
16	на то что	1	2
17	в то же	2	2
18	и в этом	3	2
19	влечет за собой	1	2
20	и того же	1	1
21	даже там где	1	1
22	и все же	1	1
23	не может не	1	1
24	нет в нем	1	1
25	ничем не отличаются	1	1
26	притом не только	1	1
27	по отношению к	22	1
28	имеем в виду	2	1
29	в котором он	3	1
30	в настоящее время	1	1
31	одного и того	1	1
32	ибо он не	1	1
33	в соответствии с	2	1
34	не отличаются от	1	1
35	а следовательно и	1	1
36	ввиду того что	1	1
37	из него выйти	1	1
38	и в то	1	1
39	и смерть и	1	1
40	вследствие того что	1	1
41	что в области	1	1
42	лишь постольку поскольку	1	1
43	случае мы имеем	1	1
44	этот мир не	1	1
45	но все они	1	1
46	языка это позволяет	1	1
47	не потому что	1	1
48	в первом случае	1	1
49	но в то	1	1
50	на задний план	1	1
51	смысле этого слова	1	1
52	рождение и смерть	1	1
53	потому что в	1	1
54	не в том	1	1
55	с тем или	1	1
56	с нашей точки	1	1
57	а не как	1	1
58	в разные стороны	1	1
59	не только от	1	1
60	тем или иным	1	1
61	потому только что	1	1
62	один и тот	1	1
63	не совпадает с	1	1
64	не может быть	11	1
65	к чему не	2	1
66	в свою очередь	1	1
67	в этом последнем	1	1
68	из себя не	1	1
69	ни к чему	2	1
70	если бы человек	1	1
71	но и от	1	1
72	нашей точки зрения	1	1
73	и в результате	1	1
74	и не потому	1	1
75	к нему в	4	1
76	а с точки	1	1
77	может быть в	3	1
78	что и в	1	1
79	могло бы быть	1	1
80	только тогда когда	1	1
81	и только в	2	1
82	и тот же	1	1
