N	3gram	Tiupa_Lite_3	Narrotol
1	в том что	4	8
2	с одной стороны	4	7
3	о том что	4	6
4	по отношению к	4	6
5	в том числе	3	6
6	в отличие от	5	5
7	не может быть	3	5
8	том числе и	2	4
9	в данном случае	4	4
10	к тому же	5	4
11	с другой стороны	2	4
12	той или иной	2	4
13	состоит в том	2	3
14	бы то ни	2	3
15	в этом отношении	5	3
16	то ни было	2	3
17	тем не менее	1	3
18	и тем самым	2	3
19	то же время	7	3
20	в свою очередь	1	3
21	вольно или невольно	1	3
22	в то же	7	3
23	что иное как	1	2
24	присутствия в мире	6	2
25	в той или	1	2
26	более или менее	1	2
27	подобно тому как	2	2
28	так и не	1	2
29	с точки зрения	3	2
30	ту или иную	1	2
31	тогда как в	3	2
32	в значительной степени	1	2
33	не что иное	1	2
34	не только в	2	2
35	и представляет собой	1	2
36	на первый взгляд	1	2
37	в связи с	1	2
38	этой точки зрения	1	2
39	а во втором	1	2
40	в конечном счете	1	2
41	так или иначе	2	2
42	себя в другом	2	1
43	в чистом виде	1	1
44	и другого в	2	1
45	в этом контексте	1	1
46	в противовес классической	1	1
47	в хх веке	3	1
48	как бы не	1	1
49	на самом деле	1	1
50	к себе с	1	1
51	в самом деле	2	1
52	что несмотря на	1	1
53	то же самое	2	1
54	в такого рода	2	1
55	от окружающего мира	1	1
56	в первую очередь	1	1
57	и то что	1	1
58	по аналогии с	1	1
59	в другом и	1	1
60	но это не	1	1
61	а то и	1	1
62	произведения в его	1	1
63	могли бы быть	1	1
64	может быть только	1	1
65	в мире не	2	1
66	с этой точки	1	1
67	некоторые из них	1	1
68	то что было	1	1
69	может и не	1	1
70	же время в	1	1
71	а не только	1	1
72	содержит в себе	1	1
73	в своего рода	2	1
74	другого в себе	2	1
75	быть определена как	1	1
76	и при этом	1	1
77	в этой ситуации	2	1
78	а не как	2	1
79	проблема речевых жанров	1	1
80	в мире и	1	1
81	может быть определена	1	1
82	другом и другого	1	1
83	но уже в	1	1
84	субъекта и адресата	1	1
85	в том чтобы	2	1
86	при этом и	1	1
87	никогда не бывает	1	1
88	как интенциональный объект	1	1
89	в этой системе	1	1
90	друг от друга	1	1
91	только в присутствии	1	1
92	в силу своей	1	1
93	в присутствии субъекта	1	1
94	легко может быть	1	1
95	в соответствии с	3	1
96	в какой-то мере	1	1
97	и у нас	1	1
98	на наш взгляд	1	1
99	обратим внимание на	2	1
