N	2gram	Bakhtin_Pr_3	StatiiOP
1	бориса годунова	1	34
2	и в	53	25
3	в этом	8	24
4	в том	14	20
5	что он	4	19
6	может быть	12	19
7	тем что	2	19
8	что в	2	19
9	что это	2	16
10	том что	5	15
11	в этой	1	14
12	не только	4	12
13	в его	8	12
14	то что	9	12
15	в этих	5	11
16	так что	1	11
17	таким образом	6	10
18	прежде всего	15	10
19	и не	15	10
20	у него	1	9
21	но и	7	9
22	все это	8	8
23	о том	2	8
24	это было	3	8
25	в своих	2	8
26	с этим	2	7
27	это не	6	7
28	было бы	5	7
29	в то	5	7
30	не может	2	7
31	что касается	2	7
32	точки зрения	4	7
33	место в	2	6
34	и на	18	6
35	как в	7	6
36	из этих	1	6
37	не в	2	6
38	между тем	2	6
39	только в	4	6
40	в конце	3	6
41	в области	3	6
42	в россии	1	6
43	как бы	14	6
44	а в	2	6
45	как на	1	6
46	в году	1	5
47	то же	6	5
48	независимо от	1	5
49	но в	5	5
50	он не	3	5
51	об этом	1	5
52	на почве	1	5
53	мы имеем	1	5
54	в котором	1	5
55	потому что	5	5
56	и это	3	5
57	так и	6	5
58	в них	2	5
59	отметить что	2	5
60	у шекспира	1	5
61	с другой	2	5
62	связано с	1	5
63	а не	11	5
64	другой стороны	1	5
65	например в	5	4
66	в которой	2	4
67	время как	1	4
68	из которых	1	4
69	в общем	1	4
70	относится к	1	4
71	не было	4	4
72	и к	5	4
73	в целом	1	4
74	на его	3	4
75	состоит в	1	4
76	в каждом	4	4
77	мировой литературе	2	4
78	на протяжении	5	4
79	этом смысле	1	4
80	и тем	2	4
81	в жизни	8	4
82	как и	11	4
83	в эту	3	4
84	по крайней	1	4
85	с точки	2	4
86	ничего не	6	4
87	к ней	1	4
88	этом отношении	1	4
89	связана с	2	4
90	в ней	7	4
91	и с	6	4
92	можно сказать	8	4
93	а также	4	4
94	мы видим	2	4
95	всего в	1	4
96	в качестве	1	4
97	и др	14	4
98	в начале	2	4
99	всяком случае	1	4
100	отношение к	6	4
101	крайней мере	1	4
102	в особенности	2	4
103	связь с	2	4
104	xix века	1	4
105	в смысле	2	4
106	и для	4	4
107	в отдельных	1	4
108	но это	3	4
109	сказать что	10	4
110	в своей	3	4
111	это в	1	4
112	можно назвать	2	4
113	во всяком	1	4
114	я и	1	3
115	по мнению	1	3
116	говорить о	2	3
117	подчеркнуть что	3	3
118	он был	1	3
119	с его	2	3
120	своего рода	3	3
121	кроме того	3	3
122	в творчестве	8	3
123	и наконец	2	3
124	гораздо раньше	1	3
125	все эти	9	3
126	и если	3	3
127	всех этих	1	3
128	на этом	1	3
129	о которых	1	3
130	показывает что	1	3
131	несмотря на	2	3
132	в их	2	3
133	что я	2	3
134	но он	2	3
135	и более	2	3
136	во время	1	3
137	на язык	4	3
138	на тему	1	3
139	же время	5	3
140	связи с	1	3
141	и далее	1	3
142	и здесь	1	3
143	эти темы	2	3
144	что все	1	3
145	и что	1	3
146	и его	10	3
147	вот что	2	3
148	уже не	1	3
149	уже в	2	3
150	так как	7	3
