N	2gram	Medvedev_V_1	Istorich
1	и в	26	25
2	вместе с	7	22
3	что он	4	22
4	и т	23	20
5	т д	14	18
6	может быть	22	17
7	т е	18	16
8	мы имеем	3	14
9	но и	10	13
10	не только	25	13
11	в его	14	12
12	и не	19	11
13	уже не	1	11
14	все же	5	10
15	в этом	26	10
16	тем что	1	10
17	в виде	1	9
18	и его	6	9
19	таким образом	31	9
20	его в	3	9
21	с другой	11	9
22	все эти	6	8
23	связи с	4	8
24	что в	10	8
25	с тем	3	8
26	еще не	2	8
27	на него	1	8
28	другой стороны	8	8
29	мы видим	1	8
30	и что	1	8
31	мы знаем	3	8
32	том что	8	8
33	как и	7	7
34	в качестве	11	7
35	в нем	6	7
36	с одной	2	7
37	но это	1	7
38	потому что	1	7
39	а затем	2	7
40	мы видели	3	7
41	во время	3	7
42	одной стороны	2	7
43	то что	6	7
44	при помощи	3	7
45	в частности	11	7
46	о том	10	7
47	только в	7	7
48	или в	3	6
49	не может	17	6
50	прежде всего	13	6
51	не в	6	6
52	и он	2	6
53	знаем что	2	6
54	в том	15	6
55	в этих	1	6
56	это не	7	6
57	могут быть	5	6
58	что и	3	6
59	как в	1	6
60	для нас	1	5
61	входит в	1	5
62	в него	1	5
63	так же	3	5
64	показывает что	1	5
65	в образе	2	5
66	но не	2	5
67	например в	3	5
68	видим что	1	5
69	как мы	1	5
70	с этим	3	5
71	связано с	1	5
72	в ней	2	5
73	в связи	3	4
74	из себя	2	4
75	не менее	2	4
76	а именно	1	4
77	с ним	1	4
78	что у	2	4
79	с другими	2	4
80	если не	1	4
81	в ее	4	4
82	при смерти	1	4
83	то же	10	4
84	в дальнейшем	1	4
85	в истории	1	4
86	не всегда	1	4
87	же как	2	4
88	того как	1	4
89	в которой	2	4
90	он не	2	4
91	не как	1	4
92	все это	10	4
93	в основном	5	4
94	что все	3	4
95	и это	1	4
96	в пределах	5	4
97	их в	6	3
98	и из	1	3
99	в форме	3	3
100	в более	1	3
101	после того	1	3
102	и все	1	3
103	в этой	4	3
104	примеров можно	2	3
105	затем в	1	3
106	а в	3	3
107	в свете	1	3
108	того чтобы	3	3
109	увидим ниже	1	3
110	в таких	1	3
111	в ином	1	3
112	состоит из	1	3
113	никогда не	4	3
114	они не	2	3
115	героя и	1	3
116	в целом	4	3
117	что при	2	3
118	что его	2	3
119	если в	2	3
120	в то	6	3
121	более поздних	1	3
122	для того	3	3
123	в книге	2	3
124	то это	2	3
125	в особенности	2	3
126	друг друга	1	3
127	и др	9	3
128	также что	2	3
129	о нем	1	3
130	ее и	1	3
131	на этом	1	3
132	и как	3	3
133	его не	3	3
134	в целях	2	3
135	в которых	3	3
136	на себя	1	3
137	показывают что	3	3
138	человека в	2	3
139	е в	2	3
140	в свою	1	3
141	в данном	1	3
142	в роли	1	3
143	вовсе не	3	2
144	только у	2	2
145	это одна	1	2
146	и вместе	1	2
147	представление что	1	2
148	одним из	5	2
149	эти примеры	2	2
150	вопрос о	1	2
151	мы и	1	2
152	можно сказать	4	2
153	но он	1	2
154	жизни и	3	2
155	и для	2	2
156	только тогда	1	2
157	по мере	1	2
158	отношению к	7	2
159	значит что	2	2
160	это время	1	2
161	как можно	1	2
162	на то	1	2
163	точки зрения	3	2
164	что этот	1	2
165	сих пор	1	2
166	которые его	1	2
167	здесь можно	1	2
168	даже в	5	2
169	его и	1	2
170	во всех	6	2
171	попал в	2	2
172	до сих	1	2
173	в своей	4	2
174	по себе	2	2
175	об этом	9	2
176	это происходит	1	2
177	это значит	1	2
178	то в	1	2
179	а тот	1	2
180	но для	2	2
181	все его	2	2
182	по которой	1	2
183	с этой	1	2
184	совершенно не	1	2
185	того что	3	2
186	из него	1	2
187	видели что	3	2
188	и других	1	2
189	из которых	2	2
190	по отношению	7	2
191	и сам	1	2
192	после этого	2	2
193	а как	2	2
194	он может	2	2
195	и при	5	2
196	ее в	4	2
197	тогда когда	2	2
198	несмотря на	1	2
199	видит своих	1	2
200	человека и	3	2
201	и по	3	2
202	тем это	1	2
203	на одном	1	2
204	в течение	2	2
205	говорит о	7	2
206	она не	3	2
207	же в	6	2
208	сказать что	5	2
209	один из	5	2
210	и потому	2	2
211	том как	3	2
212	и быть	2	2
213	очевидно что	7	2
214	становится понятным	1	2
215	о чем	2	2
216	это было	1	2
217	ту же	2	2
218	одна из	4	2
219	у него	6	2
220	к его	2	2
221	как у	2	2
222	когда он	3	2
223	которой он	1	2
224	данном случае	1	2
225	роль в	4	2
226	во сне	21	2
227	в различных	2	2
228	он же	5	2
229	еще в	1	2
230	это представление	1	2
231	помощи которой	1	2
