N	3gram	Tiupa_Anal_2	Hudozhes
1	в том что	6	11
2	по отношению к	4	7
3	о том что	6	7
4	так и не	4	4
5	подобно тому как	3	4
6	то же время	2	4
7	на наш взгляд	1	4
8	в то же	2	4
9	к тому что	1	4
10	а между тем	1	3
11	в самом деле	1	3
12	мы уже отмечали	1	3
13	не может быть	1	3
14	как и в	3	3
15	в конечном счете	2	3
16	ни о чем	1	3
17	с одной стороны	4	3
18	тем не менее	3	3
19	в соответствии с	2	3
20	что она не	1	2
21	состоит в том	4	2
22	составляет своего рода	1	2
23	и в этом	4	2
24	с точки зрения	2	2
25	хотя бы и	1	2
26	можно было бы	2	2
27	тогда как в	2	2
28	в этой связи	1	2
29	в данном случае	5	2
30	же самое что	1	2
31	то же самое	1	2
32	а всего лишь	1	2
33	того или иного	3	2
34	не только не	2	2
35	не только в	2	2
36	между автором и	1	2
37	к тому же	4	2
38	ее полные розовые	1	1
39	мягким взглядом очень	1	1
40	не в состоянии	1	1
41	одних и тех	1	1
42	той или иной	3	1
43	внутреннего я во	1	1
44	нет я не	1	1
45	в речи повествователя	1	1
46	мягкую белую шею	1	1
47	как раз и	1	1
48	розовые щеки на	1	1
49	самом деле не	1	1
50	добродушная жалостливая барышня	1	1
51	о свободе воли	2	1
52	взглядом очень здоровая	1	1
53	в первом эпизоде	1	1
54	со стороны других	1	1
55	так она подхваченная	1	1
56	между тем как	1	1
57	в этом отношении	3	1
58	присутствия в мире	2	1
59	и тех же	1	1
60	с самим собою	1	1
61	точно так же	1	1
62	с самим собой	1	1
63	как будто он	1	1
64	бы постепенно снята	1	1
65	тому же в	1	1
66	была бы постепенно	1	1
67	то и другое	1	1
68	в таком случае	2	1
69	темной родинкой и	1	1
70	и то что	2	1
71	щеки на мягкую	1	1
72	обнаруживает себя в	2	1
73	тут не в	1	1
74	полные розовые щеки	1	1
75	в значительной степени	2	1
76	едва ли не	2	1
77	в этом контексте	2	1
78	приводит к тому	1	1
79	в самом начале	3	1
80	это своего рода	1	1
81	в противоречие с	1	1
82	что душевная характеристика	1	1
83	то все они	1	1
84	из виду что	1	1
85	недуховность была бы	1	1
86	в следующем эпизоде	1	1
87	то что она	1	1
88	барышня с кротким	1	1
89	в состоянии заменить	1	1
90	и все его	1	1
91	общей художественной концепции	1	1
92	героя и читателя	1	1
93	который всегда говорит	1	1
94	с действительной жизнью	1	1
95	имеем дело с	1	1
96	не только для	1	1
97	так или иначе	1	1
98	но и его	1	1
99	белую шею с	1	1
100	байрон я другой	1	1
101	для общей художественной	1	1
102	говоря словами гегеля	1	1
103	никоим образом не	1	1
104	с кротким мягким	1	1
105	с другой стороны	2	1
106	иной эстетической природы	1	1
107	не оставляет места	1	1
108	я не байрон	1	1
109	казалось бы место	1	1
110	снята а так	1	1
111	содержит в себе	3	1
112	внешней и внутренней	1	1
113	а в том	1	1
114	мы вынуждены будем	1	1
115	нельзя сказать что	1	1
116	это была тихая	1	1
117	определений таков что	1	1
118	духовность предшествующих характеристик	1	1
119	постепенно снята а	1	1
120	себе как о	1	1
121	заключается в том	1	1
122	глядя на ее	1	1
123	в своего рода	1	1
124	в этом случае	4	1
125	на жизнь и	1	1
126	с темной родинкой	1	1
127	упускать из виду	1	1
128	и в самом	2	1
129	но и для	1	1
130	кротким мягким взглядом	1	1
131	которому казалось бы	1	1
132	отсылает нас к	1	1
133	жалостливая барышня с	1	1
134	можно сказать что	1	1
135	сразу же после	1	1
136	таков что душевная	1	1
137	на мягкую белую	1	1
138	о себе как	1	1
139	была тихая добродушная	1	1
140	не случайно при	1	1
141	его недуховность была	1	1
142	тихая добродушная жалостливая	1	1
143	не байрон я	1	1
144	в этой плоскости	1	1
145	в ответ на	2	1
146	мы имеем дело	3	1
147	между я и	1	1
148	на ее полные	1	1
149	смерти не случайно	1	1
150	о том же	1	1
151	а так она	1	1
152	в художественном тексте	1	1
153	в немалой степени	1	1
154	обратим внимание на	1	1
155	шею с темной	1	1
156	мотивом смерти не	1	1
