N	2gram	Medvedev_F_3	Poddanst
1	не только	9	17
2	и в	27	14
3	и не	30	12
4	в области	2	11
5	в этом	18	10
6	в отношении	2	10
7	в качестве	1	9
8	но в	6	9
9	то же	15	9
10	в том	7	9
11	в пределах	8	8
12	хотя бы	6	8
13	только в	8	7
14	в то	7	7
15	же время	7	7
16	в ней	5	6
17	было бы	6	6
18	е с	2	6
19	но и	10	6
20	в смысле	4	6
21	отношении к	1	5
22	в которых	3	5
23	с другой	6	5
24	может быть	25	5
25	и пр	15	5
26	не в	12	5
27	и о	1	5
28	если бы	12	4
29	россии и	2	4
30	в своем	2	4
31	как бы	8	4
32	и если	1	4
33	том что	4	4
34	не может	24	4
35	и потому	5	4
36	в котором	2	4
37	по себе	4	4
38	что в	8	4
39	мы должны	2	4
40	же в	1	4
41	а в	1	4
42	то что	8	4
43	и т	11	3
44	мы не	4	3
45	сводится к	5	3
46	столь же	3	3
47	между тем	7	3
48	это не	3	3
49	хотя и	1	3
50	и как	4	3
51	тот же	1	3
52	с одной	1	3
53	в себе	3	3
54	в нем	15	3
55	сами по	2	3
56	в россии	2	3
57	для того	4	3
58	прежде всего	4	3
59	одной стороны	1	3
60	с тем	7	3
61	что мы	1	3
62	с точки	14	3
63	но не	5	3
64	она есть	3	3
65	могут быть	4	3
66	т е	32	3
67	тем самым	1	3
68	потому что	7	3
69	точки зрения	16	3
70	я и	1	3
71	и это	2	2
72	отношения к	2	2
73	в ее	4	2
74	переход от	1	2
75	в мире	1	2
76	есть не	1	2
77	начала и	1	2
78	является в	2	2
79	одних и	1	2
80	никак не	3	2
81	время в	3	2
82	в значительной	1	2
83	во всех	3	2
84	говорить о	2	2
85	в общем	2	2
86	со стороны	4	2
87	отнюдь не	8	2
88	с этим	1	2
89	того что	3	2
90	стороны и	2	2
91	бы ни	4	2
92	есть в	1	2
93	в начале	1	2
94	главным образом	2	2
95	и других	1	2
96	в его	7	2
97	из них	2	2
98	потому в	1	2
99	не к	1	2
100	как раз	8	2
101	где в	1	2
102	и с	3	2
103	именно в	1	2
104	и тем	3	2
105	в жизни	11	2
106	в определенную	1	2
107	для них	7	2
108	в них	3	2
109	не было	1	2
110	а не	17	2
111	должно быть	1	2
112	нужно было	1	2
113	в эту	2	2
114	творчества и	3	2
115	друг другу	2	2
116	не менее	7	2
117	все это	7	2
118	не о	3	2
119	на этих	1	2
120	одна из	2	2
121	да и	4	2
122	в полной	2	2
123	еще более	1	2
124	для нас	3	2
125	в русскую	2	2
126	может и	3	2
127	в частности	1	2
128	так называемые	2	2
129	том числе	1	2
130	от этой	1	1
131	также что	1	1
132	же как	3	1
133	теми кто	1	1
134	с другом	1	1
135	и через	1	1
136	и то	1	1
137	тем и	1	1
138	как известно	1	1
139	на основе	1	1
140	как по	1	1
141	тем же	7	1
142	и этим	1	1
143	в себя	1	1
144	из предшествующего	1	1
145	идет речь	1	1
146	в рамки	2	1
147	должна быть	3	1
148	собственном смысле	1	1
149	те же	3	1
150	не с	1	1
151	быть разрешена	1	1
152	еще в	3	1
153	что уже	2	1
154	в эпоху	3	1
155	для этого	2	1
156	в собственном	1	1
157	ними как	1	1
158	оно есть	1	1
159	с ее	2	1
160	и ее	6	1
161	именно потому	2	1
162	мы и	3	1
163	и здесь	1	1
164	видение и	3	1
165	настоящее время	1	1
166	и что	3	1
167	литературы и	3	1
168	притом в	2	1
169	как таковые	1	1
170	еще не	6	1
171	и на	3	1
172	он был	4	1
173	и силы	1	1
174	и который	1	1
175	оно ни	1	1
176	с его	2	1
177	связь между	4	1
178	два явления	1	1
179	увидеть и	2	1
180	и необходимы	1	1
181	что и	2	1
182	возникновении и	1	1
183	отличие от	2	1
184	современности и	1	1
185	в стадии	1	1
186	не просто	1	1
187	и чем	1	1
188	в истории	5	1
189	не входят	1	1
190	и мир	2	1
191	вот как	2	1
192	эта проблема	1	1
193	оставаясь в	1	1
194	в современной	1	1
195	все же	6	1
196	не два	1	1
197	наше сознание	1	1
198	мы видим	1	1
199	в какой	3	1
200	с определенной	1	1
201	должен быть	2	1
202	не связаны	1	1
203	ее современных	1	1
204	может оказаться	1	1
205	в самом	11	1
206	только то	3	1
207	в условиях	3	1
208	значение если	1	1
209	во времени	1	1
210	бы и	3	1
211	что это	3	1
212	технике в	1	1
213	формы в	3	1
214	у каждого	1	1
215	из этих	2	1
216	тот или	1	1
217	если мы	7	1
218	именно на	2	1
219	в эти	1	1
220	человека с	1	1
221	себя в	1	1
222	оказывается в	1	1
223	переходит в	2	1
224	что его	1	1
225	только один	2	1
226	наша задача	1	1
227	сливаются в	3	1
228	уже в	4	1
229	говорить об	2	1
230	в большинстве	4	1
231	только на	4	1
232	на то	1	1
233	если он	1	1
234	положение что	1	1
235	взятые в	1	1
236	не могла	1	1
237	в определенном	1	1
238	т д	6	1
239	только к	1	1
240	соприкасается с	1	1
241	мы знаем	4	1
242	одно из	1	1
243	не как	2	1
244	и должна	1	1
245	друг друга	5	1
246	мы можем	4	1
247	и только	2	1
248	какой бы	2	1
249	и по	1	1
250	дело идет	3	1
251	одно и	1	1
252	в каждом	5	1
253	из двух	1	1
254	без того	1	1
255	ней и	1	1
256	или иной	2	1
257	большинстве случаев	5	1
258	ясно что	3	1
259	его в	7	1
260	е к	1	1
261	связаны с	2	1
262	и тех	2	1
263	и иных	1	1
264	совершенно ясно	1	1
265	и быть	1	1
266	в природе	1	1
267	бы нас	1	1
268	в наш	1	1
269	в это	1	1
270	в ином	1	1
271	к более	2	1
272	из нее	2	1
273	наоборот на	1	1
274	в этой	2	1
275	как и	14	1
276	которых совершается	1	1
277	как ни	1	1
278	технических средств	1	1
279	в развитии	1	1
280	не об	2	1
281	нисколько не	2	1
282	подходя к	1	1
283	бы оно	1	1
284	в творчестве	1	1
285	и теми	1	1
286	и при	1	1
287	работы в	1	1
288	в которые	1	1
289	это ощущение	1	1
290	так же	9	1
291	всяком случае	6	1
292	к предмету	1	1
293	что именно	5	1
294	место в	10	1
295	в идеологическом	5	1
296	не произведения	1	1
297	в отличие	2	1
298	знаем что	2	1
299	в данном	6	1
300	он будет	1	1
301	можно говорить	4	1
302	теми же	1	1
303	в отдельности	1	1
304	эти последние	1	1
305	и эти	1	1
306	отдельности и	1	1
307	и более	3	1
308	там где	7	1
309	друг с	1	1
310	существенно и	1	1
311	распадается на	2	1
312	ее части	1	1
313	может идти	1	1
314	к следующему	1	1
315	ни были	1	1
316	как проблема	1	1
317	и очень	2	1
318	от тех	1	1
319	нет никакого	1	1
320	в формах	2	1
321	в основном	2	1
322	xviii века	2	1
323	что эта	1	1
324	она не	4	1
325	входят в	1	1
326	но для	2	1
327	тогда когда	4	1
328	этом смысле	2	1
329	она должна	2	1
330	и глубины	1	1
331	исторической и	1	1
332	того чтобы	5	1
333	проблема и	2	1
334	та или	1	1
335	эта задача	1	1
336	она может	1	1
337	никогда не	5	1
338	в результате	5	1
339	пространство в	1	1
340	о котором	1	1
341	в настоящее	1	1
342	значение без	1	1
343	масс и	1	1
344	находятся в	2	1
345	пр в	1	1
346	это сделать	1	1
347	и притом	2	1
348	что жизнь	3	1
349	как она	1	1
350	среды в	1	1
351	в наши	1	1
352	другой стороны	5	1
353	пр при	1	1
354	и теперь	6	1
355	в этих	3	1
356	можно рассматривать	1	1
357	в случаях	1	1
358	теория исторического	1	1
359	значило бы	1	1
360	на фоне	3	1
361	сборника не	1	1
362	промежуток времени	1	1
363	нет ничего	1	1
364	в каком	2	1
365	в философии	2	1
366	и внутренне	1	1
367	именно о	1	1
368	в момент	1	1
369	является и	2	1
370	и именно	2	1
371	следующему в	1	1
372	этом не	1	1
373	в других	1	1
374	ни к	1	1
375	числе и	1	1
376	мы все	1	1
377	частности в	1	1
378	к сожалению	1	1
379	не есть	4	1
380	вместе с	6	1
381	это в	1	1
382	темы и	2	1
383	что при	1	1
384	во всяком	6	1
385	ее место	1	1
386	они не	4	1
