N	2gram	Medvedev_V_1	StatiiOP
1	и в	2	25
2	в этом	1	24
3	в том	2	20
4	том что	2	15
5	и не	1	10
6	все это	1	8
7	только в	1	6
8	в конце	2	6
9	то же	1	5
10	потому что	1	5
11	по крайней	1	4
12	в устах	1	4
13	крайней мере	1	4
14	но это	1	4
15	в другом	1	3
16	в их	1	3
17	и его	1	3
18	так как	1	3
19	с о	1	3
20	тем более	1	3
21	другое дело	1	3
22	конце концов	2	3
23	к этому	1	3
24	самом деле	1	2
25	значит и	1	2
26	в самом	1	2
27	связанным с	1	2
28	в которых	1	2
29	и только	1	2
30	все время	1	2
31	гораздо более	1	2
32	и то	1	1
33	которые они	1	1
34	то я	1	1
35	том же	1	1
36	дело в	1	1
37	все то	1	1
38	совершенно ясно	1	1
39	так в	1	1
40	ясно что	1	1
41	все дело	1	1
42	и т.д	1	1
43	в значительной	1	1
44	ибо никакой	1	1
45	именно в	1	1
46	от других	1	1
47	по своим	1	1
48	речи и	1	1
49	в частности	1	1
50	по существу	1	1
51	этом и	1	1
52	с большой	1	1
53	в книге	3	1
54	хотя бы	1	1
