N	3gram	Vinokur_Vv_1	Vladivir
1	в том что	12	10
2	тем не менее	8	9
3	о том что	12	8
4	а также и	2	6
5	вместе с тем	3	6
6	с точки зрения	2	6
7	не может быть	8	6
8	в конце концов	2	5
9	и в этом	3	5
10	дело в том	2	5
11	что же касается	2	5
12	и то что	2	4
13	точно так же	2	4
14	у него в	1	4
15	с одной стороны	4	3
16	в этом смысле	10	3
17	том что в	1	3
18	в то же	5	3
19	бы то ни	1	3
20	хотя бы и	2	3
21	также и то	1	3
22	в настоящее время	1	3
23	само по себе	3	3
24	как мы видели	2	3
25	только в том	2	3
26	в отличие от	3	3
27	во всяком случае	3	3
28	так или иначе	4	2
29	так же как	1	2
30	сам по себе	1	2
31	себе отчет в	1	2
32	и в том	3	2
33	с другой стороны	5	2
34	что в этом	2	2
35	что это есть	1	2
36	к тому что	1	2
37	в сравнении с	1	2
38	как мы знаем	1	2
39	в этом отношении	3	2
40	в существенном смысле	2	2
41	одной стороны и	3	2
42	что несмотря на	2	2
43	в связи с	2	2
44	то же время	5	2
45	также и в	2	2
46	а не только	1	2
47	в данном случае	4	2
48	заключается в том	3	1
49	с самого начала	1	1
50	каждой из этих	1	1
51	в том же	1	1
52	представить себе что	2	1
53	большой сложностью и	1	1
54	в этом учении	1	1
55	не соглашаться с	1	1
56	хотя бы на	1	1
57	так а не	1	1
58	как на нечто	1	1
59	в строгом смысле	3	1
60	и не в	1	1
61	но вместе с	2	1
62	тем что в	1	1
63	и в результате	1	1
64	или иначе но	2	1
65	мы имеем право	1	1
66	он мог бы	1	1
67	истории и в	1	1
68	не могут привести	1	1
69	потому что в	1	1
70	то более то	1	1
71	и об отношении	1	1
72	не мог не	1	1
73	такой точки зрения	1	1
74	то ни было	1	1
75	как это было	1	1
76	первой по времени	1	1
77	не иначе как	1	1
78	в этом случае	6	1
79	сказать что в	1	1
80	с тем что	3	1
81	то же самое	2	1
82	чтобы можно было	2	1
83	мы уже знаем	1	1
84	и это есть	1	1
85	лишь в том	1	1
86	и то же	1	1
87	можно было бы	3	1
88	но уже в	1	1
89	в своей специальной	1	1
90	вовсе не только	2	1
91	все то что	1	1
92	для того чтобы	21	1
93	более то менее	1	1
94	не что иное	4	1
95	а так как	2	1
96	и тем не	3	1
97	не только с	1	1
98	не только в	4	1
99	нечего и говорить	1	1
100	каждое из этих	1	1
101	а не иначе	1	1
102	в духе этого	1	1
103	уже не только	1	1
104	вопрос о том	5	1
105	как об этом	2	1
106	только то что	1	1
107	как будто бы	2	1
108	какой бы то	1	1
109	что она была	2	1
110	это было у	1	1
111	что в нем	2	1
112	и в дальнейшем	1	1
113	может быть и	2	1
114	что иное как	4	1
115	в самом деле	5	1
116	сама по себе	3	1
117	все это у	1	1
118	что отличало бы	1	1
119	отчет в том	1	1
120	в одно целое	1	1
121	в известном смысле	3	1
122	здесь не может	1	1
123	на эту тему	1	1
124	в самом процессе	1	1
125	в его время	1	1
126	быть и не	1	1
127	второй половины xix	2	1
128	не говоря уже	2	1
129	себе полный отчет	1	1
130	на вопрос что	1	1
131	именно в этой	1	1
132	по вопросу о	1	1
133	в каждой из	1	1
134	а есть только	1	1
135	той или иной	1	1
136	потому что он	2	1
137	имел в виду	1	1
138	в своем понимании	1	1
139	этой точки зрения	1	1
140	по этому поводу	2	1
141	брокгауза и ефрона	1	1
142	с этой точки	1	1
143	в данном отношении	2	1
144	одно и то	1	1
145	до сих пор	5	1
