N	3gram	Vygotskiy__5	Myshleni
1	для того чтобы	19	14
2	по отношению к	1	12
3	в том что	14	11
4	с точки зрения	2	9
5	так же как	2	7
6	друг с другом	3	7
7	мы могли бы	4	6
8	потому что он	2	5
9	по сравнению с	4	5
10	в этом отношении	3	5
11	заключается в том	6	5
12	с самого начала	3	5
13	можно сказать что	2	5
14	в другом месте	1	4
15	не в состоянии	3	4
16	то же самое	3	4
17	из того что	3	4
18	но он не	1	4
19	к тому чтобы	1	4
20	в сущности говоря	8	4
21	на этот вопрос	3	4
22	с этой точки	1	4
23	проистекает из того	1	4
24	то время как	1	4
25	этой точки зрения	1	4
26	в то время	1	4
27	о том что	6	4
28	друг от друга	2	4
29	и того же	2	3
30	состоит в том	2	3
31	в этом случае	2	3
32	в лучшем случае	3	3
33	не то что	1	3
34	вместо того чтобы	1	3
35	до сих пор	5	3
36	можно было бы	3	3
37	с одной стороны	12	3
38	и тот же	1	3
39	так как это	3	3
40	в свою очередь	1	3
41	не может быть	2	3
42	один и тот	1	3
43	не только не	4	3
44	одного и того	2	3
45	вопрос о том	2	3
46	таким образом что	3	2
47	том что в	1	2
48	потому что в	2	2
49	в самом деле	5	2
50	том что он	1	2
51	на всем протяжении	1	2
52	в зависимости от	6	2
53	того что мы	1	2
54	является то что	2	2
55	оказывается не в	1	2
56	что он не	1	2
57	в отличие от	2	2
58	и то что	3	2
59	в некоторой части	1	2
60	вперед по сравнению	1	2
61	именно в этом	1	2
62	вместе с тем	3	2
63	и в частности	1	2
64	в самых общих	1	2
65	на этом вопросе	1	2
66	все эти три	1	2
67	для современной психологии	1	2
68	лежит в основе	1	2
69	как частный случай	1	2
70	а с другой	4	2
71	то что он	3	2
72	в этой теории	1	2
73	ответ на этот	2	2
74	того чтобы сделать	1	2
75	с другой стороны	5	2
76	то обстоятельство что	1	2
77	само по себе	2	2
78	ничего общего с	1	2
79	именно потому что	2	2
80	и тем более	1	2
81	мы видим что	3	2
82	могли бы сказать	2	2
83	и в другом	1	2
84	с только что	1	1
85	мы будем иметь	1	1
86	в том виде	1	1
87	с тем мы	1	1
88	что иное как	2	1
89	он попал в	1	1
90	одному тому что	1	1
91	что в этом	6	1
92	их друг от	1	1
93	том виде как	1	1
94	мы видим таким	1	1
95	сводится к тому	2	1
96	это на примере	1	1
97	мы должны будем	2	1
98	совершенно очевидно что	2	1
99	имеет дело с	2	1
100	по одному тому	1	1
101	говорит об этом	1	1
102	что он является	1	1
103	мы имеем в	1	1
104	более или менее	1	1
105	на самом деле	2	1
106	как это мы	1	1
107	в этом смысле	1	1
108	в следующем виде	1	1
109	никак не может	3	1
110	с которым мы	1	1
111	вытекает из того	1	1
112	одной стороны и	1	1
113	же как и	1	1
114	те и другие	1	1
115	принять во внимание	2	1
116	на первый план	2	1
117	что он должен	1	1
118	сам по себе	3	1
119	скажем что они	1	1
120	не менее важное	1	1
121	на котором она	1	1
122	но в сущности	1	1
123	мы находим в	1	1
124	на втором месте	1	1
125	в собственном смысле	1	1
126	как это не	1	1
127	бы сказать что	2	1
128	и той же	2	1
129	именно то что	4	1
130	одно и то	3	1
131	о чем идет	1	1
132	если же мы	1	1
133	не могло быть	1	1
134	в применении к	1	1
135	стороны и что	1	1
136	особенность состоит в	1	1
137	о том в	1	1
138	сравнению с теми	1	1
139	и что в	3	1
140	так же невозможно	1	1
141	не что иное	2	1
142	того чтобы он	1	1
143	имеет еще и	1	1
144	можно легко показать	2	1
145	если скажем что	1	1
146	же точно как	2	1
147	смысле этого слова	1	1
148	в себя и	1	1
149	потому что оно	1	1
150	и то же	3	1
151	того чтобы увидеть	1	1
152	к полному отрицанию	1	1
153	остановиться только на	1	1
154	его значение в	1	1
155	будем иметь случай	1	1
156	в целом в	1	1
157	психологической точки зрения	1	1
158	не могут быть	1	1
159	исходя из этого	1	1
160	здесь имеет место	1	1
161	благодаря тому что	1	1
162	еще в большей	1	1
163	чтобы увидеть что	2	1
164	но вместе с	1	1
165	потому что она	1	1
166	мы никогда не	2	1
167	а не как	1	1
168	о том не	1	1
169	в такой мере	1	1
170	может помочь нам	1	1
171	друг к другу	4	1
172	прямо сказать что	1	1
173	собственном смысле слова	1	1
174	сравнению с двумя	1	1
175	которая существует между	3	1
176	в полной мере	1	1
177	что он делает	1	1
178	что обе эти	1	1
179	шаг за шагом	1	1
180	не могут иметь	1	1
181	образом мы видим	2	1
182	оба эти закона	1	1
183	и таким образом	2	1
184	надо сказать что	1	1
185	ни в каком	1	1
186	иметь так же	1	1
187	что он был	1	1
188	если мы сопоставим	1	1
189	мы не можем	1	1
190	в своем течении	1	1
191	так же точно	5	1
192	приводит к их	1	1
193	таким образом мы	2	1
194	в том чтобы	2	1
195	доказательство того что	1	1
196	это и не	1	1
197	те или иные	1	1
198	того или иного	1	1
199	ту же самую	2	1
200	видим таким образом	1	1
201	и что все	1	1
202	в этой новой	1	1
203	в этом заключается	1	1
204	показали что в	1	1
205	мы знаем что	2	1
206	и что оно	1	1
207	что это не	1	1
208	при таком понимании	1	1
209	в свою теорию	1	1
210	к тому что	6	1
211	в том смысле	1	1
212	одной и той	2	1
213	в большей мере	1	1
214	показывает что в	2	1
215	и т.п и	1	1
216	самом деле если	2	1
217	в этом слове	1	1
218	что в этой	1	1
219	чтобы понять как	1	1
220	и ко всем	1	1
221	той или иной	2	1
222	влечет за собой	1	1
