N	3gram	Bakhtin_Fr_8	Sovremen
1	мы не можем	1	6
2	с точки зрения	2	5
3	не может быть	2	4
4	мы видели что	3	3
5	с самого начала	1	3
6	друг с другом	1	2
7	в отличие от	1	2
8	не подлежит сомнению	3	2
9	может быть и	1	2
10	в настоящее время	3	2
11	то же самое	1	2
12	вот пример такого	1	1
13	быть и речи	1	1
14	как например при	1	1
15	в известном смысле	1	1
16	и в этом	1	1
17	одной стороны и	1	1
18	в которой он	1	1
19	не в том	1	1
20	в связи с	3	1
21	какой бы то	1	1
22	дело в том	2	1
23	по отношению к	1	1
24	на самом деле	1	1
25	и до сих	2	1
26	в новое время	1	1
27	в этом смысле	1	1
28	в свое время	1	1
29	до наших дней	1	1
30	под углом зрения	1	1
31	до сих пор	8	1
32	то же время	10	1
33	и в то	5	1
34	тем же законам	1	1
35	бы то ни	2	1
36	ни о каком	1	1
37	в науке и	1	1
38	та самая которая	1	1
39	можно было бы	1	1
40	в самом деле	1	1
41	той или иной	1	1
42	и прежде всего	1	1
43	что дело идет	1	1
44	образом одна из	1	1
45	и что она	1	1
46	в то же	10	1
47	и могут быть	1	1
48	может быть таким	1	1
49	это как бы	1	1
50	лишь там где	1	1
51	мы видим что	2	1
52	как мы видим	1	1
53	но мы уже	1	1
54	в том что	6	1
55	в данном случае	2	1
56	то ни было	1	1
57	так сказать классический	1	1
58	и в настоящее	1	1
59	с одной стороны	2	1
