N	2gram	Tiupa_Disk_2	OGranits
1	и в	16	13
2	и его	3	12
3	прежде всего	7	9
4	может быть	16	8
5	не может	9	8
6	и не	15	8
7	и т.п	12	7
8	в его	3	7
9	и их	1	7
10	точки зрения	4	7
11	только в	3	6
12	как бы	4	6
13	не только	10	6
14	то что	5	6
15	таким образом	1	6
16	художественного произведения	1	5
17	языка и	1	5
18	и т.д	1	5
19	все же	6	5
20	и наконец	3	5
21	в поэзии	1	5
22	с точки	2	5
23	в процессе	1	5
24	эстетического объекта	1	5
25	мы не	1	4
26	произведения как	2	4
27	слов и	1	4
28	еще и	1	4
29	на фоне	1	4
30	но в	11	4
31	то же	6	4
32	лишь в	1	4
33	в своей	6	4
34	все это	2	4
35	не является	4	4
36	и то	4	3
37	в ее	1	3
38	самом деле	1	3
39	в пределах	4	3
40	так и	9	3
41	говорить о	2	3
42	по отношению	4	3
43	в поэтике	1	3
44	за пределы	1	3
45	экспрессивной интонации	1	3
46	в которой	1	3
47	ни один	1	3
48	в себе	19	3
49	к одному	1	3
50	не как	1	3
51	в одном	4	3
52	одно и	2	3
53	но и	11	3
54	слово в	1	3
55	как и	16	3
56	со всей	1	3
57	что же	2	3
58	не в	3	3
59	да и	1	3
60	но для	1	3
61	и для	2	3
62	никогда не	2	3
63	и все	3	3
64	превращается в	1	3
65	отношению к	4	3
66	не столько	3	3
67	что в	5	3
68	в искусстве	1	3
69	для себя	2	2
70	ни одно	2	2
71	и др	1	2
72	данном случае	6	2
73	и может	3	2
74	роль в	4	2
75	на две	1	2
76	которое может	1	2
77	есть не	1	2
78	события художественного	1	2
79	с самого	1	2
80	и должно	1	2
81	в ней	2	2
82	ее в	1	2
83	а также	8	2
84	в чем	1	2
85	между тем	2	2
86	в языке	2	2
87	и следовательно	1	2
88	может иметь	2	2
89	как в	8	2
90	в данном	7	2
91	в этом	16	2
92	в полном	2	2
93	в том	8	2
94	или иного	2	2
95	в этот	1	2
96	в целом	2	2
97	все эти	3	2
98	с одной	4	2
99	в нем	7	2
100	при этом	17	2
101	для него	5	2
102	в другом	3	2
103	вовсе не	1	2
104	общения и	2	2
105	тем что	1	2
106	в них	3	2
107	объект и	1	2
108	в области	2	2
109	с другой	5	2
110	всей своей	3	2
111	в самом	1	2
112	входит в	2	2
113	того или	1	2
114	одной стороны	4	2
115	соответствии с	3	2
116	более того	1	2
117	не на	2	2
118	а не	14	2
119	другой стороны	2	2
120	там где	1	2
121	несмотря на	1	2
122	том что	10	2
123	и ее	3	2
124	своего рода	10	2
125	их внутренней	1	2
126	с этой	1	2
127	слова и	1	2
128	не менее	7	2
