N	3gram	Kanaev_Sov_1	VrazhdaK
1	и все же	1	5
2	то же время	1	4
3	в то же	1	4
4	в связи с	1	3
5	с точки зрения	5	2
6	не может быть	4	2
7	в том что	1	2
8	можно говорить об	1	1
9	равно как и	1	1
10	в этом смысле	1	1
11	до сих пор	1	1
12	и не может	1	1
13	не было бы	1	1
14	все же в	1	1
15	но мы знаем	1	1
16	по крайней мере	1	1
17	может быть и	2	1
18	и в то	1	1
19	так же как	1	1
20	быть и речи	1	1
21	в известном смысле	1	1
22	и в этом	1	1
23	и во всей	1	1
24	во всяком случае	2	1
25	стремится быть объективным	1	1
26	шаг за шагом	1	1
27	тем не менее	2	1
28	в свою очередь	2	1
29	что в ней	1	1
30	на этот раз	1	1
31	с помощью которых	2	1
