N	2gram	Trubetskoy_1	Tragedij
1	и в	23	18
2	в этом	12	9
3	не только	7	8
4	он сам	1	7
5	и с	5	7
6	и на	6	7
7	может быть	16	7
8	как бы	10	7
9	и не	8	7
10	но в	4	6
11	и его	1	6
12	же время	2	6
13	что он	7	6
14	у него	5	6
15	то же	4	5
16	все же	13	5
17	что это	5	5
18	это не	3	5
19	как и	9	5
20	несмотря на	6	5
21	в то	6	5
22	в дальнейшем	2	5
23	так и	10	5
24	не может	17	5
25	к жизни	1	5
26	я не	2	4
27	еще не	5	4
28	в себе	5	4
29	в целом	5	4
30	в этой	6	4
31	в нем	3	4
32	том что	19	4
33	что я	1	4
34	и что	8	4
35	но и	9	4
36	и даже	1	4
37	прежде всего	3	4
38	так же	8	4
39	все это	11	4
40	что в	8	4
41	и все	7	4
42	то что	18	4
43	в мире	6	3
44	отнюдь не	2	3
45	как в	1	3
46	в своем	10	3
47	и как	1	3
48	все эти	19	3
49	при этом	9	3
50	то есть	2	3
51	должно быть	4	3
52	тем самым	3	3
53	что с	5	3
54	с ее	2	3
55	и сам	2	3
56	жизнь и	3	3
57	с ним	6	3
58	к нему	2	3
59	в его	5	3
60	один из	1	3
61	уже в	1	3
62	для него	2	3
63	никто не	2	3
64	в конце	4	3
65	как будто	5	3
66	что за	2	3
67	в первом	1	2
68	из самых	1	2
69	и до	3	2
70	что эти	2	2
71	а как	1	2
72	из своих	1	2
73	отказывается от	1	2
74	никогда не	4	2
75	и то	4	2
76	столь же	5	2
77	с его	1	2
78	отношение к	4	2
79	отличие от	3	2
80	так что	5	2
81	и я	1	2
82	перед нами	1	2
83	впечатление что	1	2
84	в самом	8	2
85	то и	2	2
86	он не	3	2
87	что она	1	2
88	но все	5	2
89	что все	5	2
90	его в	5	2
91	знает что	1	2
92	в глазах	2	2
93	нет в	2	2
94	с тем	2	2
95	вопрос о	3	2
96	не в	8	2
97	что этот	1	2
98	этими двумя	2	2
99	одна из	2	2
100	я буду	1	2
101	не имеет	1	2
102	не могут	4	2
103	он и	1	2
104	к тому	8	2
105	и это	3	2
106	но при	1	2
107	данном случае	3	2
108	веру в	1	2
109	как у	3	2
110	ничего не	1	2
111	о том	7	2
112	что и	7	2
113	в том	30	2
114	даже если	2	2
115	по мнению	1	2
116	между этими	2	2
117	и ее	2	2
118	на всем	1	2
119	уже не	1	2
120	в виде	4	2
121	не так	4	2
122	друг друга	2	2
123	не случайно	1	2
124	тем что	1	2
125	как же	1	2
126	только к	1	2
127	до конца	1	2
128	ничем не	4	2
129	в данном	3	2
130	потому что	9	2
131	состоит из	4	2
132	в частности	2	2
133	в таком	4	2
134	точно так	1	2
135	я и	1	1
136	а между	8	1
137	ту же	2	1
138	одним из	4	1
139	наивность этого	1	1
140	например в	1	1
141	он считает	2	1
142	а из	1	1
143	самом деле	12	1
144	силы и	1	1
145	это и	1	1
146	на деле	1	1
147	что когда	1	1
148	от самого	1	1
149	смысл этого	1	1
150	сам автор	1	1
151	исходит из	1	1
152	должна быть	5	1
153	высшей степени	1	1
154	той же	1	1
155	то для	1	1
156	смотреть на	1	1
157	слов как	1	1
158	не вполне	3	1
159	на себя	1	1
160	вместо того	1	1
161	самой природе	1	1
162	в виду	2	1
163	начала в	1	1
164	в ней	3	1
165	эти мысли	3	1
166	между собой	4	1
167	быть в	1	1
168	во всех	10	1
169	присмотреться к	1	1
170	но не	2	1
171	но как	2	1
172	слова были	1	1
173	тогда как	6	1
174	некоторые черты	1	1
175	друга и	1	1
176	к сожалению	1	1
177	в истории	3	1
178	вызывает в	1	1
