N	2gram	Bakhtin_Pr_1	OGranits
1	и в	38	13
2	и его	16	12
3	прежде всего	13	9
4	может быть	26	8
5	не может	27	8
6	и не	42	8
7	в его	43	7
8	и пр	2	7
9	точки зрения	8	7
10	эстетический объект	37	7
11	только в	13	6
12	как бы	22	6
13	не только	9	6
14	то что	8	6
15	мы должны	2	6
16	таким образом	10	6
17	художественного произведения	11	5
18	языка и	1	5
19	все же	6	5
20	и наконец	6	5
21	но ведь	1	5
22	в поэзии	9	5
23	в музыке	5	5
24	с точки	6	5
25	в процессе	1	5
26	словесного материала	1	5
27	хотя бы	4	5
28	эстетического объекта	37	5
29	и эта	2	5
30	произведения как	8	4
31	на фоне	3	4
32	но в	4	4
33	вопроса о	3	4
34	мы можем	6	4
35	то же	5	4
36	лишь в	2	4
37	в сознании	1	4
38	в своей	7	4
39	было бы	8	4
40	все это	3	4
41	в двух	2	4
42	не является	3	4
43	материала в	10	4
44	в каждом	2	4
45	в ее	4	3
46	самом деле	6	3
47	в пределах	6	3
48	так и	5	3
49	говорить о	3	3
50	в их	10	3
51	по отношению	21	3
52	за пределы	12	3
53	только путем	1	3
54	тела и	1	3
55	в которой	1	3
56	ни один	1	3
57	в себе	4	3
58	к единству	5	3
59	языка как	2	3
60	к одному	1	3
61	не как	1	3
62	в одном	1	3
63	здесь мы	2	3
64	материала и	2	3
65	но и	9	3
66	слово в	2	3
67	как и	7	3
68	и уже	1	3
69	не в	7	3
70	да и	3	3
71	поэтического произведения	3	3
72	но для	1	3
73	и для	11	3
74	никогда не	5	3
75	и все	3	3
76	отношению к	19	3
77	что в	7	3
78	в искусстве	12	3
79	композиции в	1	2
80	смысле слова	2	2
81	произведения но	2	2
82	и др	8	2
83	данном случае	4	2
84	художественных произведений	2	2
85	в произведении	4	2
86	только его	3	2
87	и может	1	2
88	которое может	1	2
89	мы уже	1	2
90	есть не	2	2
91	мог бы	1	2
92	если бы	3	2
93	что иное	1	2
94	может в	1	2
95	иное как	1	2
96	не что	1	2
97	к предмету	1	2
98	и должно	3	2
99	в ней	4	2
100	а также	1	2
101	в чем	2	2
102	мы понимаем	1	2
103	лингвистических и	1	2
104	между тем	7	2
105	лишь путем	1	2
106	социального события	1	2
107	в общем	1	2
108	оценка в	1	2
109	нуждается в	2	2
110	лингвистики в	1	2
111	во всей	1	2
112	и следовательно	1	2
113	может иметь	5	2
114	как в	4	2
115	в которую	1	2
116	в данном	4	2
117	в этом	15	2
118	в лингвистике	1	2
119	из единства	1	2
120	в полном	1	2
121	в том	8	2
122	с ними	4	2
123	в действительности	1	2
124	или иного	2	2
125	одного материала	1	2
126	в целом	3	2
127	и тем	3	2
128	формальный метод	3	2
129	все эти	5	2
130	с одной	3	2
131	изобразительных искусствах	2	2
132	иным как	1	2
133	в нем	15	2
134	при этом	5	2
135	языка но	2	2
136	для него	1	2
137	в другом	2	2
138	говорить об	1	2
139	социологический метод	1	2
140	вовсе не	2	2
141	тем что	2	2
142	в них	5	2
143	объект и	4	2
144	этой проблемы	1	2
145	в области	11	2
146	с другой	7	2
147	а как	3	2
148	в самом	7	2
149	входит в	8	2
150	того или	2	2
151	может стать	3	2
152	данного материала	3	2
153	она является	1	2
154	не чем	1	2
155	одной стороны	3	2
156	материал в	4	2
157	литературное произведение	1	2
158	более того	4	2
159	не на	5	2
160	а не	5	2
161	другой стороны	4	2
162	там где	6	2
163	отнесенный к	1	2
164	несмотря на	3	2
165	в связи	2	2
166	том что	3	2
167	с помощью	7	2
168	и при	2	2
169	и ее	2	2
170	так же	1	2
171	который мы	1	2
172	форм но	1	2
173	его вне	1	2
174	в тех	3	2
175	слова и	3	2
176	художественное произведение	8	2
177	не менее	4	2
178	что эта	2	2
179	не имеет	9	2
180	форм и	2	2
181	об особой	1	2
182	не касаемся	1	2
183	при восприятии	2	2
184	от всех	4	2
185	бы в	1	2
186	и является	1	2
187	во всем	2	2
188	значение материала	4	2
189	а в	6	2
190	в материал	1	2
191	и к	3	2
192	в словесном	2	2
193	имеет место	5	2
194	могут быть	5	2
195	чем иным	1	2
196	в своих	2	2
197	поэтического языка	1	2
198	к тому	1	2
199	и это	3	1
200	можно говорить	2	1
201	оно может	2	1
202	также и	3	1
203	всех эстетических	1	1
204	зависимость от	1	1
205	словесный материал	1	1
206	человека и	1	1
207	себя как	5	1
208	выносится за	2	1
209	в виду	4	1
210	на нем	1	1
211	в некоторых	2	1
212	но далеко	1	1
213	выражения в	1	1
214	в эстетике	2	1
215	на основе	6	1
216	в напряженном	1	1
217	это и	1	1
218	и есть	2	1
219	вовлекаются в	1	1
220	в себя	2	1
221	или иная	1	1
222	в нашу	1	1
223	не имеют	2	1
224	на том	1	1
225	едва ли	3	1
226	мышления но	1	1
227	можно было	4	1
228	особенно в	2	1
229	здесь нет	2	1
230	проблема границ	1	1
231	на материале	3	1
232	осуществляется в	1	1
233	мы имеем	2	1
234	нуждаются в	1	1
235	содержания в	4	1
236	и о	5	1
237	мы в	3	1
238	вопрос о	1	1
239	в синтаксисе	1	1
240	содержание как	5	1
241	весь состав	1	1
242	это направление	1	1
243	по себе	1	1
244	выходит за	1	1
245	как выражение	1	1
246	о некотором	1	1
247	этой концепции	1	1
248	но может	1	1
249	утверждает и	1	1
250	подхода к	2	1
251	на себя	1	1
252	звукового материала	2	1
253	с ее	1	1
254	словесных целых	3	1
255	часто и	1	1
256	не совсем	1	1
257	или только	1	1
258	словесного искусства	2	1
259	ее зависимость	1	1
260	искусства есть	1	1
261	в мире	3	1
262	и он	2	1
263	в каждой	1	1
264	собою и	1	1
265	оценки все	1	1
266	другими словами	2	1
267	как возможность	1	1
268	и что	2	1
269	произведение и	3	1
270	еще не	7	1
271	связи со	1	1
272	данности произведения	1	1
273	их исторической	2	1
274	к счастью	1	1
275	работает над	1	1
276	столь же	2	1
277	время в	1	1
278	материала это	1	1
279	единству языка	1	1
280	форма как	2	1
281	ибо здесь	1	1
282	художественном творчестве	10	1
283	ли кто-нибудь	1	1
284	и своей	1	1
285	является таким	1	1
286	тем как	5	1
287	в эстетической	1	1
288	вне которой	1	1
289	в конечном	4	1
290	художественной формы	9	1
291	к нему	10	1
292	на самом	4	1
293	взаимодействия и	1	1
294	но не	12	1
295	то он	1	1
296	касаемся и	1	1
297	и закономерности	2	1
298	вся эта	1	1
299	что язык	1	1
300	борьба с	1	1
301	в помощи	1	1
302	может и	4	1
303	природы и	3	1
304	отношение к	10	1
305	художественного впечатления	2	1
306	отметить что	7	1
307	в едином	2	1
308	нет и	3	1
309	или иное	2	1
310	значение имеет	3	1
311	в свои	1	1
312	так за	1	1
313	на то	2	1
314	своей ценностной	1	1
315	материала так	1	1
316	и эстетического	3	1
317	в истории	2	1
318	его эстетической	1	1
319	для создания	1	1
320	познания в	1	1
321	эта проблема	1	1
322	в своем	5	1
323	художнику в	1	1
324	то или	2	1
325	моменты в	1	1
326	творца и	3	1
327	у в	3	1
328	понять и	1	1
329	и как	8	1
330	характер носит	1	1
331	и изучена	1	1
332	одной из	3	1
333	этот вопрос	1	1
334	что он	2	1
335	оказывается с	1	1
336	материала например	1	1
337	художественного словесного	1	1
338	есть его	3	1
339	не должна	4	1
340	который в	1	1
341	в значительной	2	1
342	не приходится	1	1
343	моментом является	1	1
344	или же	1	1
345	в целое	1	1
346	лингвистики это	1	1
347	организма и	2	1
348	эстетическая оценка	1	1
349	со всеми	3	1
350	момент как	4	1
351	ни одна	2	1
352	в этой	1	1
353	самостоятельной позиции	1	1
354	для всех	1	1
355	в дальнейшем	3	1
356	события и	2	1
357	есть чисто	6	1
358	конечно не	5	1
359	не можем	2	1
360	мы принуждены	1	1
361	и у	2	1
362	к общей	1	1
363	и правильное	1	1
364	только на	1	1
365	поэтике не	2	1
366	в действительном	1	1
367	если он	1	1
368	эстетики как	1	1
369	себя и	3	1
370	вследствие этого	3	1
371	в нашей	2	1
372	и если	1	1
373	этот момент	2	1
374	и чисто	1	1
375	к слову	1	1
376	речь в	1	1
377	или даже	1	1
378	и других	2	1
