N	3gram	Losev_Vlad_1	Hudozhes
1	в то же	4	6
2	то же время	4	6
3	с другой стороны	3	5
4	в том что	7	5
5	более или менее	3	5
6	так и не	1	4
7	в этом смысле	4	3
8	можно сказать что	2	3
9	и то же	1	3
10	одно и то	1	3
11	тем не менее	2	3
12	так или иначе	1	2
13	с одной стороны	1	2
14	и в то	2	2
15	для того чтобы	2	2
16	а с другой	1	2
17	к тому что	1	2
18	но он не	1	2
19	мы имеем дело	1	2
20	в свою очередь	1	2
21	а в том	1	1
22	и тем самым	1	1
23	в таких случаях	1	1
24	все что может	1	1
25	он не только	2	1
26	дело не в	1	1
27	и потому что	3	1
28	бы то ни	1	1
29	это и есть	1	1
30	с этих позиций	1	1
31	так и его	1	1
32	субъект и объект	1	1
33	что иное как	1	1
34	и в том	1	1
35	не содержит в	1	1
36	еще и потому	2	1
37	чего бы то	1	1
38	имеем дело с	1	1
39	то ни было	1	1
40	что он не	3	1
41	о том что	7	1
42	в настоящее время	1	1
43	несмотря на свою	1	1
44	не что иное	1	1
45	и теперь в	1	1
46	в то время	2	1
47	его личности с	1	1
48	в связи с	1	1
49	в сравнении с	1	1
50	только то что	1	1
51	содержит в себе	1	1
52	не участвовать в	1	1
53	искусства и религии	1	1
54	другой стороны не	1	1
55	есть не что	1	1
56	в свое время	5	1
57	что даже в	1	1
58	не может быть	3	1
59	том что он	2	1
60	человеческой жизни толстой	1	1
61	к тому же	2	1
62	как раз в	1	1
