N	2gram	Losev_Dial_3	Problema
1	то есть	1	46
2	в его	2	43
3	и не	27	42
4	и в	24	38
5	и проч	1	28
6	не может	19	27
7	может быть	13	26
8	как бы	3	22
9	отнюдь не	10	19
10	и с	6	17
11	и его	5	16
12	в этом	8	15
13	в нем	3	15
14	и т	24	14
15	только в	5	13
16	прежде всего	8	13
17	независимо от	1	13
18	но не	2	12
19	за пределы	3	12
20	во всех	1	11
21	ни в	9	11
22	и для	2	11
23	таким образом	13	10
24	в их	2	10
25	к нему	3	10
26	не только	23	9
27	не имеет	11	9
28	его в	1	9
29	но и	9	9
30	и как	8	8
31	было бы	5	8
32	точки зрения	25	8
33	место в	1	8
34	для нее	1	8
35	в том	5	8
36	то что	14	8
37	еще не	2	7
38	в самом	7	7
39	вообще не	2	7
40	как и	7	7
41	и становится	1	7
42	не в	3	7
43	как мы	2	7
44	с другой	4	7
45	объекта и	1	7
46	совершенно не	2	7
47	что в	7	7
48	отношения к	1	6
49	самом деле	6	6
50	и наконец	1	6
51	не к	1	6
52	не всегда	1	6
53	с точки	14	6
54	не есть	54	6
55	и этим	3	6
56	можно только	4	6
57	ничего не	17	6
58	содержания и	1	6
59	мы можем	1	6
60	все же	3	6
61	а в	2	6
62	только как	5	6
63	себя как	3	5
64	высшей степени	1	5
65	объект в	1	5
66	в своем	3	5
67	все эти	3	5
68	при этом	2	5
69	то же	6	5
70	это не	4	5
71	в них	5	5
72	далеко не	1	5
73	творчества и	1	5
74	так и	5	5
75	в основе	3	5
76	и о	3	5
77	никогда не	7	5
78	с ним	1	5
79	и прежде	3	5
80	конечно не	4	5
81	не на	6	5
82	а не	26	5
83	могут быть	2	5
84	быть только	2	5
85	должно быть	3	5
86	имеет место	1	5
87	на самом	1	4
88	объект как	1	4
89	должна быть	6	4
90	конечно и	1	4
91	в виду	7	4
92	в ней	2	4
93	объект не	1	4
94	конечном счете	1	4
95	но в	2	4
96	в себе	2	4
97	перестает быть	2	4
98	в данном	2	4
99	объект и	2	4
