N	3gram	Voloshinov_1	Analitik
1	о том что	1	6
2	в том что	4	6
3	в данном случае	3	5
4	по отношению к	9	4
5	с одной стороны	1	4
6	в этом случае	1	4
7	в этом отношении	2	3
8	по крайней мере	1	3
9	тем не менее	2	3
10	обнаруживает себя в	1	2
11	с точки зрения	10	2
12	в таком случае	2	2
13	в то же	5	2
14	в отличие от	1	2
15	то же время	5	2
16	в конечном счете	1	2
17	если бы он	3	1
18	а между тем	1	1
19	можно сказать что	3	1
20	бы он был	1	1
21	в данный момент	1	1
22	и даже не	1	1
23	жизни но эта	1	1
24	следует упускать из	1	1
25	как мы надеемся	1	1
26	в этой борьбе	1	1
27	хотя бы и	2	1
28	из того же	1	1
29	но и в	1	1
30	не следует упускать	1	1
31	во всех этих	1	1
32	в углу комнаты	1	1
33	на этот вопрос	1	1
34	со всех сторон	1	1
35	одной из своих	1	1
36	здесь в сознании	1	1
37	до известной степени	1	1
38	и тогда когда	1	1
39	в таких случаях	2	1
40	все что может	2	1
41	но и его	1	1
42	и все его	2	1
43	и тот же	2	1
44	и то же	1	1
45	его в себя	1	1
46	картины мира в	1	1
47	в свою очередь	1	1
48	одно и то	1	1
49	в целом ряде	1	1
50	что при таком	1	1
51	жизни так как	1	1
52	в свое время	1	1
53	только то что	2	1
54	не может быть	3	1
55	ответ на этот	1	1
56	отнюдь не является	1	1
57	упускать из виду	1	1
58	в самом деле	5	1
59	оно и в	1	1
60	ничего не говорит	1	1
61	могут и должны	1	1
62	во второй половине	1	1
63	и должны быть	1	1
64	он не только	1	1
65	его речи и	1	1
66	выходят за пределы	1	1
