N	3gram	Losev_Vlad_1	Hudozhes
1	о том что	7	9
2	то же время	4	8
3	в то же	4	8
4	в том что	7	6
5	в самом деле	1	4
6	к тому что	1	4
7	в этом отношении	1	3
8	но в то	1	3
9	в связи с	1	3
10	тем не менее	2	3
11	и т д	2	3
12	том что в	3	2
13	мы уже знаем	1	2
14	что же касается	4	2
15	что он не	3	2
16	к жизни и	1	2
17	для своего времени	2	2
18	как раз в	1	2
19	не только в	2	2
20	так или иначе	1	2
21	что у него	2	2
22	не может быть	3	2
23	и о том	1	2
24	на то что	4	2
25	во второй половине	1	2
26	еще не раз	1	1
27	и в конце	1	1
28	в чем не	1	1
29	своей встречи с	1	1
30	а в конце	1	1
31	но у него	1	1
32	я никогда не	1	1
33	как было сказано	2	1
34	к жизни в	1	1
35	имеют для них	1	1
36	в этом смысле	4	1
37	том что он	2	1
38	что у нее	1	1
39	и в этом	1	1
40	и в то	2	1
41	ответить на вопрос	1	1
42	более или менее	3	1
43	в его жизни	1	1
44	с ним в	1	1
45	всякого человека в	1	1
46	на самом же	1	1
47	только у людей	1	1
48	все той же	1	1
49	всю его жизнь	1	1
50	в письме к	8	1
51	в это время	1	1
52	и что в	1	1
53	содержит в себе	1	1
54	не потому что	1	1
55	и называл себя	1	1
56	в конце концов	3	1
57	а также и	1	1
58	так и в	1	1
59	и потому что	3	1
60	в сторону но	1	1
61	в этот момент	1	1
62	уже не может	1	1
63	еще и потому	2	1
64	на вопросе о	1	1
65	во всяком случае	2	1
66	жизни так и	1	1
67	самом же деле	1	1
68	в свое время	5	1
69	этом а в	1	1
70	а в том	1	1
71	у него уже	1	1
72	ни в чем	1	1
73	в этом а	1	1
74	в свою очередь	1	1
75	письме к а	1	1
76	с тем что	1	1
77	она в самом	1	1
78	но и для	1	1
79	не только не	1	1
80	за то что	1	1
81	с одной стороны	1	1
82	в ответ на	2	1
83	не в этом	1	1
