N	3gram	Bakhtin_Pr_1	VelikijI
1	все что есть	1	3
2	к тому что	1	3
3	а между тем	1	2
4	но и в	2	2
5	в нем нет	1	2
6	в том что	3	2
7	и т д	1	2
8	тому что уже	1	1
9	и теперь еще	1	1
10	то ни стало	1	1
11	во что бы	1	1
12	хотя бы и	1	1
13	и должна быть	1	1
14	бы то ни	3	1
15	может и должна	2	1
16	в нем но	1	1
17	что бы то	1	1
18	его связь с	1	1
19	и в этом	1	1
20	не могут быть	2	1
21	и менее всего	1	1
22	которые не могли	1	1
23	с другой стороны	4	1
24	в истории и	1	1
25	в боге который	1	1
26	по сравнению с	1	1
27	раз и навсегда	1	1
28	так и в	2	1
29	одна из сторон	1	1
30	как и в	1	1
