N	3gram	Tiupa_Teor_1	KFilosof
1	по отношению к	4	21
2	не может быть	4	11
3	с точки зрения	3	10
4	в данный момент	2	3
5	в этом смысле	2	3
6	того или иного	3	3
7	ни к чему	1	2
8	имеем в виду	3	2
9	в соответствии с	2	2
10	она могла бы	1	2
11	бы то ни	1	2
12	во всей его	1	2
13	он ни был	1	2
14	эмоционально-волевое отношение к	1	2
15	то или иное	1	2
16	здесь мы имеем	1	2
17	то ни было	1	2
18	для меня в	1	2
19	то же время	5	2
20	к чему не	1	2
21	той или иной	1	2
22	в то же	5	2
23	тем не менее	3	2
24	в том что	8	2
25	себя в другом	1	1
26	но прежде всего	1	1
27	это уже не	1	1
28	в этом мире	2	1
29	мы говорим о	1	1
30	все с чем	1	1
31	и того же	3	1
32	вмещает в себя	1	1
33	если он не	1	1
34	смысле можно говорить	1	1
35	не было и	1	1
36	тем или иным	1	1
37	в которой я	1	1
38	вследствие того что	1	1
39	ведь это не	1	1
40	в основе своей	1	1
41	в противном случае	1	1
42	со всех сторон	1	1
43	позицию по отношению	1	1
44	случае мы имеем	1	1
45	в данном контексте	1	1
46	может быть и	2	1
47	и в то	1	1
48	ту или иную	1	1
49	между ним и	1	1
50	не совпадает с	1	1
51	в первом случае	1	1
52	но в то	1	1
53	отношении к нему	1	1
54	мы имеем не	1	1
55	не содержит в	1	1
56	для меня эта	1	1
57	в известном смысле	1	1
58	в том случае	1	1
59	себя в своих	1	1
60	в одном случае	1	1
61	дело в том	1	1
62	и это существенно	1	1
63	заключать в себе	1	1
64	для того чтобы	1	1
65	своей причастности к	1	1
66	и не субъективно	1	1
67	я в мире	7	1
68	в значительной степени	1	1
69	не была бы	1	1
70	в свою очередь	2	1
71	и тем самым	2	1
72	в конечном счете	6	1
73	точки зрения автора	1	1
74	весь мир все	1	1
75	одного и того	3	1
76	однако по своей	1	1
77	но не в	1	1
78	в большинстве случаев	1	1
79	всей его полноте	1	1
80	к тому что	2	1
81	дело не в	1	1
82	уже не мыслится	1	1
83	этом смысле можно	1	1
84	то же самое	1	1
