1	и в	22	43
2	и не	26	29
3	может быть	43	23
4	как бы	9	22
5	не может	27	18
6	но и	9	14
7	как и	5	14
8	в этом	13	13
9	точки зрения	13	13
10	что он	2	13
11	слова и	1	12
12	в нем	31	12
13	в одном	4	12
14	слова в	2	12
15	по себе	2	11
16	не в	11	11
17	не только	5	11
18	в каждом	3	11
19	в его	39	10
20	прежде всего	2	10
21	и на	3	10
22	но в	5	10
23	он не	6	9
24	никогда не	5	9
25	еще не	3	9
26	в большинстве	1	9
27	слово и	1	9
28	для него	12	8
29	с точки	10	8
30	и его	17	8
31	то же	5	8
32	или в	1	8
33	большинстве случаев	1	8
34	лишь в	8	8
35	слово не	3	8
36	в него	2	7
37	а не	17	7
38	ведь и	1	7
39	в самом	1	7
40	то что	7	7
41	в то	3	7
42	в другом	3	7
43	к себе	2	7
44	при этом	4	6
45	приводит к	1	6
46	здесь не	3	6
47	не как	4	6
48	и наконец	1	6
49	и все	9	6
50	в котором	21	6
51	что я	5	6
52	в том	6	6
53	о нем	4	6
54	в этих	1	6
55	хотя и	1	5
56	к нему	11	5
57	было бы	8	5
58	все эти	11	5
59	но ведь	5	5
60	все это	10	5
61	же время	2	5
62	у меня	1	5
63	и он	1	5
64	вовсе не	7	5
65	рядом с	3	5
66	но не	12	5
67	на то	1	5
68	а в	4	5
69	но здесь	3	5
70	в себе	21	5
71	отношению к	21	5
72	самом деле	3	5
73	это слово	1	5
74	о том	3	5
75	и с	1	5
76	по отношению	25	5
77	с собой	1	4
78	то есть	1	4
79	я не	6	4
80	но он	1	4
81	же не	1	4
82	и до	1	4
83	а как	2	4
84	в своей	11	4
85	может стать	1	4
86	что в	4	4
87	к тому	1	4
88	их в	1	4
89	слово может	1	4
90	с его	2	4
91	совершенно не	6	4
92	во всех	10	4
93	и это	12	4
94	себе и	3	4
95	как его	4	4
96	должно быть	5	4
97	как раз	1	4
98	только в	16	4
99	но эти	1	4
100	же и	1	4
101	или как	2	4
102	до конца	3	4
103	там где	5	4
104	так чтобы	1	4
105	между ними	1	4
106	но это	6	4
107	себе самому	1	4
108	ли будет	1	4
109	я для	1	4
110	в своем	10	4
111	мы не	3	4
112	точек зрения	1	4
113	так как	1	4
114	том же	1	4
115	герой и	2	3
116	и здесь	7	3
117	в различных	1	3
118	в их	9	3
119	могут быть	3	3
120	если бы	8	3
121	не за	1	3
122	в виде	2	3
123	образом и	1	3
124	в человеке	1	3
125	уже не	6	3
126	с ним	5	3
127	и для	9	3
128	того же	1	3
129	также и	1	3
130	а за	1	3
131	мы будем	1	3
132	и даже	1	3
133	той или	2	3
134	во всем	7	3
135	ни на	1	3
136	но при	1	3
137	себя и	2	3
138	здесь нет	3	3
139	такой же	1	3
140	ничего не	3	3
141	тот же	2	3
142	он и	2	3
143	для другого	2	3
144	только на	1	3
145	должна быть	3	3
146	его в	5	3
147	когда он	1	3
148	сознания и	3	3
149	тем что	3	3
150	мы уже	1	3
151	себя в	7	3
152	в конкретном	1	3
153	связи между	1	3
154	той же	1	3
155	и свой	2	3
156	что и	7	3
157	него в	1	3
158	со всеми	2	3
159	в виду	3	3
160	и к	1	3
161	и ее	1	3
162	между тем	4	3
163	она не	1	3
164	или иной	2	3
165	в единстве	7	3
166	не менее	3	3
167	в себя	7	3
168	так и	2	3
169	даны в	2	3
170	себя как	2	3
171	в последнем	1	3
172	в отношении	1	3
173	но для	2	3
174	и этим	3	3
175	в жизни	2	3
176	и их	6	3
177	кажется что	2	3
178	не знает	5	3
179	не была	1	3
180	а он	1	3
181	все же	5	3
182	здесь в	1	3
183	в эту	1	3
184	и только	6	3
185	это не	10	3
186	его жизни	2	2
187	он есть	1	2
188	с другим	1	2
189	нашей работы	1	2
190	конечно в	2	2
191	что это	3	2
192	слова мы	1	2
193	переходит в	1	2
194	того что	3	2
195	в своих	4	2
196	в стороне	1	2
197	дело в	2	2
198	момент его	8	2
199	не есть	19	2
200	как если	1	2
201	а то	1	2
202	на том	1	2
203	отношении к	2	2
204	ту же	1	2
205	входит в	4	2
206	а с	2	2
207	я и	2	2
208	себе а	2	2
209	а лишь	3	2
210	мы здесь	2	2
211	ни было	4	2
212	но этот	2	2
213	всего этого	1	2
214	мы можем	1	2
215	нем эта	1	2
216	раз и	2	2
217	даны здесь	1	2
218	во всяком	1	2
219	и всякое	1	2
220	своей жизни	1	2
221	если оно	1	2
222	лишь как	3	2
223	превращается в	1	2
224	и о	1	2
225	том что	4	2
226	еще более	2	2
227	мысли и	1	2
228	и та	2	2
229	человека и	1	2
230	сознании и	1	2
231	его к	2	2
232	этого слова	2	2
233	вне его	1	2
234	себе как	2	2
235	одна из	1	2
236	должны быть	1	2
237	есть я	3	2
238	что может	1	2
239	и др	1	2
240	отношение к	6	2
241	автора как	2	2
242	ни в	12	2
243	конечно не	7	2
244	в категориях	4	2
245	по своему	3	2
246	вопрос о	2	2
247	для этого	2	2
248	него как	1	2
249	та же	2	2
250	в настоящее	1	2
251	с ними	4	2
252	в точке	1	2
253	в первом	1	2
254	будет и	1	2
255	об этом	1	2
256	и то	2	2
257	ее в	1	2
258	и как	2	2
259	с собою	1	2
260	ним как	1	2
261	а затем	1	2
262	с человеком	3	2
263	с этим	1	2
264	и эта	2	2
265	здесь мы	4	2
266	уже и	1	2
267	его и	2	2
268	бы и	3	2
269	человек и	2	2
270	в первой	1	2
271	который не	1	2
272	но эта	5	2
273	тем же	1	2
274	может служить	1	2
275	только так	1	2
276	этих случаях	1	2
277	художественного творчества	1	2
278	из его	3	2
279	но все	5	2
280	и говорить	1	2
281	и очень	1	2
282	не проникает	4	2
283	нами в	2	2
284	лежит в	1	2
285	особенно в	1	2
286	настоящее время	1	2
287	отношения к	1	2
288	отличается от	1	2
289	одна и	1	2
290	и так	1	2
291	тем не	2	2
292	бы ни	1	2
293	чтобы не	2	2
294	что не	3	2
295	для себя	5	2
296	нет но	1	2
297	меня и	3	2
298	политики и	1	2
299	как в	2	2
300	бы не	3	2
301	что этот	3	2
302	оно должно	1	2
303	этом смысле	3	2
304	если мы	1	2
305	к миру	1	2
306	не могу	3	2
307	для нас	4	2
308	быть и	3	2
309	не нужно	2	2
310	в целом	9	2
311	но конечно	3	2
312	значение для	1	2
313	именно как	1	2
314	на почве	1	2
315	ведь это	1	2
316	не был	1	2
317	бы он	2	2
318	была бы	1	2
319	тона и	1	2
320	быть в	4	2
321	но к	1	2
322	в процессе	2	2
323	и мысли	1	2
324	последней инстанции	1	2
325	хотя бы	5	2
326	от них	1	2
327	времени и	4	2
328	и пр	3	2
329	мы дадим	1	1
330	ничем меня	1	1
331	мысль чувство	1	1
332	несмотря на	1	1
333	и всей	1	1
334	связанных с	1	1
335	как не	1	1
336	не следует	1	1
337	само по	1	1
338	но прежде	1	1
339	ему в	2	1
340	как таковым	1	1
341	над всеми	1	1
342	все дело	1	1
343	все они	1	1
344	истины не	1	1
345	не мир	1	1
346	от этого	2	1
347	в данной	1	1
348	один и	2	1
349	в ее	17	1
350	общего не	2	1
351	не раз	1	1
352	именно к	1	1
353	меня он	1	1
354	где есть	1	1
355	признать его	1	1
356	оценок так	1	1
357	и последняя	1	1
358	не выходит	1	1
359	не имеет	5	1
360	нет он	1	1
361	являются лишь	1	1
362	моментом которого	1	1
363	и себе	2	1
364	только себя	1	1
365	вместо того	1	1
366	связанная с	1	1
367	сказать в	1	1
368	но может	1	1
369	другом случае	1	1
370	же в	1	1
371	бы оно	2	1
372	и т.п	1	1
373	которых он	1	1
374	их и	1	1
375	и действительно	6	1
376	за этим	1	1
377	его объективный	1	1
378	все что	1	1
379	в сознании	2	1
380	я то	1	1
381	а во	1	1
382	границу между	1	1
383	но мир	1	1
384	он находится	1	1
385	будем говорить	1	1
386	он если	1	1
387	сознании в	1	1
388	согласиться с	1	1
389	он его	1	1
390	о его	1	1
391	видения и	2	1
392	и само	2	1
393	что ему	1	1
394	каждое движение	1	1
395	делает его	1	1
396	человека как	1	1
397	из которых	1	1
398	не я	3	1
399	жизнь и	2	1
400	они даны	1	1
401	того чтобы	2	1
402	в смысле	6	1
403	функции в	1	1
404	различия между	1	1
405	которой он	2	1
406	не стоит	1	1
407	а скорее	1	1
408	и тем	3	1
409	этот учет	1	1
410	и есть	9	1
411	имеет с	1	1
412	истины в	1	1
413	его с	2	1
414	вместе с	1	1
415	это в	1	1
416	но оно	1	1
417	для выражения	1	1
418	но между	1	1
419	мир в	8	1
420	но с	1	1
421	его есть	1	1
422	категории а	1	1
423	нет в	3	1
424	к этому	2	1
425	они не	1	1
426	от него	3	1
427	и потому	2	1
428	ничего общего	2	1
429	человека эта	1	1
430	него и	2	1
431	один из	1	1
432	за свое	2	1
433	произведения не	1	1
434	конечно этот	2	1
435	над ним	1	1
436	поэтому он	1	1
437	но лишь	6	1
438	от его	5	1
439	содержания а	1	1
