N	3gram	Losev_Dial_1	VrazhdaK
1	то же время	4	4
2	в то же	4	4
3	в связи с	1	3
4	с точки зрения	12	2
5	но в то	1	2
6	не может быть	3	2
7	и о том	1	2
8	в том что	7	2
9	а между тем	1	1
10	общего ни с	1	1
11	то что я	2	1
12	– т е	1	1
13	ней ничего не	1	1
14	в этом смысле	3	1
15	а с точки	2	1
16	что это за	1	1
17	не лучше ли	2	1
18	до сих пор	2	1
19	не было бы	2	1
20	в этом отношении	2	1
21	что в нем	3	1
22	но это не	1	1
23	точно так же	2	1
24	по крайней мере	4	1
25	может быть и	3	1
26	и в то	2	1
27	одно и то	4	1
28	и перед ними	1	1
29	все равно не	1	1
30	на первый взгляд	1	1
31	в конце концов	3	1
32	и то же	4	1
33	и в этом	3	1
34	или по крайней	2	1
35	все что ни	1	1
36	во всяком случае	2	1
37	с другой стороны	4	1
38	связи с этим	1	1
39	только об одном	1	1
40	тем не менее	1	1
41	– это не	1	1
42	в то время	1	1
43	это и есть	2	1
44	о том что	2	1
45	мне и я	1	1
46	не с точки	2	1
47	к нему с	1	1
48	на то что	4	1
49	он сам в	1	1
50	имеется в виду	1	1
