N	2gram	Tiupa_Disk_2	Formalny
1	и в	16	24
2	в его	3	23
3	художественного произведения	1	23
4	прежде всего	7	22
5	и не	15	20
6	так и	9	18
7	не может	9	16
8	точки зрения	4	16
9	в этом	16	15
10	в нем	7	14
11	может быть	16	14
12	таким образом	1	13
13	с точки	2	13
14	на почве	2	13
15	не менее	7	11
16	в своей	6	11
17	должно быть	2	11
18	как и	16	11
19	в своем	5	11
20	и ее	3	10
21	и их	1	10
22	вовсе не	1	10
23	то же	6	10
24	и его	3	10
25	а не	14	10
26	в ней	2	10
27	в то	5	9
28	в процессе	1	9
29	все это	2	9
30	же время	5	8
31	не в	3	8
32	и с	2	8
33	в ее	1	8
34	то что	5	8
35	произведения в	1	8
36	и на	5	8
37	как в	8	8
38	лишь в	1	8
39	именно в	2	8
40	место в	2	7
41	но и	11	7
42	с ее	2	7
43	жизни и	3	7
44	до конца	1	7
45	не только	10	7
46	должна быть	2	7
47	и от	1	7
48	все эти	3	6
49	и здесь	1	6
50	еще не	6	6
51	входит в	2	6
52	и все	3	6
53	как это	1	6
54	а в	2	6
55	в том	8	6
56	в целом	2	6
57	отнюдь не	6	6
58	она не	1	6
59	в этой	4	6
60	самом деле	1	6
61	в пределах	4	6
62	как бы	4	6
63	при этом	17	5
64	только на	1	5
65	во всех	1	5
66	в искусстве	1	5
67	того что	1	5
68	средства изображения	1	5
69	и др	1	5
70	в самом	1	5
71	должен быть	1	5
72	с другой	5	5
73	но в	11	5
74	и до	1	5
75	формы и	1	5
76	со стороны	10	5
77	в которой	1	4
78	во всяком	1	4
79	отношению к	4	4
80	стороны и	2	4
81	оно не	1	4
82	что в	5	4
83	с этой	1	4
84	в формах	2	4
85	по отношению	4	4
86	в истории	1	4
87	никогда не	2	4
88	всяком случае	1	4
89	целом и	1	4
90	и может	3	4
91	друг друга	1	4
92	одной стороны	4	4
93	для этого	1	4
94	с одной	4	4
95	в мире	11	4
96	не как	1	4
97	быть и	1	4
98	в частности	12	4
99	конструктивное значение	1	4
100	с его	6	4
101	как о	1	4
102	как на	3	4
103	сводится к	2	3
104	все же	6	3
105	для него	5	3
106	и наконец	3	3
107	аналогии с	1	3
108	бы то	1	3
109	отличается от	1	3
110	же в	1	3
111	здесь не	2	3
112	не было	3	3
113	в жизни	1	3
114	воздействия на	1	3
115	всего в	1	3
116	в большинстве	2	3
117	тем самым	6	3
118	человек не	1	3
119	то ни	1	3
120	на язык	1	3
121	более того	1	3
122	но не	7	3
123	его как	1	3
124	время в	2	3
125	отношение к	2	3
126	между ними	1	3
127	изображения и	1	3
128	к тому	1	3
129	и даже	1	3
130	бытия в	1	3
131	поэтических форм	1	3
132	это и	1	3
133	как она	1	3
134	один из	1	3
135	в основе	4	3
136	по аналогии	1	3
137	в них	3	3
138	в особенности	1	3
139	не приводит	1	3
140	так сказать	1	3
141	когда он	1	3
142	не для	1	3
143	и всякое	2	3
144	жизнь как	1	3
145	мы не	1	3
146	или иного	2	3
147	его в	3	3
148	в области	2	3
149	он должен	1	3
150	становления и	3	3
151	что он	2	3
152	не о	2	3
153	со всей	1	3
154	исторической поэтики	2	3
155	роли в	1	3
156	на фоне	1	3
157	и как	3	3
158	в себе	19	3
159	он не	3	3
160	но это	3	3
161	но для	1	3
162	может и	2	2
163	они были	1	2
164	приводит к	3	2
165	но есть	1	2
166	вопрос о	1	2
167	тех же	1	2
168	на их	1	2
169	уже как	2	2
170	она была	1	2
171	нас не	1	2
172	и развития	1	2
173	и со	1	2
174	как с	1	2
175	большинстве случаев	1	2
176	влияние и	1	2
177	к другим	1	2
178	как такового	1	2
179	чтобы стать	1	2
180	роман и	1	2
181	подход к	3	2
182	не дает	1	2
183	от друга	1	2
184	того или	1	2
185	в одном	4	2
186	в нашем	1	2
187	в применении	1	2
188	но все	1	2
189	в строгом	3	2
190	в году	1	2
191	жизни в	3	2
192	одной из	1	2
193	мира как	1	2
194	вместе с	2	2
195	и должно	1	2
196	о мире	1	2
197	здесь в	3	2
198	произведения как	2	2
199	между тем	2	2
200	это не	3	2
201	к ней	1	2
202	не с	2	2
203	не сводится	4	2
204	мысли в	1	2
205	за пределы	1	2
206	в противовес	5	2
207	жизни не	2	2
208	на него	1	2
209	виду что	1	2
210	идет о	2	2
211	из важнейших	2	2
212	в современном	1	2
213	не на	2	2
214	о другой	1	2
215	во всем	1	2
216	общения и	2	2
217	ни в	7	2
218	ничего не	1	2
219	только в	3	2
220	часто и	1	2
221	уже не	3	2
222	а часто	1	2
223	могло бы	1	2
224	одна из	1	2
225	художественного целого	4	2
226	ни было	1	2
227	же как	2	2
228	чтобы не	1	2
229	что и	2	2
230	во внешнем	1	2
231	является для	1	2
232	и что	1	2
233	однако не	1	2
234	в результате	2	2
235	и развитие	1	2
236	в своих	6	2
237	указать на	2	2
238	из виду	3	2
239	в ряду	2	2
240	его не	1	2
241	друг от	1	2
242	от их	1	2
243	его с	1	2
244	точка зрения	1	2
245	к миру	1	2
246	настоящего времени	1	2
247	с ним	1	2
248	и это	2	2
249	мира в	3	2
250	применении к	1	2
251	в предыдущей	1	2
252	в художественную	1	2
253	еще в	3	2
254	не есть	1	2
255	жизни но	3	2
256	и более	1	2
257	на языке	2	2
258	связи и	1	1
259	ней в	1	1
260	его от	1	1
261	по природе	2	1
262	ни одно	2	1
263	структура была	1	1
264	внешнем мире	1	1
265	и состоит	2	1
266	для всех	1	1
267	уже о	1	1
268	не исчерпывают	1	1
269	окажется неадекватным	1	1
270	не знает	3	1
271	том что	10	1
272	общения в	1	1
273	в форме	1	1
274	о ней	1	1
275	эпохи когда	1	1
276	мире в	3	1
277	данном случае	6	1
278	в обоих	2	1
279	приобщаясь к	1	1
280	тогда как	11	1
281	менее в	1	1
282	числе и	1	1
283	из этого	1	1
284	говорить о	2	1
285	можно сказать	3	1
286	сводить к	1	1
287	мышления и	1	1
288	что как	2	1
289	к этим	1	1
290	в этот	1	1
291	ценностей в	1	1
