N	2gram	Vinokur_St_1	Marksizm
1	точки зрения	11	34
2	может быть	15	26
3	и не	16	26
4	не может	8	24
5	с точки	8	20
6	и в	44	19
7	и его	8	19
8	таким образом	7	17
9	в этом	21	16
10	как бы	4	15
11	в процессе	1	14
12	как мы	1	13
13	языка и	4	13
14	прежде всего	7	13
15	как и	9	12
16	если мы	1	11
17	так и	9	11
18	и для	3	11
19	самом деле	11	10
20	в нем	5	10
21	в слове	5	10
22	в самом	7	10
23	лишь в	3	9
24	только в	10	9
25	для него	6	9
26	в результате	3	9
27	бы то	1	8
28	все же	8	8
29	не только	18	8
30	без исключения	1	8
31	при этом	2	8
32	о языке	1	8
33	то ни	1	8
34	до сих	7	8
35	но и	10	8
36	сих пор	7	8
37	то что	18	8
38	во всех	8	7
39	в ее	4	7
40	но в	10	7
41	все эти	5	7
42	и те	2	7
43	то же	5	7
44	в каждом	3	7
45	а не	16	7
46	так же	5	7
47	кроме того	1	6
48	мы не	2	6
49	в науке	1	6
50	ничего не	2	6
51	настоящее время	1	6
52	в его	9	6
53	в том	36	6
54	является не	4	6
55	в настоящее	1	6
56	другой стороны	7	6
57	того же	3	6
58	знак и	1	5
59	конечно не	2	5
60	входит в	1	5
61	не в	12	5
62	должна опираться	1	5
63	того чтобы	11	5
64	ничего общего	3	5
65	и все	2	5
66	этот вопрос	4	5
67	опираться на	1	5
68	ясно что	10	5
69	в начале	3	5
70	в конце	3	5
71	вовсе не	19	5
72	с другой	9	5
73	за пределы	2	5
74	именно в	6	5
75	до конца	1	5
76	и потому	2	5
77	хотя бы	6	5
78	знака в	2	5
79	к этому	1	5
80	во всяком	6	5
81	вопрос о	4	4
82	и на	1	4
83	нет и	1	4
84	как в	13	4
85	так называемая	3	4
86	было бы	17	4
87	не столько	1	4
88	не менее	5	4
89	по себе	1	4
90	в отношении	9	4
91	не является	3	4
92	в ней	3	4
93	с самого	1	4
94	еще не	3	4
95	слово как	1	4
96	от того	1	4
97	для того	10	4
98	далеко не	1	4
99	с этим	3	4
100	в данном	14	4
101	что же	6	4
102	тот же	1	4
103	а в	17	4
104	отношении к	1	4
105	сказать что	7	4
106	что в	30	4
107	на самом	6	3
108	и есть	1	3
109	не имеют	1	3
110	а как	2	3
111	в сущности	2	3
112	по отношению	3	3
113	в истории	3	3
114	общего с	3	3
115	целый ряд	2	3
116	и к	1	3
117	в первом	2	3
118	в которой	4	3
119	является лишь	1	3
120	в корне	1	3
121	но все	4	3
122	его в	2	3
123	но именно	2	3
124	он не	2	3
125	он является	1	3
126	том что	29	3
127	места в	2	3
128	в своей	6	3
129	не становится	1	3
130	в котором	5	3
131	более того	1	3
132	место в	1	3
133	является в	1	3
134	речи в	1	3
135	в то	9	3
136	к этим	1	3
137	не имеет	4	3
138	на язык	1	3
139	же время	4	3
140	этом отношении	7	3
141	в области	14	3
142	не могут	1	3
143	должны быть	3	3
144	и это	2	3
145	не существует	3	3
146	только при	1	3
147	можно сказать	1	3
148	здесь в	1	3
149	каких бы	1	3
150	конце концов	1	3
151	того что	9	3
152	быть и	2	3
153	одной из	1	3
154	нуждается в	1	3
155	в какой	3	3
156	между тем	3	3
157	языка а	1	3
158	из них	8	3
159	в целях	1	3
160	или иной	1	3
161	в каком	3	3
162	не было	4	3
163	на этот	3	3
164	все это	5	3
165	какого бы	1	3
166	xix века	1	3
167	смысле этого	2	3
168	этом случае	2	3
169	и от	1	3
170	знак в	1	3
171	слово в	1	3
172	и при	1	3
173	совершенно не	5	3
174	это и	4	3
175	же как	3	2
176	основных вопросов	1	2
177	в какой-то	1	2
178	той же	5	2
179	не приходится	1	2
180	совпадает с	2	2
181	зависимости от	1	2
182	но при	1	2
183	быть в	2	2
184	в чем	3	2
185	не все	3	2
186	не просто	1	2
187	и речи	2	2
188	конечно совершенно	1	2
189	что во	2	2
190	в одной	1	2
191	как к	3	2
192	в своем	2	2
193	систему как	1	2
194	от этого	2	2
195	то в	3	2
196	бы и	4	2
197	существует лишь	1	2
198	в нашем	1	2
199	из этих	6	2
200	в себе	2	2
201	как он	1	2
202	если он	1	2
203	тем не	2	2
204	являются лишь	1	2
205	должна быть	3	2
206	в узком	1	2
207	не как	1	2
208	можно было	13	2
209	в работе	1	2
210	могла бы	1	2
211	что все	2	2
212	в другом	3	2
213	и с	3	2
214	бы в	1	2
215	в данной	2	2
216	этом смысле	1	2
217	ведь в	1	2
218	ни в	3	2
219	для них	1	2
220	это положение	1	2
221	ни одной	2	2
222	это делает	1	2
223	точку зрения	3	2
224	времени не	4	2
225	и более	2	2
226	тому что	3	2
227	в русской	1	2
228	что такое	1	2
229	в основе	3	2
230	не могло	1	2
231	одна из	1	2
232	иными словами	1	2
233	и является	1	2
234	в сознании	2	2
235	у нас	11	2
236	ни о	1	2
237	нет ни	2	2
238	могут быть	5	2
239	числе и	2	2
240	к тому	1	2
241	она не	2	2
242	в виду	1	2
243	и та	1	2
244	язык и	1	2
245	системе в	2	2
246	и иные	2	2
247	никогда не	5	2
248	то как	1	2
249	мог бы	1	2
250	между собой	1	2
251	если бы	9	2
252	и вообще	3	2
253	и даже	5	2
254	о том	17	2
255	все в	2	2
256	и во	2	2
257	во втором	4	2
258	что и	6	2
259	и только	3	2
260	устойчивая система	1	2
261	в двух	3	2
262	знаков в	1	2
263	что он	10	2
264	целом ряде	1	2
265	именно на	1	2
266	в качестве	4	2
267	какой степени	1	2
268	и др	1	2
269	на определенной	1	2
270	и других	1	2
271	и их	2	2
