N	2gram	Ircho_Kome_3	EvropaiE
1	и в	22	37
2	в отношении	4	32
3	в пределах	2	25
4	точки зрения	4	23
5	что в	5	21
6	не только	5	18
7	с точки	3	17
8	в то	6	16
9	то же	7	15
10	хотя бы	4	15
11	отношении к	1	15
12	в своем	8	14
13	но в	5	14
14	же время	5	14
15	в качестве	2	14
16	но и	4	14
17	и не	21	14
18	в этом	8	12
19	в их	2	11
20	в области	2	11
21	в том	12	11
22	так и	4	10
23	отнюдь не	4	9
24	в себе	4	9
25	только в	1	9
26	прежде всего	5	9
27	не может	3	9
28	так же	4	9
29	т е	16	9
30	в смысле	1	9
31	в ее	3	8
32	было бы	3	8
33	в своей	5	8
34	к тому	6	8
35	между тем	2	8
36	с одной	3	8
37	одной стороны	3	8
38	а также	2	7
39	так как	11	7
40	с другой	4	7
41	как и	3	7
42	по своему	3	7
43	может быть	6	6
44	и на	2	6
45	во всех	2	6
46	стороны и	2	6
47	на то	3	6
48	том что	13	6
49	того чтобы	6	6
50	вслед за	1	6
51	вовсе не	4	6
52	для того	6	6
53	и даже	3	6
54	как бы	3	6
55	с этой	3	6
56	то что	4	6
57	столь же	3	5
58	но не	1	5
59	не в	4	5
60	и по	1	5
61	но если	3	5
62	как мы	2	5
63	одной из	3	5
64	со стороны	11	5
65	от этого	1	5
66	в частности	3	5
67	и потому	1	5
68	в течение	3	5
69	этой точки	1	5
70	то в	1	4
71	мы не	2	4
72	вопрос о	1	4
73	в ней	4	4
74	независимо от	1	4
75	в самом	9	4
76	то ни	3	4
77	несмотря на	4	4
78	чем в	3	4
79	не имеет	3	4
80	и притом	1	4
81	к ней	8	4
82	бы то	2	4
83	можно сказать	1	4
84	тем более	4	4
85	ни было	2	4
86	не на	1	4
87	как это	5	4
88	для нас	1	4
89	сказать что	1	4
90	идет о	3	3
91	из всех	2	3
92	с более	1	3
93	на себя	4	3
94	и со	2	3
95	того же	6	3
96	как в	2	3
97	когда он	4	3
98	и к	3	3
99	всего лишь	2	3
100	представляет собой	3	3
101	мы можем	3	3
102	не будет	2	3
103	не дает	4	3
104	и мы	3	3
105	и тем	1	3
106	в них	3	3
107	с тем	4	3
108	можно считать	1	3
109	в которых	5	3
110	никогда не	3	3
111	потому что	10	3
112	ли это	1	3
113	с другом	1	3
114	можно было	2	3
115	о том	8	3
116	от них	1	3
117	место в	1	3
118	что и	8	3
119	и только	1	3
120	в стороне	1	3
121	всяком случае	3	3
122	не из	1	3
123	из них	5	3
124	очевидно что	1	3
125	себе в	3	3
126	в известной	2	3
127	в прошлом	1	3
128	к ним	3	3
129	на долю	3	3
130	тем что	5	3
131	этом отношении	2	3
132	в свою	7	3
133	говорит о	1	3
134	друг с	1	3
135	является ли	2	3
136	не является	4	3
137	известной степени	2	3
138	и для	4	3
139	и от	1	3
140	в результате	2	3
141	обстоит дело	2	3
142	жизни в	1	3
143	на своем	1	3
144	как на	1	3
145	в таком	2	3
146	во всяком	3	3
147	и наиболее	1	2
148	именно к	1	2
149	из того	3	2
150	на них	3	2
151	между собой	4	2
152	он сам	1	2
153	но как	1	2
154	в сторону	1	2
155	друг от	1	2
156	в истории	1	2
157	более чем	5	2
158	его на	2	2
159	с этим	3	2
160	хотя и	5	2
161	целый ряд	2	2
162	и как	1	2
163	чем больше	1	2
164	чем на	1	2
165	в этой	3	2
166	что к	4	2
167	в случае	1	2
168	и если	2	2
169	он не	5	2
170	и еще	3	2
171	в силу	2	2
172	таким образом	12	2
173	в мире	2	2
174	и с	4	2
175	с другими	2	2
176	для них	1	2
177	своему характеру	1	2
178	далеко не	3	2
179	в своих	2	2
180	в развитии	2	2
181	такой же	1	2
182	иначе обстоит	2	2
183	в этих	1	2
184	но поскольку	1	2
185	в котором	2	2
186	представление о	2	2
187	не к	1	2
188	одном из	1	2
189	она не	2	2
190	по своей	1	2
191	именно потому	2	2
192	что на	1	2
193	если этот	1	2
194	не могут	2	2
195	могут быть	1	2
196	всего в	1	2
197	от друга	1	2
198	свою очередь	6	2
199	говоря уже	1	2
200	мог бы	1	2
201	во многом	1	2
202	на месте	3	2
203	по сравнению	2	2
204	если бы	8	2
205	и поэтому	4	2
206	и та	1	2
207	и что	6	2
208	и во	2	2
209	к нему	5	2
210	во втором	1	2
211	в его	8	2
212	подходит к	1	2
213	о положении	1	2
214	в какой	3	2
215	и теперь	1	2
216	в большинстве	1	2
217	если в	1	2
218	и других	1	2
219	участие в	1	2
220	в одном	2	2
221	меньше чем	2	2
222	в других	3	2
223	другой и	1	2
224	в элладу	1	2
225	а именно	1	2
