N	2gram	Medvedev_S_1	Vladivir
1	и в	3	31
2	не только	3	24
3	но и	2	19
4	то что	2	18
5	и не	1	17
6	у него	1	15
7	что в	2	14
8	в этом	5	14
9	том что	2	14
10	в его	3	12
11	что он	1	12
12	в том	5	11
13	о том	1	11
14	в конце	2	9
15	а в	1	9
16	никогда не	1	9
17	только в	2	9
18	в то	1	8
19	в те	1	8
20	и по	1	8
21	еще и	1	7
22	и его	1	7
23	не может	1	6
24	в котором	1	6
25	на этот	1	6
26	так и	1	6
27	не без	1	6
28	то же	2	6
29	и потому	1	6
30	и что	2	6
31	может быть	2	6
32	не было	1	5
33	вовсе не	1	5
34	с ним	1	5
35	не в	3	5
36	но как	1	5
37	а с	1	5
38	все это	7	5
39	главным образом	2	4
40	для нас	3	4
41	же время	1	4
42	в этой	1	4
43	в своей	1	4
44	один из	1	4
45	никак не	1	4
46	как и	1	4
47	и как	1	4
48	все эти	1	3
49	но она	1	3
50	все же	1	3
51	в связи	1	3
52	конце концов	2	3
53	таким образом	2	3
54	в виде	1	3
55	но не	1	3
56	но только	1	3
57	за пределы	2	3
58	в целом	1	3
59	ничего не	1	3
60	с другой	1	3
61	со своими	1	3
62	отнюдь не	1	3
63	и затем	1	2
64	в свои	1	2
65	еще не	2	2
66	во всяком	1	2
67	место в	1	2
68	даже не	1	2
69	даже в	1	2
70	хотя бы	1	2
71	дело не	2	2
72	что на	1	2
73	на что	1	2
74	в чем	1	2
75	существу дела	1	2
76	к изучению	1	2
77	на все	1	2
78	это и	2	2
79	и мы	2	2
80	мы должны	1	2
81	и о	1	2
82	на основании	1	2
83	всяком случае	1	2
84	тем что	1	2
85	этой области	1	2
86	что все	1	2
87	образом в	1	2
88	в них	1	2
89	на первый	1	2
90	он говорит	1	2
91	в результате	2	2
92	кто не	1	2
93	тем более	2	2
94	первый план	1	2
95	в частности	2	2
96	по существу	2	2
97	этом не	1	2
98	не из	1	2
99	где же	1	2
100	что она	1	2
101	конечно не	1	2
102	было бы	2	2
103	а вот	1	1
104	но одно	1	1
105	бы в	1	1
106	и самым	1	1
107	или не	1	1
108	прежде всего	1	1
109	тех кто	1	1
110	связи с	1	1
111	настоящее время	1	1
112	не пошел	1	1
113	этого и	1	1
114	с помощью	1	1
115	дает нам	1	1
116	работы в	1	1
117	которая должна	1	1
118	его слишком	1	1
119	только то	1	1
120	те же	1	1
121	мы еще	1	1
122	том и	1	1
123	и только	3	1
124	далеки от	1	1
125	все то	1	1
126	между ними	1	1
127	в заключение	1	1
128	в таких	1	1
129	быть не	1	1
130	против этого	1	1
131	его собственная	1	1
132	это не	1	1
133	не меняет	1	1
134	выдвигает на	1	1
135	больше того	1	1
136	в этих	1	1
137	по отношению	2	1
138	для изучения	1	1
139	из тех	1	1
140	новое и	1	1
141	даже больше	1	1
142	в силу	1	1
143	будучи сторонником	1	1
144	своей специальности	1	1
145	это же	1	1
146	не один	1	1
147	в каждом	1	1
148	потому его	1	1
149	столь же	1	1
150	в настоящее	1	1
151	не мешает	1	1
152	же самое	1	1
153	именно в	1	1
154	с одной	1	1
155	тому что	1	1
156	и научно	1	1
157	остается в	1	1
158	правда он	1	1
159	далеко не	2	1
160	одной стороны	1	1
161	мы не	1	1
162	же этот	1	1
163	в области	1	1
164	и есть	1	1
165	для наших	1	1
166	и более	1	1
167	время пишет	1	1
168	не способен	1	1
169	литературы и	2	1
170	связь между	1	1
171	в данном	1	1
