N	4gram	Losev_Prob_5	Vladivir
1	дело в том что	2	3
2	в то же время	1	3
3	или по крайней мере	1	2
4	в том что он	1	2
5	не говоря уже о	1	2
6	что бы то ни	1	1
7	по крайней мере в	1	1
8	нас в настоящее время	2	1
9	и в конце концов	1	1
10	не что иное как	3	1
11	но тем не менее	1	1
12	в то время как	3	1
13	достаточно указать хотя бы	1	1
14	в своей работе года	1	1
15	во что бы то	1	1
16	указать хотя бы на	1	1
17	но в то же	1	1
18	крайней мере в двух	1	1
19	смысле а именно в	1	1
20	уже содержит в себе	1	1
21	насколько можно судить по	1	1
22	и в том числе	1	1
23	в связи с этим	1	1
24	также и то что	2	1
25	бы то ни стало	1	1
26	не к кому другому	1	1
27	которых вы не знаете	1	1
28	для нас в настоящее	2	1
