N	4gram	Vygotskiy__7	Psycholo
1	в то время как	2	5
2	с этой точки зрения	4	4
3	одной и той же	2	3
4	заключается в том что	4	3
5	случае не может быть	1	2
6	несмотря на то что	1	2
7	ни в какой мере	2	2
8	в силу того что	1	2
9	в том что она	2	2
10	с одной стороны и	3	1
11	не иначе как в	1	1
12	таким образом оказывается что	1	1
13	в той мере в	2	1
14	в том числе и	1	1
15	до тех пор пока	1	1
16	мы примем во внимание	1	1
17	в такой же мере	3	1
18	той мере в какой	2	1
19	в какой мере не	2	1
20	если мы обратимся к	1	1
21	одно и то же	3	1
22	то не удивительно что	1	1
23	говорит по этому поводу	1	1
24	мы видим в том	1	1
25	не что иное как	1	1
26	друг к другу и	1	1
27	в сущности говоря это	1	1
28	заключается только в том	1	1
29	что с точки зрения	1	1
30	до сих пор значение	1	1
31	но вместе с тем	1	1
32	состоит в том что	3	1
33	если мы примем во	1	1
34	как говорит французская пословица	1	1
35	только о том что	1	1
36	все больше и больше	2	1
37	но если присмотреться внимательно	1	1
38	одну и ту же	1	1
39	точно так же как	2	1
40	но для того чтобы	1	1
41	так же как и	1	1
42	одном и том же	1	1
43	именно в силу того	1	1
44	и там и здесь	1	1
45	одним и тем же	2	1
