N	3gram	Berdyaev_M_1	Istorich
1	во всех этих	1	6
2	в ином мире	1	5
3	не только в	2	5
4	о том что	1	5
5	мы имеем в	1	4
6	в том что	1	4
7	не может быть	17	3
8	с того что	1	3
9	то время как	2	2
10	но и в	4	2
11	но это не	1	2
12	до сих пор	2	2
13	в то время	2	2
14	что и в	1	2
15	мы увидим что	3	2
16	и в конце	2	1
17	на том что	1	1
18	от него и	1	1
19	что они не	1	1
20	а не в	4	1
21	по отношению к	2	1
22	в самом деле	1	1
23	он не только	2	1
24	он мог бы	1	1
25	и он же	1	1
26	он не может	2	1
27	находятся в состоянии	1	1
28	в зависимости от	1	1
29	в иных случаях	1	1
30	что он не	2	1
31	и та же	1	1
32	но он не	2	1
33	и т п	1	1
34	не знает что	1	1
35	можно было бы	1	1
36	и он мог	1	1
37	а иногда и	1	1
38	у него нет	1	1
39	вместе с тем	5	1
40	и у других	1	1
41	с того ни	1	1
42	ни с того	1	1
43	есть и в	1	1
44	она все же	1	1
45	ни с сего	1	1
46	одна и та	1	1
47	в них не	1	1
48	никто не может	1	1
49	принять участие в	1	1
50	это тем более	1	1
51	одним из самых	1	1
52	это значит что	3	1
53	и всякий раз	1	1
54	один из самых	4	1
55	того ни с	1	1
56	но не может	1	1
57	все это не	1	1
58	в этом все	1	1
59	она не может	1	1
60	в иной мир	2	1
61	оказалось роковым для	1	1
