N	2gram	Ircho_Kome_2	Myslijsy
1	потому что	6	33
2	то что	6	29
3	может быть	11	26
4	таким образом	6	24
5	в этом	10	23
6	в том	11	23
7	и в	26	23
8	и не	14	18
9	что в	9	17
10	только в	4	15
11	то же	3	14
12	в себе	1	14
13	как и	4	14
14	так как	4	14
15	для нас	3	14
16	если бы	9	13
17	не было	3	12
18	а не	1	12
19	том что	9	12
20	не в	2	11
21	по себе	1	11
22	но и	10	11
23	не может	3	11
24	по отношению	3	10
25	не только	7	10
26	мы можем	3	10
27	тем что	3	10
28	между тем	4	9
29	мы не	2	8
30	то это	2	8
31	в своем	6	8
32	но в	3	8
33	было бы	8	8
34	стало быть	1	8
35	о том	6	8
36	сказать что	1	8
37	отношению к	3	8
38	и т	2	7
39	как в	3	7
40	с этим	5	7
41	что это	4	7
42	в нем	6	7
43	в силу	2	7
44	это не	2	7
45	и что	2	7
46	что и	7	7
47	вовсе не	2	7
48	с тем	5	7
49	независимо от	5	6
50	и к	2	6
51	в которой	5	6
52	того как	3	6
53	мысль о	1	6
54	так и	12	6
55	тех пор	3	6
56	что не	1	6
57	до тех	3	6
58	для того	5	6
59	вместе с	9	6
60	говорить о	2	5
61	хотя и	4	5
62	бы и	2	5
63	есть для	2	5
64	как бы	2	5
65	имеет для	1	5
66	и мы	1	5
67	значение слова	1	5
68	не менее	4	5
69	с ним	1	5
70	не имеет	3	5
71	внимание на	1	5
72	к нему	3	5
73	так что	5	5
74	уже в	4	5
75	в его	4	5
76	для него	1	5
77	само по	1	5
78	что же	1	5
79	все это	3	5
80	тем более	1	5
81	а в	3	5
82	таким же	1	5
83	во всяком	2	5
84	только потому	2	4
85	предположить что	1	4
86	в истории	5	4
87	думать что	1	4
88	всех остальных	2	4
89	и с	5	4
90	его в	4	4
91	мы имеем	2	4
92	точки зрения	4	4
93	в котором	3	4
94	сих пор	2	4
95	тем не	1	4
96	т п	2	4
97	и более	1	4
98	в то	6	4
99	того чтобы	6	4
100	это слово	4	4
101	со своим	1	4
102	в сознании	1	4
103	в каком	1	4
104	и та	1	4
105	что он	5	4
106	хотя бы	2	4
107	то и	1	4
108	в одном	2	4
109	от того	2	4
110	только на	1	4
111	до сих	2	4
112	на основании	5	4
113	так же	1	4
114	в той	2	4
115	да и	3	4
116	и все	2	4
117	между ними	1	4
118	только как	1	4
119	по поводу	3	4
120	тем самым	1	4
121	например в	3	3
122	самом деле	1	3
123	и есть	2	3
124	в первом	2	3
125	что эти	1	3
126	той же	3	3
127	из сказанного	1	3
128	еще не	6	3
129	и на	7	3
130	то мы	1	3
131	там где	1	3
132	для создания	1	3
133	по которому	1	3
134	в действительности	2	3
135	и хотя	2	3
136	в самом	4	3
137	все эти	1	3
138	так в	2	3
139	лица и	1	3
140	и если	2	3
141	на его	1	3
142	в каждом	3	3
143	том случае	1	3
144	что например	1	3
145	но уже	1	3
146	в них	4	3
147	не всегда	2	3
148	ведет к	1	3
149	с точки	1	3
150	их в	1	3
151	на себе	1	3
152	никогда не	1	3
153	в разных	1	3
154	же время	3	3
155	связи с	3	3
156	к тому	12	3
157	как человек	1	3
158	что у	4	3
159	было в	1	3
160	в виду	2	3
161	там же	1	3
162	и следовательно	1	3
163	с ними	2	3
164	пор не	1	3
165	с нею	1	3
166	и их	3	3
167	всяком случае	2	3
168	со стороны	2	3
169	и из	1	3
170	нельзя сказать	1	3
171	именно в	1	3
172	в переносном	1	3
173	лишь тогда	1	3
174	так называемых	2	3
175	более чем	4	3
176	все более	1	3
177	нет ничего	1	3
178	со словом	1	3
179	в этих	4	3
180	в искусстве	1	3
181	этого последнего	1	2
182	отношения между	1	2
183	как мы	4	2
184	не вполне	2	2
185	но даже	1	2
186	же что	1	2
187	в ней	3	2
188	столь же	9	2
189	в различных	1	2
190	то он	1	2
191	значение и	1	2
192	сравнение двух	1	2
193	это сравнение	1	2
194	и я	2	2
195	и слова	1	2
196	что по	2	2
197	имеет в	2	2
198	следует сказать	1	2
199	так или	3	2
200	чем больше	1	2
201	в нашем	2	2
202	из этих	4	2
203	что она	2	2
204	не следует	2	2
205	он не	2	2
206	идет от	1	2
207	человека в	3	2
208	в мире	2	2
209	об этом	2	2
210	это было	4	2
211	одна и	1	2
212	чем в	2	2
213	в других	2	2
214	и при	1	2
215	представить себе	3	2
216	и без	1	2
217	от его	1	2
218	признать что	2	2
219	вопрос о	3	2
220	том же	1	2
221	даже в	2	2
222	можем сказать	1	2
223	тому что	4	2
224	эта мысль	1	2
225	даже не	3	2
226	самого начала	1	2
227	в сущности	1	2
228	иметь в	1	2
229	не имели	1	2
230	в общих	1	2
231	имеем дело	1	2
232	и его	12	2
233	в более	1	2
234	этот образ	1	2
235	что на	3	2
236	в области	1	2
237	у нас	1	2
238	с и	4	2
239	и вполне	1	2
240	из себя	1	2
241	нравственные свойства	1	2
242	и это	2	2
243	в ее	2	2
244	в глазах	2	2
245	судя по	4	2
246	в образе	3	2
247	можно было	4	2
248	не с	1	2
249	пор пока	1	2
250	и здесь	6	2
251	в самой	3	2
252	но мы	1	2
253	после того	2	2
254	что его	3	2
255	нас в	1	2
256	судить о	1	2
257	но нет	1	2
258	бы в	2	2
259	я вижу	1	2
260	в другой	2	2
261	еще более	2	2
262	один из	5	2
263	в двух	6	2
264	мы видим	1	2
265	тот же	2	2
266	что даже	1	2
267	которым оно	1	2
268	они могут	1	2
269	место из	1	2
270	конечно не	1	2
271	и у	2	2
272	если мы	1	2
273	в большинстве	1	2
274	и они	1	2
275	в понятие	1	2
276	большинстве случаев	1	2
277	за ним	1	2
278	не так	1	2
279	никто не	3	2
280	отношение к	2	2
281	человека из	1	2
282	друг друга	3	2
283	и даже	1	2
284	с другой	2	2
285	или иначе	3	2
286	на этот	4	2
287	в свою	1	2
288	относящихся к	1	2
289	с которым	2	2
290	нечто такое	1	2
291	равно как	1	2
292	к его	2	2
293	только для	1	2
294	из которых	3	2
295	по своему	2	2
296	в течение	2	2
297	а может	1	2
298	в состоянии	1	2
299	быть не	1	2
300	в это	2	2
301	из тех	1	2
302	и для	4	2
303	и как	1	2
304	во время	6	2
305	хотя в	1	2
306	от ее	2	2
307	из этого	2	2
308	в голову	2	2
309	точно так	1	2
310	все что	1	2
311	то на	1	1
312	также что	2	1
313	речь идет	3	1
314	одним из	2	1
315	до него	1	1
316	отделен от	1	1
317	того же	3	1
318	а из	2	1
319	идет о	2	1
320	тем же	1	1
321	по которым	2	1
322	в мыслях	1	1
323	представление об	1	1
324	сослаться на	1	1
325	в их	3	1
326	и за	2	1
327	б и	4	1
328	для своего	1	1
329	по нашим	1	1
330	ему в	1	1
331	о роли	1	1
332	это время	3	1
333	свою очередь	1	1
334	меньше чем	2	1
335	по этому	1	1
336	в чем	1	1
337	во всех	3	1
338	только после	1	1
339	не без	1	1
340	землю и	1	1
341	но не	3	1
342	достаточно для	1	1
343	же она	1	1
344	не все	1	1
345	отличие от	2	1
346	человек стремится	1	1
347	ведь мы	2	1
348	друг от	1	1
349	нет и	2	1
350	хотя эти	1	1
351	меньше всего	4	1
352	первый взгляд	1	1
353	далеко от	1	1
354	следующим образом	1	1
355	и отчасти	1	1
356	то ли	2	1
357	себе как	1	1
358	та же	1	1
359	соответствует образ	1	1
360	сказать о	2	1
361	что нас	1	1
362	в греции	2	1
363	сил в	1	1
364	многое в	1	1
365	в этой	3	1
366	почти одновременно	1	1
367	в положении	1	1
368	не приводит	1	1
369	мы их	1	1
370	и стало	1	1
371	намеки на	1	1
372	время и	1	1
373	и еще	2	1
374	том чтобы	1	1
375	и сам	3	1
376	на этом	2	1
377	составляющими его	1	1
378	что их	2	1
379	но все	3	1
380	от нее	1	1
381	а вместе	1	1
382	главным образом	1	1
383	а по	1	1
384	на все	1	1
385	с целью	1	1
386	второй половины	2	1
387	входит в	1	1
388	не умеет	1	1
389	действительности в	1	1
390	окажется что	1	1
391	еще одно	1	1
392	из первых	1	1
393	и легко	1	1
394	же образом	1	1
395	на второй	1	1
396	на столе	1	1
397	мы видели	1	1
398	на родном	1	1
399	и такая	2	1
400	в развитии	2	1
401	и тогда	1	1
402	не мог	1	1
403	не принесло	1	1
404	на первый	1	1
405	в эту	1	1
406	от своего	1	1
407	в своей	3	1
408	мысль и	1	1
409	этой связи	1	1
410	в следующем	2	1
411	бы к	2	1
412	то для	1	1
413	значение для	1	1
414	которые в	2	1
415	друг другу	3	1
416	с человеком	1	1
417	бы быть	1	1
418	для нее	1	1
419	стоит только	1	1
420	подобным образом	1	1
421	и причина	1	1
422	но они	1	1
423	что эта	1	1
424	с которой	1	1
425	как о	1	1
426	на два	1	1
427	не по	4	1
428	это опять	1	1
429	человека если	1	1
430	вытекает из	1	1
431	а для	1	1
432	на отношения	1	1
433	ничего не	1	1
434	отнестись к	1	1
435	действительности но	1	1
436	и по-видимому	1	1
437	этих двух	1	1
438	что речь	1	1
439	эти три	1	1
440	без слов	1	1
441	весь этот	1	1
442	как будто	4	1
443	если у	2	1
444	и одного	1	1
445	его для	1	1
446	и другой	1	1
447	числе и	1	1
448	его с	1	1
449	бы он	1	1
450	той или	1	1
451	они и	1	1
452	в каждой	1	1
453	при таком	1	1
454	то она	1	1
455	от друга	1	1
456	как не	2	1
457	такое что	1	1
458	что первенство	1	1
459	в собственном	1	1
460	представим себе	1	1
461	в себя	1	1
462	с самого	2	1
463	или для	1	1
464	то время	3	1
465	ясно что	8	1
466	в пределах	1	1
467	роль в	2	1
468	огромное количество	1	1
469	до самого	1	1
470	убеждение в	1	1
471	в другом	1	1
472	времени и	1	1
473	все от	1	1
474	во второй	1	1
475	является в	1	1
476	вместо всего	1	1
477	не был	1	1
478	возможна только	1	1
479	тому и	1	1
480	свой отпечаток	1	1
481	и другому	1	1
482	и поэтому	3	1
483	второй половине	1	1
484	на что	2	1
485	эти качества	1	1
486	все его	1	1
487	а также	1	1
488	времени в	2	1
489	на основе	1	1
490	а у	3	1
491	от них	1	1
492	и во	2	1
493	таким путем	1	1
494	не более	2	1
495	них в	1	1
496	вслед за	2	1
497	ей возможность	1	1
498	самих что	1	1
499	если это	1	1
500	второй план	1	1
501	к своим	1	1
502	сначала это	1	1
503	показывают что	1	1
504	обе эти	1	1
505	такое чего	1	1
506	среди других	1	1
507	одной из	4	1
508	дело с	3	1
509	что различные	1	1
510	словом если	1	1
511	на чем	1	1
512	не идет	1	1
513	по мнению	1	1
514	с одной	2	1
515	в качестве	5	1
516	человека с	1	1
517	впечатление которое	1	1
518	отношений к	1	1
519	из причин	1	1
520	составить себе	1	1
521	свидетельствует о	1	1
522	связан в	1	1
523	из них	7	1
524	к открытию	1	1
525	прикасается к	1	1
526	одно из	2	1
527	в известной	1	1
528	могло бы	1	1
529	слово как	1	1
530	к человеку	1	1
531	у него	4	1
532	речь и	1	1
533	тогда в	1	1
534	значение только	1	1
535	ее на	1	1
536	более близкие	1	1
537	ее словом	1	1
538	же это	1	1
539	рядом с	2	1
540	были бы	1	1
541	которые как	1	1
542	из двух	1	1
543	влиянию на	1	1
544	уже при	1	1
545	здесь в	3	1
546	к которому	1	1
547	с той	2	1
548	а с	1	1
549	и затем	1	1
550	прежде всего	4	1
551	одной стороны	2	1
552	в руках	4	1
553	его по	1	1
554	если эти	1	1
555	однако не	1	1
556	в одно	1	1
557	если не	2	1
558	должна была	2	1
559	в связи	3	1
560	их самих	1	1
561	не заставляет	1	1
562	следовало бы	1	1
563	то хотя	1	1
564	приметы при	1	1
565	свою речь	1	1
566	связь с	1	1
567	в частности	4	1
568	между противоположными	1	1
569	как это	4	1
570	из трех	1	1
571	отрывок из	1	1
572	если она	1	1
573	в разной	1	1
574	без помощи	1	1
575	надо было	3	1
576	к самому	1	1
577	власть над	1	1
578	к своему	1	1
579	до настоящего	1	1
580	да рядом	1	1
581	он говорит	1	1
582	образом и	1	1
583	в последнем	1	1
584	в столь	1	1
585	если человек	1	1
586	не видят	1	1
587	услышанные слова	1	1
588	не прикасается	1	1
589	того уже	1	1
590	исходя из	1	1
591	силу этого	2	1
592	войны и	3	1
593	на пути	2	1
594	и нет	1	1
595	сплошь да	1	1
596	помнить что	1	1
597	можем составить	1	1
598	люди не	1	1
599	все же	4	1
600	в наше	1	1
601	мы найдем	3	1
602	в с	1	1
603	или в	3	1
604	его не	1	1
605	о котором	1	1
606	или другой	1	1
607	ее и	1	1
608	как уже	1	1
609	но о	1	1
610	полагать что	1	1
611	что народ	1	1
612	же в	4	1
613	нам в	1	1
614	что ни	2	1
615	но если	3	1
616	не знает	1	1
617	другой стороны	1	1
618	была бы	1	1
619	общего с	1	1
620	от всех	2	1
621	других случаях	1	1
622	по которой	1	1
623	листа с	1	1
624	отказаться от	1	1
625	жизни и	3	1
626	человеку и	2	1
627	случае если	1	1
628	и эта	1	1
629	как на	1	1
630	том числе	3	1
