N	3gram	Tiupa_Lite_1	Istorich
1	с другой стороны	1	7
2	до сих пор	1	5
3	в том что	11	5
4	тем не менее	2	5
5	в данном случае	4	3
6	в связи с	4	3
7	состоит в том	5	2
8	по отношению к	2	2
9	с одной стороны	2	2
10	и то что	2	2
11	во всяком случае	2	2
12	это еще не	1	2
13	о том что	2	2
14	но все же	1	2
15	к тому же	1	2
16	не имеет своей	1	1
17	о себе в	1	1
18	мы имеем дело	1	1
19	исключают друг друга	1	1
20	между прочим и	1	1
21	подобно тому как	2	1
22	в том числе	1	1
23	во многих случаях	1	1
24	в соответствии с	1	1
25	каждого из них	1	1
26	с этой точки	3	1
27	с точки зрения	2	1
28	только то что	1	1
29	из того что	2	1
30	есть своего рода	1	1
31	никак не мог	1	1
32	можно было бы	1	1
33	не есть ли	1	1
34	не исключают друг	1	1
35	того что они	1	1
36	оградить себя от	1	1
37	не только в	4	1
38	в себя и	1	1
39	так или иначе	8	1
40	на всю жизнь	1	1
41	один из моментов	1	1
42	этой точки зрения	3	1
43	в целом но	2	1
44	это становится ясным	1	1
45	в свою очередь	1	1
46	и прежде всего	3	1
47	на самом деле	1	1
48	ничего общего с	1	1
49	не может быть	1	1
50	с самого начала	1	1
51	не только на	1	1
52	на то что	1	1
53	в русской и	1	1
54	в большинстве случаев	1	1
55	на том что	1	1
