1	и т п	5	9
2	в этом отношении	3	7
3	и т д	4	5
4	во всяком случае	2	5
5	в то же	4	5
6	то же время	4	5
7	вместе с тем	1	4
8	в высшей степени	1	4
9	как мы видели	1	4
10	но и в	2	3
11	в зависимости от	1	3
12	из всего этого	2	3
13	в значительной степени	1	3
14	сам по себе	1	3
15	для того чтобы	1	3
16	в большинстве случаев	1	3
17	с другой стороны	5	3
18	ни в чем	1	2
19	к тому что	1	2
20	с самого начала	1	2
21	в предисловии к	1	2
22	в применении к	1	2
23	в отличие от	1	2
24	и в дальнейшем	1	2
25	в том что	9	2
26	они должны были	1	2
27	и прежде всего	1	2
28	в конце концов	4	2
29	именно на эту	1	1
30	в этот период	1	1
31	до сих пор	2	1
32	в отрыве от	1	1
33	что иное как	1	1
34	говоря уже о	2	1
35	как один из	1	1
36	но при этом	1	1
37	чуть ли не	1	1
38	не что иное	1	1
39	что он не	1	1
40	тем не менее	1	1
41	была поставлена в	1	1
42	но он не	1	1
43	первой из них	1	1
44	по аналогии с	1	1
45	большей или меньшей	1	1
46	едва ли можно	1	1
47	на то чтобы	1	1
48	более или менее	1	1
49	и тот же	1	1
50	это потребность в	1	1
51	не говоря уже	2	1
52	совершенно очевидно что	1	1
53	из этих элементов	1	1
54	смысле этого слова	1	1
55	что же касается	1	1
56	мы не найдем	1	1
57	быть даже и	1	1
58	в этой области	1	1
59	по тем же	1	1
60	можно говорить о	1	1
61	т е в	2	1
62	т п в	1	1
63	так или иначе	1	1
64	следует отметить что	1	1
65	на этом фоне	1	1
66	с одной стороны	3	1
67	в данном случае	1	1
68	и в конце	1	1
69	таким образом в	2	1
70	бы то ни	2	1
71	все остальные отрицательные	1	1
72	как и в	2	1
73	может быть даже	2	1
74	в чем не	1	1
75	в той же	1	1
