N	3gram	Nazirov_Tr_1	Komedia
1	в том что	2	9
2	в самом деле	1	6
3	в то же	5	4
4	о том что	2	4
5	то же время	5	4
6	с самого начала	1	4
7	и т п	1	3
8	в связи с	1	3
9	во всяком случае	1	3
10	и в самом	2	3
11	тем не менее	1	3
12	в этом случае	1	2
13	по сравнению с	1	2
14	что он не	1	2
15	между отцом и	1	2
16	в этой связи	1	2
17	в конце концов	1	2
18	обстоит дело с	1	2
19	но все же	2	2
20	в известной степени	1	2
21	с рассказом о	1	1
22	в обоих случаях	1	1
23	ни разу не	1	1
24	об этом свидетельствует	1	1
25	отцом и сыном	1	1
26	отца и дочери	1	1
27	этой линии в	1	1
28	в отличие от	2	1
29	мы понимаем что	1	1
30	в третий раз	1	1
31	отнюдь не является	1	1
32	за то что	1	1
33	и не может	1	1
34	вызвать к жизни	1	1
35	и в частности	2	1
36	на этот счет	1	1
37	ответа на вопрос	1	1
38	но при этом	1	1
39	то что он	1	1
40	это же время	1	1
41	на русский язык	1	1
42	так и в	3	1
43	в это же	1	1
44	а нечто большее	1	1
45	после того как	1	1
46	к тому что	1	1
47	и в этом	1	1
48	друг друга и	1	1
