N	2gram	Berdyaev_M_2	StatiiOP
1	и в	46	44
2	в том	3	36
3	что в	4	30
4	том что	4	29
5	в этом	20	21
6	не только	18	18
7	то что	5	18
8	было бы	1	17
9	о том	3	17
10	а в	2	17
11	а не	13	16
12	и не	18	16
13	может быть	21	15
14	т е	4	15
15	как в	7	13
16	можно было	2	13
17	не в	9	12
18	самом деле	1	11
19	в этой	7	11
20	того чтобы	4	11
21	у нас	11	11
22	точки зрения	2	11
23	но в	10	10
24	для того	5	10
25	что он	7	10
26	только в	3	10
27	но и	15	10
28	также и	4	9
29	как и	13	9
30	в отношении	5	9
31	но также	1	9
32	так и	4	9
33	во второй	1	9
34	если бы	3	9
35	того что	6	9
36	в его	5	9
37	с другой	1	9
38	о пушкине	1	9
39	во всех	2	8
40	это не	5	8
41	с точки	1	8
42	у пушкина	1	8
43	и его	5	8
44	не может	15	8
45	я не	5	7
46	что они	3	7
47	в самом	5	7
48	и об	1	7
49	этом отношении	1	7
50	до сих	3	7
51	прежде всего	12	7
52	сих пор	3	7
53	нас нет	1	7
54	сказать что	3	7
55	по поводу	1	7
56	на самом	1	6
57	в своей	5	6
58	потому что	12	6
59	что и	4	6
60	так что	2	6
61	для него	18	6
62	при чем	1	6
63	в той	1	6
64	что же	2	6
65	но это	8	6
66	хотя бы	7	6
67	и то	1	5
68	то же	5	5
69	той же	3	5
70	в целом	1	5
71	все эти	1	5
72	в нем	22	5
73	в котором	1	5
74	в которых	1	5
75	никогда не	18	5
76	так как	8	5
77	тем что	3	5
78	все это	1	5
79	была бы	1	5
80	жизни и	6	5
81	так же	6	5
82	это и	3	4
83	мы любим	1	4
84	в которой	2	4
85	вопрос о	6	4
86	в новом	1	4
87	бы и	5	4
88	что это	6	4
89	на то	1	4
90	что она	5	4
91	в россии	3	4
92	но все	1	4
93	эту тему	1	4
94	но я	1	4
95	но если	1	4
96	во времена	1	4
97	можно ли	3	4
98	не имеет	4	4
99	как будто	2	4
100	в ее	1	4
101	что у	4	4
102	на вопрос	1	4
103	и что	2	4
104	во втором	1	4
105	же и	2	4
106	никто не	1	4
107	не было	11	4
108	к которому	3	4
109	на эту	1	4
110	как бы	8	4
111	еще более	2	4
112	это в	1	4
113	же как	3	3
114	того же	1	3
115	и без	1	3
116	должна быть	1	3
117	и за	2	3
118	в ней	11	3
119	он был	9	3
120	в чем	3	3
121	своего рода	1	3
122	не все	1	3
123	по отношению	2	3
124	с этим	1	3
125	как к	2	3
126	говорит что	2	3
127	то в	2	3
128	это можно	1	3
129	во многих	1	3
130	ведь и	1	3
131	в каждом	3	3
132	в другом	1	3
133	и с	3	3
134	лишь в	2	3
135	и тем	1	3
136	ни в	3	3
137	чем в	2	3
138	что не	2	3
139	тому что	4	3
140	в конце	5	3
141	не по	1	3
142	в основе	2	3
143	должны быть	4	3
144	должен быть	4	3
145	для себя	1	3
146	не хочу	1	3
147	об этом	1	3
148	между тем	2	3
149	и только	1	3
150	но с	2	3
151	в какой	1	3
152	это очень	1	3
153	в уста	1	3
154	вопроса о	4	3
155	возможно что	1	3
156	а с	1	3
157	да и	2	3
158	с этой	1	3
159	и для	7	3
160	не существует	3	3
161	люди которые	1	3
162	отношению к	2	3
163	культуры в	1	3
164	отношения к	2	2
165	мере в	1	2
166	не хочет	1	2
167	мы не	1	2
168	не была	1	2
169	в сущности	2	2
170	быть в	1	2
171	совсем не	5	2
172	отношение к	8	2
173	за пределы	1	2
174	более чем	2	2
175	в своем	8	2
176	есть в	3	2
177	что нет	3	2
178	смысле этого	1	2
179	целый ряд	1	2
180	в каком-то	1	2
181	от этого	2	2
182	ни один	1	2
183	бы не	2	2
184	думать что	4	2
185	раз в	1	2
186	в себе	10	2
187	но он	11	2
188	и те	2	2
189	но на	2	2
190	он не	10	2
191	он должен	1	2
192	чем у	4	2
193	этого вопроса	2	2
194	и более	1	2
195	что ни	1	2
196	тут не	2	2
197	что все	5	2
198	его в	3	2
199	по истории	1	2
200	не всегда	2	2
201	и уже	1	2
202	перед собой	1	2
203	можно найти	1	2
204	в такой	3	2
205	свободен от	1	2
206	всякий раз	1	2
207	втором случае	1	2
208	которые в	2	2
209	их в	1	2
