N	3gram	Medvedev_S_1	Russkaja
1	то же время	1	10
2	в то же	1	10
3	в том что	2	7
4	во всяком случае	1	6
5	а между тем	1	5
6	не может не	1	3
7	в лучшем случае	1	3
8	в конце концов	2	3
9	в настоящее время	1	2
10	в том и	1	2
11	друг от друга	1	2
12	сама по себе	1	2
13	по отношению к	2	1
14	то же самое	1	1
15	только то что	1	1
16	на точке зрения	1	1
17	что все это	1	1
18	в противном случае	1	1
19	по крайней мере	1	1
20	и должно было	1	1
21	и в этом	1	1
22	в связи с	1	1
23	это зависит от	1	1
24	а в том	1	1
25	это и есть	1	1
26	только в этом	2	1
