N	3gram	Trubetskoy_1	Komedia
1	к тому же	4	10
2	в том что	3	5
3	вместе с тем	8	4
4	на этот раз	1	4
5	о том что	4	4
6	для того чтобы	5	4
7	по отношению к	1	3
8	в том числе	5	3
9	так или иначе	3	3
10	в связи с	3	3
11	в первую очередь	1	3
12	то же время	2	3
13	в то время	1	3
14	в то же	2	3
15	в силу этого	1	2
16	чуть ли не	1	2
17	на пути к	2	2
18	до сих пор	5	2
19	в отличие от	1	2
20	бы то ни	2	2
21	то ни было	2	2
22	с одной стороны	7	2
23	то что он	2	2
24	во всяком случае	6	2
25	после того как	1	2
26	друг с другом	5	2
27	что и в	1	2
28	речь идет о	1	2
29	в так называемой	1	1
30	найти его в	1	1
31	пути к достижению	1	1
32	это не означает	1	1
33	потому что в	1	1
34	и одной из	1	1
35	одной из этих	1	1
36	в самом деле	1	1
37	в соответствии с	1	1
38	можем составить себе	1	1
39	как видно из	1	1
40	с точки зрения	6	1
41	сих пор не	1	1
42	и в то	1	1
43	одно из двух	1	1
44	с самого начала	2	1
45	целый ряд черт	1	1
46	том числе и	4	1
47	мы можем составить	1	1
48	точно так же	3	1
49	может быть даже	2	1
50	а вместе с	1	1
51	же что и	1	1
52	как бы то	2	1
53	всяком случае еще	1	1
54	той или иной	2	1
55	в этой области	1	1
56	с тем какое	1	1
57	в первом случае	1	1
58	на задний план	1	1
59	обстоит дело с	1	1
60	по сравнению с	2	1
61	же время он	1	1
62	с другой стороны	1	1
63	не может быть	1	1
64	более или менее	5	1
65	у него в	1	1
66	всяком случае в	1	1
67	так и в	1	1
68	в свою очередь	1	1
69	но не следует	1	1
70	но все же	4	1
71	именно в эту	1	1
72	тем не менее	3	1
73	во всех других	1	1
