N	3gram	Medvedev_V_1	Literetu
1	в то же	5	9
2	то же время	5	9
3	не может быть	8	7
4	с одной стороны	2	6
5	в том что	5	5
6	в конечном счете	5	5
7	с другой стороны	8	4
8	но с другой	1	3
9	в том чтобы	2	3
10	по отношению к	7	3
11	в этом отношении	13	3
12	в данном случае	1	3
13	о том что	3	2
14	подобно тому как	2	2
15	в том числе	2	2
16	еще в году	1	2
17	и т п	9	2
18	по крайней мере	2	2
19	и то же	1	2
20	не говоря уже	1	2
21	говоря уже о	1	2
22	одно и то	1	2
23	в этом же	1	1
24	а в том	1	1
25	в ноябре года	1	1
26	в одном из	3	1
27	приводит к тому	1	1
28	из которых он	1	1
29	в этой системе	1	1
30	же время она	1	1
31	не только не	2	1
32	в конце концов	2	1
33	нет и не	1	1
34	и в то	3	1
35	для того чтобы	3	1
36	имеем дело с	1	1
37	творческий процесс не	1	1
38	после того как	1	1
39	к тому что	3	1
40	в стихах и	1	1
41	ничего общего с	1	1
42	в частности в	2	1
43	то же самое	1	1
44	и не может	2	1
45	что он не	1	1
46	имеет ничего общего	1	1
47	этой точки зрения	2	1
48	можно было бы	2	1
49	сознания на то	1	1
50	в свою очередь	1	1
51	все то что	1	1
52	органической связи с	1	1
53	той или иной	1	1
54	одной стороны и	2	1
55	только то что	2	1
56	не могут быть	1	1
57	для него в	2	1
58	так и от	2	1
59	вместе с тем	3	1
60	даже и не	1	1
61	т п это	1	1
62	том числе и	2	1
63	читателя зрителя слушателя	1	1
64	но и он	2	1
65	мы имеем дело	1	1
66	не в том	2	1
67	во всех этих	1	1
68	не имеет ничего	1	1
69	есть познанная необходимость	1	1
70	всех этих и	1	1
71	но даже и	1	1
72	с этой точки	1	1
73	в соответствии с	1	1
74	конечном счете вся	1	1
