N	3gram	Propp_Russ_1	Sovremen
1	мы не можем	3	6
2	с точки зрения	3	5
3	тем не менее	3	2
4	друг с другом	1	2
5	во всяком случае	1	2
6	при таком методе	1	2
7	в отличие от	1	2
8	в свою очередь	2	2
9	может быть и	2	2
10	так как он	1	2
11	в настоящее время	3	2
12	можно говорить об	1	1
13	что иное как	2	1
14	и в этом	1	1
15	всяком случае не	1	1
16	одни и те	1	1
17	в связи с	4	1
18	по отношению к	1	1
19	одна и та	1	1
20	на самом деле	1	1
21	так же как	1	1
22	в этом случае	5	1
23	научное объяснение их	1	1
24	их и что	1	1
25	и что следовательно	1	1
26	но тем не	2	1
27	только одна из	1	1
28	мы должны признать	1	1
29	и та же	1	1
30	и те же	1	1
31	можно было бы	1	1
32	но все же	2	1
33	не более как	1	1
34	и могут быть	1	1
35	мы видим что	1	1
36	не что иное	2	1
37	как мы видим	1	1
38	мы уже знаем	1	1
39	в том что	15	1
40	в данном случае	1	1
41	на этот вопрос	1	1
42	и у нас	2	1
43	в западной европе	2	1
44	на другой день	1	1
45	ничего общего не	1	1
46	для наших целей	2	1
