N	2gram	Propp_Russ_2	VrazhdaK
1	в году	3	18
2	не только	10	9
3	в этом	11	8
4	и в	29	8
5	и что	5	8
6	но и	8	7
7	и все	4	7
8	то что	5	7
9	что в	22	7
10	все же	2	6
11	но в	5	6
12	в нем	1	6
13	как и	11	6
14	в котором	3	6
15	и с	10	6
16	и даже	1	6
17	то же	4	5
18	об этом	2	5
19	в то	2	5
20	между тем	3	5
21	не было	2	5
22	и не	1	5
23	в ней	1	4
24	что он	1	4
25	при этом	6	4
26	это не	5	4
27	несмотря на	1	4
28	все это	10	4
29	в виду	2	4
30	с ним	1	4
31	о том	9	4
32	для нас	6	4
33	уже в	1	4
34	может быть	13	4
35	как бы	18	4
36	в своих	2	4
37	так же	4	4
38	одним из	2	3
39	он был	1	3
40	в своем	1	3
41	и как	2	3
42	в этот	10	3
43	на то	1	3
44	его в	8	3
45	далеко не	4	3
46	том что	22	3
47	но он	3	3
48	что есть	1	3
49	в русской	1	3
50	и его	1	3
51	связи с	2	3
52	и о	3	3
53	что у	1	3
54	и во	1	3
55	в его	1	3
56	в том	22	3
57	в конце	1	3
58	тем что	3	3
59	эти слова	1	3
60	т е	24	3
61	к этому	5	3
62	в русских	4	2
63	же как	4	2
64	и то	2	2
65	на место	1	2
66	ответ на	1	2
67	в эти	1	2
68	тогда как	2	2
69	он пишет	1	2
70	человека с	1	2
71	отнюдь не	1	2
72	в этой	3	2
73	что к	1	2
74	после этого	2	2
75	о которой	1	2
76	их в	4	2
77	таким образом	6	2
78	в одну	1	2
79	в них	4	2
80	рядом с	1	2
81	а с	2	2
82	на первый	3	2
83	в эту	3	2
84	во время	12	2
85	в своей	2	2
86	и ее	2	2
87	место в	1	2
88	не менее	2	2
89	том же	4	2
90	одна из	11	2
91	никогда не	2	2
92	п в	12	2
93	в момент	2	2
94	к себе	1	2
95	и это	1	2
96	на основе	1	2
97	в в	1	2
98	так в	2	2
99	еще не	6	2
100	а также	4	2
101	там же	12	2
102	этот момент	1	2
103	тем более	1	2
104	пришел к	1	2
105	с нею	1	2
106	уже не	4	2
107	при помощи	1	2
108	из них	4	2
109	для него	1	2
110	отношение к	1	2
111	к ним	1	2
112	как раз	1	2
113	о чем	4	2
114	начиная с	2	2
115	в честь	3	2
116	не может	5	2
117	вместе с	6	2
118	в него	2	2
119	довольно много	1	2
120	в это	1	2
121	но это	1	2
122	же в	6	2
123	очень хорошо	1	2
124	а в	9	2
125	а н	3	2
126	в период	1	2
127	в свою	1	2
128	это в	2	2
129	а между	1	1
130	вряд ли	2	1
131	можно говорить	1	1
132	человека и	1	1
133	н ф	2	1
134	это и	2	1
135	и есть	1	1
136	которую они	1	1
137	в их	2	1
138	по его	1	1
139	полагает что	2	1
140	совпадает с	1	1
141	говорить о	1	1
142	в полной	1	1
143	в разные	2	1
144	один пример	1	1
145	это время	2	1
146	на них	4	1
147	полной уверенности	1	1
148	по своему	1	1
149	за него	1	1
150	как правило	1	1
151	совсем не	2	1
152	но не	5	1
153	же на	1	1
154	не все	4	1
155	если в	1	1
156	говорилось выше	1	1
157	что они	1	1
158	на стол	1	1
159	к сожалению	1	1
160	из которого	1	1
161	первый взгляд	1	1
162	независимо от	1	1
163	как в	7	1
164	с этим	2	1
165	некоторое время	1	1
166	что ее	3	1
167	и наконец	1	1
168	себе на	1	1
169	не являются	1	1
170	ясно почему	1	1
171	состояло в	1	1
172	каким-то образом	1	1
173	в самом	1	1
174	что это	3	1
175	не был	2	1
176	только два	1	1
177	выражение в	1	1
178	из разных	1	1
179	рассказ о	1	1
180	тому же	1	1
181	во многих	9	1
182	как он	1	1
183	не могла	1	1
184	всех этих	1	1
185	воду в	1	1
186	людей и	2	1
187	однако в	1	1
188	это конечно	1	1
189	совпадают с	1	1
190	не будет	1	1
191	не имело	1	1
192	и руки	1	1
193	дома и	1	1
194	не хуже	1	1
195	смеха и	1	1
196	было бы	3	1
197	где-нибудь на	2	1
198	из первых	1	1
199	не ясно	2	1
200	а за	4	1
201	ее тем	1	1
202	не всегда	3	1
203	в москве	1	1
204	в развитии	1	1
205	такой же	1	1
206	в этих	3	1
207	или вообще	4	1
208	можно найти	1	1
209	всяком случае	1	1
210	человеком и	1	1
211	этому же	1	1
212	на свою	1	1
213	представление о	5	1
214	были известны	1	1
215	своего рода	1	1
216	не будем	3	1
217	ряда других	1	1
218	ее для	1	1
219	тем не	2	1
220	что этот	1	1
221	возвращается к	1	1
222	но они	1	1
223	что эта	1	1
224	без ответа	1	1
225	не имеет	3	1
226	как о	1	1
227	также что	2	1
228	следовательно и	1	1
229	через него	2	1
230	ничего не	1	1
231	того как	2	1
232	того в	2	1
233	в другую	1	1
234	более что	1	1
235	по своей	1	1
236	такая же	1	1
237	потому что	5	1
238	до того	1	1
239	этом отношении	1	1
240	такие же	3	1
241	тем это	2	1
242	в духе	1	1
243	могут быть	2	1
244	во все	1	1
245	все ясно	1	1
246	сходство с	1	1
247	по всем	3	1
248	ничего общего	1	1
249	не совсем	2	1
250	же они?	1	1
251	свою очередь	1	1
252	в ее	3	1
253	м е	1	1
254	чем говорилось	1	1
255	то время	2	1
256	так и	1	1
257	на нее	6	1
258	не с	2	1
259	живет в	3	1
260	еще в	2	1
261	не пускает	1	1
262	том как	1	1
263	но у	1	1
264	жизнь и	2	1
265	и вообще	1	1
266	год в	1	1
267	во всяком	1	1
268	можно объяснить	1	1
269	ему нужно	1	1
270	нас в	1	1
271	затем в	1	1
272	о близости	1	1
273	к нему	4	1
274	во всех	3	1
275	от них	1	1
276	во всей	1	1
277	в форме	2	1
278	в марте	1	1
279	можно проследить	1	1
280	в другой	1	1
281	все в	2	1
282	также в	2	1
283	в свете	3	1
284	если это	1	1
285	в литературе	1	1
286	один из	2	1
287	но с	1	1
288	сразу же	2	1
289	землю при	1	1
290	ли он	1	1
291	во всем	2	1
292	за которую	1	1
293	в качестве	3	1
294	же он	1	1
295	он одновременно	1	1
296	а это	1	1
297	что для	3	1
298	ни с	1	1
299	говорит о	2	1
