N	2gram	Bakhtin_KF_1	Myshleni
1	то что	7	26
2	в этом	14	25
3	что он	2	25
4	потому что	2	21
5	точки зрения	12	18
6	в том	6	18
7	не может	27	18
8	того чтобы	2	17
9	не только	5	16
10	и в	24	16
11	того что	3	16
12	так как	1	16
13	что в	4	16
14	том что	4	15
15	понятий и	1	15
16	для того	3	14
17	в процессе	2	13
18	вопрос о	2	12
19	по отношению	26	12
20	в области	2	12
21	и не	26	12
22	отношению к	22	12
23	отношение к	5	11
24	в его	40	11
25	но не	12	10
26	было бы	8	10
27	только в	16	10
28	а не	17	10
29	с точки	9	9
30	в отношении	1	9
31	может быть	45	9
32	то же	5	8
33	в известном	1	8
34	должно быть	6	8
35	как и	5	8
36	если бы	8	8
37	тем самым	4	8
38	в основе	5	8
39	о том	3	8
40	он не	6	8
41	как это	1	8
42	мы должны	1	8
43	того же	1	7
44	и есть	9	7
45	в нем	28	7
46	но он	1	7
47	по себе	2	7
48	приводит к	1	7
49	так и	2	7
50	известном смысле	1	7
51	если мы	1	7
52	и на	3	6
53	но в	5	6
54	в этой	2	6
55	в другом	3	6
56	не в	12	6
57	своего развития	1	6
58	что все	1	6
59	мы можем	1	6
60	но и	9	6
61	в какой	1	6
62	к тому	1	6
63	должна быть	4	5
64	как в	2	5
65	в своем	16	5
66	в которой	1	5
67	их развития	1	5
68	он должен	1	5
69	на все	1	5
70	из нее	1	5
71	тому что	2	5
72	мысли и	1	5
73	с ним	5	5
74	в то	3	5
75	тогда когда	3	5
76	никогда не	5	5
77	ничего не	3	5
78	но мы	1	5
79	можно сказать	1	5
80	значит что	1	5
81	тот же	1	5
82	хотя бы	4	5
83	для него	8	5
84	тем что	3	5
85	как бы	9	5
86	это значит	1	5
87	не является	1	5
88	еще более	2	5
89	только что	1	5
90	не знает	5	5
91	и то	2	4
92	той же	1	4
93	что между	1	4
94	оба эти	2	4
95	а только	1	4
96	в самом	1	4
97	все эти	10	4
98	научных и	1	4
99	при этом	4	4
100	и по	1	4
101	мы его	1	4
102	это не	10	4
103	такой же	1	4
104	лучшем случае	1	4
105	мысли в	1	4
106	мышления и	2	4
107	не имеет	5	4
108	могут быть	3	4
109	же самое	1	4
110	не есть	20	4
111	еще не	4	4
112	и т.д	2	4
113	в качестве	2	4
114	и их	6	4
115	точек зрения	1	4
116	именно в	5	4
117	зависит от	1	4
118	что мы	1	4
119	вместе с	1	4
120	это есть	2	4
121	в целом	10	4
122	мы видим	1	4
123	в результате	1	4
124	в свою	3	4
125	функции в	1	3
126	самом деле	3	3
127	это и	2	3
128	в первом	1	3
129	мы не	3	3
130	говорить о	2	3
131	вместо того	1	3
132	как я	1	3
133	по своему	3	3
134	он может	2	3
135	но как	5	3
136	с этим	1	3
137	показать что	1	3
138	все же	5	3
139	сознания в	2	3
140	и как	2	3
141	в действительности	1	3
142	и отношения	2	3
143	и тот	1	3
144	как с	1	3
145	на этом	1	3
146	и может	3	3
147	и тем	3	3
148	с тем	2	3
149	и того	2	3
150	что значит	2	3
151	в этих	1	3
152	в их	8	3
153	из которых	2	3
154	не менее	3	3
155	до конца	3	3
156	что эта	2	3
157	в смысле	6	3
158	только не	1	3
159	вытекает из	2	3
160	по своей	1	3
161	и его	17	3
162	ничего общего	2	3
163	свою очередь	1	3
164	в себя	7	3
165	и с	1	3
166	в чем	4	3
167	к нему	12	3
168	что и	7	3
169	в лучшем	1	3
170	одной из	1	3
171	между тем	4	3
172	его и	2	3
