N	2gram	Tiupa_Anal_2	Freidism
1	таким образом	2	24
2	и не	12	23
3	не может	4	20
4	точки зрения	4	19
5	прежде всего	3	18
6	в этом	18	15
7	в его	2	15
8	может быть	6	13
9	и его	4	12
10	все эти	1	11
11	как и	14	11
12	с точки	2	11
13	как бы	10	11
14	то что	7	11
15	самом деле	1	10
16	но в	6	10
17	его в	2	10
18	с ним	2	10
19	как мы	3	10
20	так и	15	10
21	и потому	1	10
22	с его	1	9
23	во всех	4	9
24	по отношению	4	9
25	и в	16	9
26	то же	4	8
27	не только	16	8
28	он не	2	8
29	в своей	2	8
30	еще не	2	8
31	оно и	1	8
32	только в	4	8
33	так как	1	8
34	все это	4	8
35	и все	3	8
36	отношению к	4	8
37	все что	2	8
38	в самом	6	7
39	мы уже	1	7
40	и наконец	1	7
41	ни в	1	7
42	те же	2	7
43	к нему	1	7
44	один из	2	7
45	тот же	1	7
46	что же	1	7
47	сказать что	2	7
48	за пределы	4	6
49	так сказать	1	6
50	на протяжении	2	6
51	и ее	1	6
52	того что	2	6
53	для него	4	6
54	вовсе не	2	6
55	никогда не	3	6
56	хотя бы	1	6
57	совершенно не	1	6
58	я и	3	5
59	и на	6	5
60	в чем	1	5
61	и к	5	5
62	в этой	9	5
63	не в	4	5
64	мы должны	1	5
65	в то	2	5
66	могут быть	10	5
67	в себя	4	5
68	но мы	1	5
69	можно сказать	4	5
70	во внешнем	1	5
71	а в	3	5
72	но и	12	5
73	в свою	1	5
74	что в	2	5
75	и за	3	4
76	той же	2	4
77	в которой	1	4
78	говорить о	6	4
79	я не	1	4
80	совсем не	1	4
81	но не	4	4
82	из этих	1	4
83	в пределах	9	4
84	с их	2	4
85	в нем	1	4
86	всех этих	1	4
87	на этом	4	4
88	при этом	10	4
89	об этом	1	4
90	в жизни	1	4
91	не менее	4	4
92	же время	2	4
93	потому что	1	4
94	и для	2	4
95	к тому	7	4
96	бессознательного и	1	4
97	данном случае	5	4
