N	2gram	Berdyaev_V_1	Narrotol
1	не только	2	26
2	а не	7	17
3	тогда как	1	15
4	но и	5	15
5	и не	20	14
6	в том	3	14
7	в этом	4	13
8	и в	16	13
9	том что	2	13
10	только в	2	11
11	может быть	1	10
12	так и	4	9
13	то есть	1	9
14	а в	2	9
15	к тому	3	9
16	не в	3	8
17	то что	9	8
18	все же	1	6
19	прежде всего	2	6
20	в жизни	3	6
21	вслед за	2	6
22	жизни в	1	6
23	того что	5	6
24	никогда не	3	6
25	ничего не	1	6
26	в его	4	6
27	у него	1	6
28	но в	3	6
29	как бы	5	6
30	в своем	1	6
31	в форме	2	5
32	в нем	4	5
33	хотя и	5	5
34	на него	1	5
35	как в	1	5
36	я в	1	5
37	и тем	1	5
38	в котором	4	5
39	я не	1	5
40	с другой	1	5
41	что он	4	5
42	как и	4	4
43	жизни и	3	4
44	не к	2	4
45	и все	4	4
46	что это	1	4
47	с ним	2	4
48	в конце	3	4
49	как это	1	4
50	в своей	3	4
51	в ее	1	4
52	для него	2	4
53	в себя	2	4
54	то же	1	4
55	и уже	1	4
56	истории в	1	4
57	уже не	2	4
58	в этой	1	4
59	в мире	5	4
60	что в	3	4
61	в глазах	1	4
62	мира в	2	4
63	все что	4	4
64	все эти	3	3
65	на том	2	3
66	что они	7	3
67	одна из	2	3
68	для себя	1	3
69	известном смысле	1	3
70	того чтобы	2	3
71	что я	3	3
72	или даже	1	3
73	но не	2	3
74	с этой	1	3
75	о которой	1	3
76	между тем	2	3
77	это не	2	3
78	и сам	2	3
79	да и	2	3
80	то и	1	3
81	в целом	1	3
82	мира и	1	3
83	один из	2	3
84	личность не	1	3
85	с ними	1	3
86	а к	2	3
87	и для	3	3
88	тому что	3	3
89	с его	3	3
90	в известном	1	3
91	от которого	3	3
92	и по	1	3
93	бы в	1	2
94	для нас	2	2
95	еще не	8	2
96	церкви и	1	2
97	по словам	1	2
98	говорить о	4	2
99	говорит о	1	2
100	думать о	1	2
101	жизни с	1	2
102	в виде	1	2
103	не будет	2	2
104	о своем	1	2
105	должна быть	3	2
106	себя с	1	2
107	вовсе не	1	2
108	ведет к	1	2
109	себя но	1	2
110	в сознании	1	2
111	в сердце	1	2
112	хотя бы	3	2
113	мы не	2	2
114	ни для	1	2
115	если не	3	2
116	присутствует в	1	2
117	оно не	3	2
118	в бытии	1	2
119	в самом	1	2
120	превращается в	3	2
121	потому что	4	2
122	и т	2	2
123	более чем	2	2
124	том свете	1	2
125	себя не	1	2
126	они не	1	2
127	бытия в	1	2
128	у нас	1	2
129	нового времени	1	2
130	в чем	3	2
131	за которым	1	2
132	человека есть	1	2
133	а с	2	2
134	не имеет	3	2
135	со своей	1	2
136	о чем	1	2
137	а потом	1	2
138	быть личностью	2	2
139	так же	1	2
140	в будущем	1	2
141	и опять	1	2
142	могли бы	1	2
143	в процессе	1	2
144	и что	3	2
145	в результате	1	2
146	что и	3	2
147	о личности	1	2
148	роль в	1	2
149	не случайно	1	2
150	в своих	1	2
151	давно уже	2	2
152	в ней	4	2
153	к миру	1	2
154	себе и	1	2
155	можно было	2	2
156	и вновь	1	2
157	быть может	1	2
158	но это	3	2
159	в я	1	1
160	может и	1	1
161	люди что	1	1
162	прошлом и	1	1
163	но с	1	1
164	по сравнению	1	1
165	но она	1	1
166	она не	1	1
167	сравнению с	1	1
168	и с	1	1
169	человека как	2	1
170	проявляется как	1	1
171	и нет	1	1
172	я вижу	1	1
173	если они	1	1
174	вопрос о	1	1
175	мы и	2	1
176	с внутренним	1	1
177	нам и	1	1
178	в которой	1	1
179	над смертью	1	1
