N	3gram	Voloshinov_1	Otkroven
1	для того чтобы	1	3
2	не может быть	4	2
3	и никогда не	1	2
4	не только одно	1	1
5	в другом месте	1	1
6	всегда нуждается в	1	1
7	а вовсе не	1	1
8	прежде всего в	1	1
9	том что в	1	1
10	почему же не	1	1
11	в самом деле	2	1
12	только и делают	2	1
13	и не может	1	1
14	еще одну особенность	1	1
15	само по себе	1	1
16	он и не	1	1
17	в этом отношении	1	1
18	то что в	1	1
19	в том что	2	1
20	на то что	1	1
21	нужно отметить что	1	1
22	которым можно было	1	1
23	как и в	1	1
24	и в его	1	1
25	нигде и никогда	1	1
