N	2gram	Vinokur_Ku_2	FransuaR
1	и в	23	41
2	мы уже	1	18
3	таким образом	5	17
4	в нем	4	16
5	и с	7	16
6	и его	3	13
7	но и	7	13
8	в этом	18	12
9	как мы	3	12
10	все эти	12	11
11	все это	5	11
12	в самом	12	10
13	не только	20	10
14	так как	15	10
15	и др	1	10
16	прежде всего	8	10
17	то что	9	10
18	и на	6	9
19	кроме того	1	9
20	о том	1	9
21	и все	2	9
22	в сущности	9	8
23	но в	11	8
24	в этой	6	8
25	никогда не	2	8
26	и до	2	7
27	в них	4	7
28	как и	2	7
29	том что	11	7
30	в его	5	7
31	вовсе не	9	7
32	у него	3	7
33	в особенности	4	7
34	как бы	4	7
35	что в	10	7
36	также и	5	6
37	в году	2	6
38	в эпоху	1	6
39	в то	4	6
40	один из	5	6
41	с помощью	7	6
42	вместе с	5	6
43	или в	4	6
44	сказать что	4	6
45	что он	5	6
46	подчеркнуть что	1	5
47	и он	1	5
48	с его	1	5
49	в ее	1	5
50	в своем	2	5
51	что это	7	5
52	в себе	1	5
53	то же	6	5
54	той же	2	5
55	рядом с	2	5
56	но он	1	5
57	во всем	1	5
58	тем что	3	5
59	так и	4	5
60	и что	8	5
61	а также	3	5
62	же время	3	5
63	в одном	1	5
64	большинстве случаев	2	5
65	там где	5	5
66	между собою	1	5
67	так же	4	5
68	в той	2	5
69	того же	3	4
70	самом деле	9	4
71	конечно и	2	4
72	в ней	3	4
73	меньшей степени	3	4
74	он был	1	4
75	как в	3	4
76	и как	1	4
77	в другом	2	4
78	не в	8	4
79	даже в	1	4
80	того чтобы	11	4
81	все же	7	4
82	у нас	12	4
83	роль в	2	4
84	и вообще	2	4
85	тот же	5	4
86	с одной	2	4
87	именно на	1	4
88	уже в	3	4
89	в большинстве	1	4
90	в результате	4	4
91	в котором	1	4
92	и даже	2	4
93	с другой	8	4
94	именно в	3	4
95	одной стороны	1	4
96	более того	1	4
97	большей или	3	4
98	и от	2	4
99	о котором	2	4
100	в большей	3	4
101	а в	3	4
102	не может	9	4
103	как во	1	3
104	вместо того	1	3
105	в чем	1	3
106	как у	2	3
107	мы будем	2	3
108	с этим	3	3
109	перед нами	4	3
110	при этом	2	3
111	связанных с	1	3
112	на все	2	3
113	было бы	15	3
114	и их	1	3
115	также что	2	3
116	в огромном	1	3
117	потому что	25	3
118	только с	1	3
119	этом отношении	3	3
120	те же	3	3
121	никак не	3	3
122	до сих	1	3
123	к нему	2	3
124	в него	1	3
125	того что	3	3
126	одной из	1	3
127	только в	5	3
128	конечно не	2	3
129	есть в	3	3
130	в целях	2	3
131	выходит за	2	3
132	или меньшей	3	3
133	что не	6	3
134	но оно	2	3
135	в данном	4	3
136	и не	16	3
137	с этой	2	3
138	сих пор	1	3
139	но это	3	3
140	не мог	1	3
141	в книге	1	3
142	и для	2	3
143	пор еще	1	3
144	между ними	1	3
145	в искусстве	1	3
146	они не	1	3
147	всем и	1	2
148	и то	5	2
149	тех же	2	2
150	это и	3	2
151	с точки	8	2
152	ведь и	1	2
153	должна быть	5	2
154	с темой	1	2
155	мы не	1	2
156	есть нечто	1	2
157	говорить о	4	2
158	и всякой	2	2
159	но уже	2	2
160	но конечно	1	2
161	но не	6	2
162	то он	1	2
163	дело обстоит	1	2
164	что они	2	2
165	сущности к	1	2
166	точки зрения	14	2
167	что именно	1	2
168	дает нам	2	2
169	хотя и	4	2
170	он не	3	2
171	всех этих	3	2
172	есть именно	1	2
173	в корне	2	2
174	на этом	3	2
175	что все	5	2
176	лишь в	5	2
177	заключается в	2	2
178	самый характер	1	2
179	мы видели	2	2
180	только во	1	2
181	был бы	2	2
182	из этих	1	2
183	и сейчас	2	2
184	в своей	2	2
185	мы находим	1	2
186	борьбу с	1	2
187	их в	1	2
188	для этого	3	2
189	в таких	3	2
190	тогда когда	1	2
191	для всего	1	2
192	так что	1	2
193	связи с	3	2
194	превращается в	2	2
195	не могут	5	2
196	в области	11	2
197	должен быть	5	2
198	данном случае	2	2
199	характер и	2	2
200	и когда	1	2
201	которая была	1	2
202	что дело	1	2
203	возможно что	1	2
204	носит здесь	1	2
205	образом в	2	2
206	но здесь	2	2
207	внимание на	1	2
208	в значительной	1	2
209	между тем	6	2
210	кажется что	1	2
211	тем более	1	2
212	а именно	2	2
213	но с	1	2
214	на сцену	1	2
215	и весьма	1	2
