N	2gram	Tiupa_Lite_3	Retstnzi
1	не может	8	4
2	и в	16	3
3	в центре	1	2
4	один из	2	2
5	если в	1	2
6	нет и	1	1
7	деятельности в	1	1
8	художественного целого	1	1
9	и не	22	1
10	и поэтика	1	1
11	тому что	1	1
12	не только	14	1
13	художественного произведения	2	1
14	связи с	2	1
15	точки зрения	7	1
16	во второй	2	1
17	но и	14	1
18	не менее	2	1
19	с другими	1	1
20	тех же	1	1
21	русской литературы	2	1
22	в школе	1	1
23	по своим	1	1
24	в ней	1	1
25	может и	1	1
26	на месте	1	1
27	в то	9	1
28	с точки	3	1
29	и на	2	1
30	вопрос что	1	1
31	для него	2	1
32	литературного произведения	1	1
33	искусство как	2	1
34	на нее	1	1
35	к тому	6	1
36	а не	12	1
37	может быть	12	1
38	несмотря на	2	1
39	в его	6	1
40	он в	2	1
41	же время	7	1
42	то же	9	1
43	и все	1	1
44	аудитории и	1	1
45	если бы	2	1
46	в каждом	1	1
47	исходя из	1	1
48	бы в	1	1
