N	2gram	Nazirov_Tv_2	KulturaY
1	и т	13	33
2	в том	8	30
3	и в	20	24
4	потому что	7	23
5	том что	4	21
6	т п	2	18
7	что в	7	17
8	было бы	1	15
9	в этом	8	14
10	т д	11	14
11	может быть	8	13
12	все же	5	12
13	таким образом	10	12
14	и не	9	12
15	в его	10	12
16	не в	4	11
17	только в	2	11
18	в самом	3	10
19	не только	13	10
20	в силу	1	10
21	у нас	2	10
22	вовсе не	2	10
23	самом деле	2	9
24	так как	3	9
25	если бы	4	9
26	о том	5	9
27	отношению к	3	9
28	прежде всего	8	9
29	то что	3	9
30	а только	1	8
31	по отношению	3	8
32	уже не	3	8
33	то же	7	8
34	том чтобы	1	8
35	тем что	3	8
36	как раз	1	8
37	а не	6	8
38	не может	7	7
39	это не	7	7
40	в них	1	7
41	не менее	2	7
42	связи с	1	7
43	в области	1	7
44	так и	6	7
45	с другой	2	7
46	как бы	11	7
47	вместе с	3	7
48	только потому	1	6
49	на себе	1	6
50	однако не	1	6
51	в которой	2	6
52	все эти	4	6
53	при этом	8	6
54	в которых	3	6
55	не случайно	2	6
56	можно было	1	6
57	что он	6	6
58	но и	8	6
59	именно в	6	6
60	что же	1	6
61	все это	6	6
62	другой стороны	2	6
63	например в	5	5
64	еще не	5	5
65	xix века	7	5
66	но не	5	5
67	не просто	1	5
68	что это	1	5
69	и с	8	5
70	но уже	3	5
71	рядом с	2	5
72	так сказать	2	5
73	по крайней	2	5
74	русской речи	1	5
75	и его	9	5
76	к тому	1	5
77	в виду	1	5
78	с ним	3	5
79	и что	2	5
80	между тем	3	5
81	а потому	1	5
82	крайней мере	2	5
83	всяком случае	2	5
84	что не	3	5
85	в результате	1	5
86	а в	4	5
87	во всяком	2	5
88	переход от	1	4
89	это и	1	4
90	и на	5	4
91	с его	1	4
92	что они	4	4
93	в рамках	1	4
94	как в	4	4
95	в целом	6	4
96	из этих	1	4
97	роль в	2	4
98	на то	1	4
99	в нем	3	4
100	в первую	1	4
101	того или	1	4
102	и тогда	2	4
103	из области	1	4
104	тем самым	4	4
105	в таких	1	4
106	в русском	1	4
107	и является	1	4
108	к себе	1	4
109	в пределах	1	4
110	что и	1	4
111	с ними	2	4
112	должен быть	1	4
113	так что	2	4
114	не есть	1	4
115	из них	2	4
116	со стороны	1	4
117	до сих	3	4
118	в частности	2	4
