N	3gram	Medvedev_V_1	Poddanst
1	в то же	5	7
2	то же время	5	7
3	не только в	2	4
4	в том что	5	4
5	сами по себе	1	3
6	с одной стороны	2	3
7	в том числе	2	2
8	одной стороны и	2	2
9	и в то	3	2
10	но и в	1	2
11	заключает в себе	1	2
12	в значительной мере	3	2
13	в ней не	1	2
14	чуть ли не	2	1
15	более или менее	6	1
16	в этом смысле	1	1
17	и в качестве	1	1
18	эта не только	1	1
19	и не может	2	1
20	тот или иной	1	1
21	хотя бы и	5	1
22	не было бы	4	1
23	вместе с тем	3	1
24	и есть в	1	1
25	что во всех	1	1
26	в применении к	1	1
27	так же как	1	1
28	по сравнению с	1	1
29	главным образом на	1	1
30	не в том	2	1
31	во всяком случае	1	1
32	с другой стороны	8	1
33	не может быть	8	1
34	та или иная	1	1
35	но в то	1	1
36	мы знаем что	2	1
37	в частности в	2	1
38	для того чтобы	3	1
39	в качестве общего	1	1
40	том числе и	2	1
41	и т д	14	1
