N	2gram	Potebnia_M_3	Analitik
1	не только	21	22
2	тогда как	2	20
3	и в	30	18
4	как и	10	14
5	так и	11	14
6	в этом	10	14
7	и его	4	13
8	но и	19	13
9	том что	18	12
10	и не	15	12
11	при этом	3	11
12	то есть	34	10
13	а в	12	10
14	как бы	3	10
15	что в	17	9
16	может быть	28	9
17	со стороны	3	9
18	а не	15	9
19	в том	32	9
20	со своей	2	8
21	с его	1	8
22	и даже	2	8
23	по отношению	5	7
24	в его	4	7
25	с другой	7	7
26	но не	7	7
27	отношению к	5	7
28	еще не	5	6
29	в этой	2	6
30	он не	4	6
31	в их	2	6
32	не в	15	6
33	к тому	7	6
34	для него	9	6
35	о том	2	6
36	в начале	3	6
37	того же	1	5
38	той же	2	5
39	в самом	8	5
40	лишь в	1	5
41	в слове	32	5
42	однако в	1	5
43	в мире	1	5
44	в сущности	1	5
45	что и	13	5
46	между тем	9	5
47	уже не	6	5
48	и т.п	1	5
49	в свою	3	5
50	прежде всего	3	5
51	я в	1	5
52	не является	1	5
53	в результате	1	5
54	другой стороны	4	5
55	принадлежит к	1	4
56	и на	3	4
57	столь же	4	4
58	а и	4	4
59	что он	6	4
60	в своем	5	4
61	и как	5	4
62	что по	2	4
63	таким образом	14	4
64	по себе	16	4
65	тем самым	7	4
66	в одном	2	4
67	не менее	5	4
68	свою очередь	3	4
69	можно сказать	3	4
70	крайней мере	5	4
71	себя в	1	4
72	не есть	17	4
73	далеко не	4	4
74	по крайней	5	4
75	и а	1	4
76	в данном	1	4
77	все же	2	4
78	перед нами	2	4
79	я и	3	3
80	едва ли	1	3
81	по его	1	3
82	его не	1	3
83	который в	1	3
84	мы не	9	3
85	говорить о	3	3
86	в целом	3	3
87	уже в	5	3
88	в сочетании	1	3
89	здесь не	1	3
90	но как	2	3
91	если в	1	3
92	ответ на	3	3
93	что они	2	3
94	как в	10	3
95	с этим	6	3
96	что касается	1	3
97	из этих	9	3
98	тому же	1	3
99	подобно тому	2	3
100	то же	23	3
101	в каждом	3	3
102	не будет	3	3
103	его в	3	3
104	точки зрения	2	3
105	и без	7	3
106	не столько	2	3
107	все это	4	3
108	в то	10	3
109	только не	2	3
110	ничего не	1	3
111	же время	5	3
112	указывает на	6	3
113	в ее	2	3
114	данном случае	1	3
115	не должно	1	3
116	в произведении	3	3
117	так в	2	3
118	жизнь и	1	3
119	мысль о	5	3
120	именно в	3	3
121	было бы	9	3
122	и е	1	3
123	на языке	1	3
124	во всем	1	3
125	однако с	1	3
126	к содержанию	3	3
127	этом отношении	2	3
128	еще и	1	3
129	что не	8	3
130	не было	4	3
131	не всегда	2	3
132	его как	1	3
133	по поводу	4	3
134	к этому	3	3
135	отношения к	1	2
136	например в	6	2
137	самом деле	2	2
138	в первом	3	2
139	по преимуществу	1	2
140	уже по	1	2
141	есть не	7	2
142	власть над	1	2
143	и он	1	2
144	в ней	8	2
145	во всех	1	2
