N	3gram	Bakhtin_KF_1	UchenyiS
1	в конечном счете	1	4
2	не может быть	11	4
3	в то же	2	3
4	бы то ни	2	3
5	то же время	2	3
6	то ни было	2	3
7	в этом смысле	3	2
8	и то что	1	2
9	в противном случае	1	2
10	хотя бы и	1	2
11	в том что	2	2
12	то же самое	1	2
13	может быть в	3	1
14	на то что	1	1
15	они находятся в	1	1
16	этом смысле можно	1	1
17	не было бы	3	1
18	если не исключительно	1	1
19	только в этом	1	1
20	конечно не в	1	1
21	сводится к следующему	1	1
22	и в то	1	1
23	но в то	1	1
24	все это в	1	1
25	своем месте в	1	1
26	равно как и	1	1
27	но это не	1	1
28	быть не может	1	1
29	о нем но	1	1
30	имеем в виду	2	1
31	на своем месте	2	1
32	не в том	1	1
33	само по себе	1	1
34	но прежде всего	1	1
35	никогда не может	1	1
36	же самое что	1	1
37	правда может быть	1	1
38	он может быть	2	1
