N	2gram	Tiupa_Vved_1	Vvedenie
1	и в	13	32
2	в том	10	31
3	в этом	21	30
4	том что	7	26
5	может быть	18	26
6	не только	20	22
7	того чтобы	1	20
8	таким образом	4	19
9	также и	4	18
10	то что	6	16
11	потому что	5	15
12	не может	7	14
13	но также	2	14
14	в самом	2	13
15	в нем	5	13
16	о том	5	13
17	со стороны	5	13
18	в их	1	12
19	представляет собой	15	12
20	в его	4	12
21	того что	6	12
22	только в	6	12
23	и не	12	12
24	как мы	3	11
25	в ее	1	11
26	в данном	13	11
27	что такое	18	11
28	что в	3	10
29	то же	5	9
30	в истории	1	9
31	но в	6	9
32	по себе	2	9
33	как об	1	9
34	между тем	1	9
35	в той	4	9
36	этом смысле	1	9
37	этого рода	1	9
38	а только	1	8
39	это не	6	8
40	не в	6	8
41	тем не	3	8
42	не менее	4	8
43	с другой	5	8
44	самом деле	3	7
45	но не	5	7
46	все же	6	7
47	было бы	4	7
48	точки зрения	1	7
49	можно было	2	7
50	дело с	2	7
51	прежде всего	7	7
52	о котором	2	7
53	из этих	3	6
54	как он	2	6
55	том чтобы	2	6
56	с тем	1	6
57	как и	11	6
58	представить себе	2	6
59	вовсе не	1	6
60	в то	4	6
61	в качестве	8	6
62	же время	3	6
63	тем что	2	6
64	один из	3	6
65	и его	5	6
66	и даже	1	6
67	но и	19	6
68	а именно	1	6
69	все это	1	6
70	хотя бы	1	6
71	одним из	5	5
72	мере в	2	5
73	а как	1	5
74	в целом	3	5
75	иное как	1	5
76	с их	1	5
77	так например	1	5
78	об этом	4	5
79	и тем	2	5
80	данном случае	6	5
81	в них	2	5
82	но если	1	5
83	в которых	1	5
84	сказать что	1	5
85	могут быть	4	5
86	имеет дело	1	5
87	так что	1	5
88	уже в	1	5
89	представляют собой	3	5
90	что не	1	5
91	на этот	1	5
92	а не	15	5
93	по своему	2	5
94	в течение	1	5
95	как бы	4	5
96	той мере	2	5
97	другой стороны	2	5
98	в какой	4	5
99	вместе с	1	5
100	как это	1	4
101	в первом	2	4
102	той же	1	4
103	мы имеем	5	4
104	язык как	2	4
105	что иное	1	4
106	по отношению	7	4
107	как уже	1	4
108	уже не	5	4
109	в себе	5	4
110	должен был	1	4
111	в своей	5	4
112	в котором	8	4
113	по крайней	1	4
114	как о	2	4
115	не имеет	2	4
116	в разных	1	4
117	в тексте	10	4
118	только с	1	4
119	это только	2	4
120	и т.д	5	4
121	времени и	7	4
122	внимание на	3	4
123	и что	1	4
124	крайней мере	1	4
125	как она	1	4
126	еще не	7	4
127	что он	1	4
128	и ее	1	4
129	с одной	5	4
130	в виде	1	4
131	всяком случае	1	4
132	само по	1	4
133	как раз	2	4
134	этом отношении	4	4
135	в особенности	1	4
136	что могло	1	4
137	одной стороны	5	4
138	или иначе	2	4
139	по мере	1	4
140	еще и	1	4
141	о чем	2	4
142	этом случае	1	4
143	и для	3	4
144	только что	1	4
145	а в	6	4
146	конфликт между	1	4
147	не что	1	4
148	отношению к	7	4
149	во всяком	1	4
150	как история	1	3
151	в сущности	1	3
152	говорить о	2	3
153	не вполне	3	3
154	в виду	1	3
155	и на	3	3
156	он сам	1	3
157	своего рода	10	3
158	ответ на	1	3
159	в центре	2	3
160	стороны и	1	3
161	однако не	1	3
162	хотя и	7	3
163	и к	2	3
164	за собой	1	3
165	бы и	4	3
166	что это	1	3
167	все эти	1	3
168	в этой	1	3
169	что она	1	3
170	как оно	2	3
171	при этом	26	3
172	если бы	7	3
173	не как	2	3
174	вообще не	1	3
175	на этом	1	3
176	в работе	1	3
177	второй половины	1	3
178	мы видели	2	3
179	в этих	3	3
180	от себя	1	3
181	и вот	1	3
182	однако в	4	3
183	текста и	3	3
184	дело не	1	3
185	своей природе	2	3
186	связи с	1	3
187	как будто	4	3
188	в области	3	3
189	прошлом и	1	3
190	должен быть	1	3
191	в ней	4	3
192	на том	1	3
193	что может	1	3
194	можно сказать	4	3
195	а также	8	3
196	времени в	3	3
197	в конечном	1	3
198	к нему	1	3
199	может оказаться	1	3
200	в начале	3	3
201	из них	1	3
202	в одном	1	3
203	в конце	1	3
204	что и	2	3
205	отношение к	2	3
206	может служить	4	3
207	в текстах	2	3
208	или меньшей	1	3
209	до конца	3	3
210	только по	1	3
211	зависит от	2	3
212	так называемой	1	3
213	так же	1	3
214	в строгом	1	3
215	такого рода	16	3
216	что же	3	3
217	да и	1	3
218	большей или	1	3
219	материал для	1	3
220	в своем	5	3
221	но с	1	3
222	каждой из	1	3
223	к тому	6	3
224	в результате	3	3
225	культуры в	1	3
226	к этому	2	3
227	в частности	13	3
228	гораздо более	1	3
229	это делает	1	2
230	и до	1	2
231	должна быть	2	2
232	что мы	2	2
233	мы не	4	2
234	жизни как	1	2
235	того же	1	2
236	в каждой	1	2
237	природы и	1	2
238	при жизни	1	2
239	тогда как	10	2
240	можно представить	1	2
241	но пока	1	2
242	так называемая	1	2
243	сам же	1	2
244	в этот	2	2
245	применительно к	1	2
246	большей части	3	2
247	ни одна	1	2
248	всего к	1	2
249	что к	1	2
250	не следует	3	2
251	задний план	1	2
252	о которой	2	2
253	в принципе	1	2
254	не к	4	2
255	в силу	2	2
256	подобно тому	2	2
257	и наоборот	1	2
258	и с	2	2
259	них не	1	2
260	входит в	1	2
