N	3gram	Bakhtin_Pr_1	UchenyiS
1	в конечном счете	4	4
2	не может быть	11	4
3	с другой стороны	4	3
4	то же время	3	3
5	бы то ни	3	3
6	в то же	3	3
7	то ни было	2	3
8	а между тем	1	2
9	не могут быть	2	2
10	в художественном творчестве	9	2
11	в самом деле	3	2
12	в этом смысле	3	2
13	то же самое	2	2
14	до сих пор	1	2
15	хотя бы и	1	2
16	в этом отношении	2	2
17	в художественном произведении	4	2
18	в том что	3	2
19	в противном случае	3	2
20	и в частности	2	2
21	может быть обоснована	1	2
22	эстетики словесного творчества	1	1
23	все что угодно	1	1
24	художественное произведение как	1	1
25	содержания и формы	1	1
26	в искусстве форма	1	1
27	эстетикой словесного художественного	1	1
28	и в их	1	1
29	не в том	1	1
30	все они в	1	1
31	быть эстетикой словесного	1	1
32	равно как и	1	1
33	в его эстетической	1	1
34	на первый план	2	1
35	нет и быть	1	1
36	и в то	2	1
37	в эстетический объект	12	1
38	не входит в	4	1
39	никогда не может	2	1
40	ориентация на материал	1	1
41	и независимо от	1	1
42	не было бы	1	1
43	с тем что	1	1
44	словесного художественного творчества	2	1
45	и прежде всего	5	1
46	но конечно не	1	1
47	должна быть эстетикой	1	1
48	можно сказать что	2	1
49	у нас в	1	1
50	на то что	1	1
51	эстетического объекта и	4	1
52	язык в его	1	1
53	не может обойтись	1	1
54	и быть не	1	1
55	художественного произведения как	1	1
56	конечно не в	1	1
57	входит в эстетический	2	1
58	которые могли бы	1	1
59	и не ставит	1	1
60	быть не может	1	1
61	художественное творчество и	3	1
62	что все они	1	1
63	в данном случае	4	1
64	эстетического объекта в	5	1
65	дело конечно не	1	1
66	но в то	1	1
67	не только в	2	1
68	в области словесного	1	1
69	с одной стороны	3	1
