N	3gram	Tiupa_Disk_1	Psycholo
1	в том что	13	12
2	о том что	5	10
3	то же самое	2	6
4	на то что	1	6
5	на самом деле	1	5
6	с самого начала	1	5
7	и может быть	1	4
8	с точки зрения	1	4
9	что он не	1	4
10	том что он	1	3
11	сами по себе	2	3
12	в том чтобы	2	3
13	несет в себе	1	3
14	во всяком случае	1	3
15	заключается в том	1	3
16	это и есть	1	3
17	до сих пор	1	3
18	с одной стороны	9	3
19	внимание на то	1	2
20	о том как	1	2
21	сам по себе	1	2
22	во всех этих	1	2
23	вместе с тем	1	2
24	с другой стороны	3	2
25	именно в том	1	2
26	в нем нет	1	2
27	речь идет о	1	2
28	к тому же	4	2
29	мы можем обозначить	1	1
30	быть определена как	3	1
31	а не в	2	1
32	нельзя как нельзя	1	1
33	по отношению к	9	1
34	последовательности в какой	1	1
35	подобно тому как	2	1
36	также и в	1	1
37	в том и	1	1
38	том что на	1	1
39	что не имея	2	1
40	или во всяком	1	1
41	но далеко не	1	1
42	в таком случае	1	1
43	только то что	1	1
44	из того что	1	1
45	то же время	4	1
46	и не может	1	1
47	так например в	1	1
48	мысли о том	1	1
49	и что это	1	1
50	при таком взгляде	1	1
51	в том или	1	1
52	как и всякий	1	1
53	уже одно это	1	1
54	и в то	1	1
55	а с другой	3	1
56	в свою очередь	3	1
57	дело в том	1	1
58	для правильного понимания	1	1
59	а не только	2	1
60	может быть определена	2	1
61	в целом ряде	1	1
62	при этом как	1	1
63	не может быть	3	1
64	одной стороны он	1	1
65	в истории литературы	1	1
66	то есть в	2	1
67	когда указывает на	1	1
68	не только в	2	1
69	в конечном счете	1	1
70	можно сказать что	2	1
71	уже в конце	1	1
72	в евгении онегине	1	1
73	она отличается от	1	1
74	в этом смысле	1	1
75	в то же	3	1
76	том или ином	1	1
77	может быть в	1	1
78	несмотря на все	1	1
79	иначе говоря мы	1	1
