N	3gram	Nazirov_Tv_1	NovoeSre
1	в наше время	2	3
2	не значит что	1	3
3	равно как и	1	2
4	он не может	1	2
5	вместе с тем	1	2
6	с одной стороны	1	2
7	это не значит	1	2
8	с другой стороны	1	2
9	исторической эпохи и	1	2
10	и того же	1	1
11	прежде всего они	1	1
12	по своему духовному	1	1
13	одного и того	1	1
14	потому что не	1	1
15	до сих пор	1	1
16	сами по себе	1	1
17	в отличие от	1	1
18	в свою противоположность	2	1
19	не менее чем	1	1
20	заключает в себе	1	1
21	людей и от	1	1
22	от других людей	2	1
23	быть понята как	1	1
24	не только в	2	1
25	к вопросу о	1	1
26	но она не	1	1
27	в известном смысле	1	1
28	не могут быть	1	1
29	от жизни в	1	1
30	к этой теме	1	1
31	я не могу	1	1
32	до этого быть	1	1
33	переходит в свою	2	1
34	века с ее	1	1
35	о том что	5	1
36	то что в	1	1
37	других людей и	1	1
38	это значит что	1	1
39	он создает себе	1	1
40	в том что	6	1
41	добро и зло	1	1
42	как и в	1	1
