N	3gram	Tiupa_Narr_2	Mirosoze
1	не может быть	2	17
2	но и в	2	4
3	и потому не	1	3
4	не может не	1	2
5	по отношению к	5	2
6	до сих пор	1	2
7	и не может	2	2
8	в том смысле	1	2
9	то время как	1	2
10	не только в	6	2
11	в нем не	1	2
12	а не только	1	2
13	в то время	1	2
14	для того чтобы	1	2
15	на том что	1	1
16	что иное как	1	1
17	не только художественная	1	1
18	в которых он	1	1
19	к жизни в	1	1
20	в себе самом	2	1
21	в самом деле	1	1
22	в зависимости от	1	1
23	и он не	1	1
24	в отличие от	5	1
25	и быть может	1	1
26	и т п	2	1
27	ни у кого	1	1
28	что есть на	1	1
29	настаивать на том	1	1
30	не несет в	1	1
31	это прежде всего	1	1
32	него и по	1	1
33	по сравнению с	1	1
34	по природе своей	1	1
35	не в том	1	1
36	несет в себе	1	1
37	я верю в	1	1
38	во всяком случае	1	1
39	к ней в	2	1
40	как бы в	2	1
41	как бы не	1	1
42	но в конце	1	1
43	с того что	1	1
44	жизни а не	1	1
45	не мог быть	1	1
46	о том что	4	1
47	не что иное	1	1
48	можно было бы	1	1
49	не знает и	1	1
50	в том что	8	1
