N	3gram	Medvedev_F_3	RusskieA
1	в том что	3	18
2	в этом случае	1	6
3	в данном случае	4	6
4	для того чтобы	4	6
5	т е в	1	5
6	и т д	6	5
7	вместе с тем	3	4
8	и в других	1	4
9	так же как	1	4
10	о том что	1	4
11	мы видели что	2	4
12	том что это	1	3
13	в этих случаях	1	3
14	в отличие от	2	3
15	не может быть	14	3
16	подобно тому как	4	3
17	тем не менее	2	2
18	на самом же	2	2
19	тому как в	1	2
20	может быть только	2	2
21	самом же деле	2	2
22	мы не можем	2	2
23	с одной стороны	1	2
24	кроме того в	1	2
25	для нас важно	1	1
26	потому что он	3	1
27	что при этом	1	1
28	не могла быть	1	1
29	с таким же	2	1
30	нужно иметь в	1	1
31	иметь в виду	1	1
32	в виду что	1	1
33	но так как	1	1
34	в настоящее время	1	1
35	но в данном	1	1
36	т е не	1	1
37	в том же	1	1
38	о том как	2	1
39	для нас важны	1	1
40	указывает что в	1	1
41	между тем как	1	1
42	в этом отношении	3	1
43	из того что	1	1
44	а вместе с	1	1
45	такой же степени	1	1
46	можно было бы	1	1
47	если бы герой	1	1
48	одна из них	1	1
49	они вместе с	2	1
50	а иногда и	1	1
51	в предыдущей главе	1	1
52	в это время	1	1
53	во всяком случае	6	1
54	смысле этого слова	2	1
55	те или другие	1	1
56	т е на	1	1
57	в такой же	1	1
58	дело в том	2	1
59	том что они	1	1
60	с другой стороны	5	1
61	и для них	2	1
62	и в том	1	1
63	все то что	1	1
64	может быть принята	1	1
65	он был бы	1	1
66	не только на	1	1
67	можно сказать что	1	1
68	с тем и	1	1
69	на то что	1	1
70	совершенно очевидно что	1	1
71	дело не в	2	1
72	мы уже знаем	2	1
73	как и в	1	1
74	как мы видели	2	1
75	в двух направлениях	1	1
