N	3gram	Medvedev_U_1	Problema
1	в том что	2	9
2	и то что	2	7
3	в данном случае	1	7
4	то же самое	2	7
5	сам по себе	1	6
6	с другой стороны	3	5
7	в этом случае	1	5
8	по крайней мере	2	5
9	не может быть	4	5
10	в то же	3	4
11	или по крайней	1	4
12	бы то ни	3	4
13	тех или иных	2	4
14	но даже и	2	4
15	в первую очередь	1	3
16	в конце концов	2	3
17	то ни было	3	3
18	не было бы	1	3
19	само по себе	1	3
20	на первый план	1	2
21	литературы и искусства	1	2
22	что мы можем	1	2
23	и в частности	2	2
24	можно сказать что	1	2
25	до сих пор	2	2
26	у нас в	1	2
27	не только в	1	2
28	на первый взгляд	1	2
29	так или иначе	1	1
30	может быть в	1	1
31	с одной стороны	1	1
32	тем что он	1	1
33	равно как и	1	1
34	но это не	1	1
35	в той же	1	1
36	с тем что	1	1
37	несомненно и то	1	1
38	и не только	1	1
39	и все они	1	1
40	и в этой	2	1
41	на то что	1	1
42	этом случае он	1	1
43	более или менее	1	1
44	понятие формы и	1	1
45	при таком понимании	1	1
46	прежде всего что	1	1
47	в самом деле	2	1
48	в художественном произведении	2	1
49	но если нет	1	1
50	все же не	1	1
51	никогда и не	1	1
52	художественное произведение как	1	1
53	что для него	1	1
54	нам представляется что	1	1
55	не в буквальном	1	1
56	это было бы	1	1
