N	2gram	Berdyaev_O_1	SlovoVZh
1	не может	4	16
2	может быть	11	14
3	как бы	3	13
4	и его	4	13
5	и в	19	12
6	и не	13	10
7	если бы	1	9
8	так как	2	9
9	прежде всего	9	8
10	сказать что	2	7
11	в ней	1	6
12	в том	5	6
13	в нем	10	6
14	все время	1	6
15	в процессе	1	6
16	должна быть	1	5
17	в виду	1	5
18	как в	1	5
19	но в	2	5
20	в жизни	1	5
21	а не	11	5
22	как и	6	5
23	том что	2	5
24	никогда не	9	5
25	хотя бы	3	5
26	то что	5	5
27	на самом	1	4
28	к нему	3	4
29	в этом	12	4
30	все же	2	4
31	в самом	5	4
32	уже не	1	4
33	не только	11	4
34	отношение к	5	4
35	от того	1	4
36	так и	2	4
37	что не	4	4
38	не в	11	4
39	его в	2	4
40	дело в	1	4
41	и к	2	4
42	жизни и	1	4
43	и на	2	4
44	самом деле	1	3
45	в котором	1	3
46	еще не	3	3
47	мы не	1	3
48	о том	3	3
49	но и	13	3
50	нуждается в	1	3
51	того что	3	3
52	когда он	3	3
53	и ее	3	3
54	все эти	4	3
55	в себе	3	3
56	да и	1	3
57	в творчестве	5	3
58	для него	5	3
59	он должен	1	3
60	и с	2	3
61	и пр	1	3
62	в них	1	3
63	в своей	2	3
64	художественного творчества	1	3
65	как к	2	3
66	и более	1	3
67	по себе	2	3
68	все это	6	3
69	и для	2	3
70	ее и	1	3
71	с ним	3	3
72	отношении к	1	3
73	и то	2	2
74	как это	1	2
75	но тем	1	2
76	и самое	1	2
77	ко всем	2	2
78	по природе	1	2
79	и здесь	1	2
80	с его	4	2
81	и что	1	2
82	в его	7	2
83	что и	2	2
84	в форме	1	2
85	в своем	2	2
86	и потому	2	2
87	уже в	2	2
88	в душе	2	2
89	он не	7	2
90	не так	1	2
91	в корне	1	2
92	из него	1	2
93	на примере	1	2
94	это не	3	2
95	до конца	7	2
96	его как	1	2
97	была бы	1	2
98	связь с	1	2
99	нет ничего	7	2
100	в отношении	1	2
101	к его	1	2
102	но не	1	2
103	она не	1	2
104	ничего не	2	2
105	и все	10	2
106	в этих	3	2
107	есть уже	1	2
108	но это	1	2
109	человеческого общества	1	2
110	от всех	1	2
111	могут быть	3	2
112	что в	4	2
113	бы даже	1	2
114	не есть	2	2
115	к этому	2	2
116	и это	1	1
117	ту же	1	1
118	например в	1	1
119	и о	2	1
120	чтобы не	1	1
121	момент в	2	1
122	сам по	1	1
123	при чтении	2	1
124	характер и	1	1
125	тем же	1	1
126	не хочет	1	1
127	когда человек	1	1
128	не те	1	1
129	не имеют	1	1
130	и больше	1	1
131	противоречит самым	1	1
132	умирает в	2	1
133	можно было	1	1
134	бы эта	1	1
135	та же	1	1
136	и ценности	1	1
137	к другу	1	1
138	собственно в	1	1
139	не вполне	1	1
140	и он	8	1
141	вопросу о	1	1
142	все в	4	1
143	друг к	1	1
144	то в	1	1
145	к которой	1	1
146	себе и	1	1
147	отметить что	1	1
148	и можно	1	1
149	что они	2	1
150	природы это	1	1
151	в одной	1	1
152	так для	1	1
153	и мир	1	1
154	как например	1	1
155	хотя и	2	1
156	нему как	1	1
157	ли он	1	1
158	чего же	1	1
159	дано еще	1	1
160	и светом	1	1
161	что это	1	1
162	было дано	1	1
163	и идеологических	1	1
164	в эти	1	1
165	думать что	1	1
166	может с	1	1
167	что она	1	1
168	на этих	1	1
169	его и	1	1
170	одно из	2	1
171	всяком случае	1	1
172	ведь это	2	1
173	в одном	1	1
174	и вот	3	1
175	вовсе не	1	1
176	у нее	1	1
177	у него	22	1
178	природой и	1	1
179	нее не	1	1
180	даже и	2	1
181	что все	2	1
182	в другом	2	1
183	явление а	1	1
184	и из	2	1
185	должно быть	2	1
186	было бы	3	1
187	не совпадает	1	1
188	и прежде	1	1
189	она стала	1	1
190	кажется что	1	1
191	но есть	1	1
192	что для	2	1
193	говорит о	1	1
194	во внутренней	1	1
195	одного только	2	1
196	не было	9	1
197	а с	1	1
198	из подполья	11	1
199	и самый	1	1
200	в ее	2	1
201	о чем	1	1
202	него не	2	1
203	же не	1	1
204	в истории	2	1
205	и тогда	1	1
206	со всей	1	1
207	но можно	1	1
208	места в	1	1
209	пределы искусства	1	1
210	в идиоте	4	1
211	в частности	1	1
212	видели в	1	1
213	то он	1	1
214	все основные	1	1
215	было такой	1	1
216	и без	1	1
217	к одному	1	1
218	не могут	3	1
219	и менее	1	1
220	его творчество	1	1
221	природу и	1	1
222	с которой	2	1
223	в русской	3	1
224	в науке	1	1
225	она должна	1	1
226	отрешиться от	1	1
227	он еще	1	1
228	стала возможной	1	1
229	того чтобы	4	1
230	не существует	1	1
231	человека для	1	1
232	человек и	4	1
233	только и	4	1
234	к одной	1	1
235	особого рода	1	1
236	это часто	1	1
237	от него	7	1
238	еще более	1	1
239	по своей	1	1
240	как будто	1	1
241	этом отношении	1	1
242	жизни в	2	1
243	записок из	5	1
244	у нас	1	1
245	виду не	1	1
246	и эта	1	1
247	во всяком	1	1
248	сторон и	1	1
