N	3gram	Trubetskoy_1	NovoeSre
1	в высшей степени	1	6
2	не может быть	3	4
3	никогда не было	1	2
4	он не может	2	2
5	вместе с тем	2	2
6	так же как	3	2
7	с одной стороны	2	2
8	с другой стороны	4	2
9	ни одна из	1	2
10	в том и	2	2
11	и того же	3	1
12	и в жизни	1	1
13	в своем развитии	3	1
14	народ не может	1	1
15	а не в	1	1
16	то время как	1	1
17	не будет знать	1	1
18	и до сих	1	1
19	одного и того	3	1
20	народа должно быть	1	1
21	в том числе	1	1
22	человеком хотя и	1	1
23	до сих пор	8	1
24	и не может	1	1
25	что он может	1	1
26	том случае если	4	1
27	в зависимости от	1	1
28	о том чтобы	2	1
29	в основе их	1	1
30	в жизни некоторых	1	1
31	том числе и	1	1
32	в то что	1	1
33	и для того	1	1
34	заключает в себе	2	1
35	не знает что	1	1
36	можно было бы	1	1
37	в том случае	4	1
38	не будет уже	1	1
39	к тем началам	1	1
40	к одному из	1	1
41	не в том	1	1
42	который можно назвать	1	1
43	в нем не	1	1
44	во всяком случае	2	1
45	лишь в том	5	1
46	я не могу	1	1
47	борьбы за существование	1	1
48	о том что	4	1
49	в то время	2	1
50	но для этого	1	1
51	та или иная	1	1
52	в этом я	1	1
53	должна быть признана	1	1
54	и все они	1	1
55	которые могут быть	1	1
56	того же процесса	1	1
57	совершенно так же	4	1
58	которые они считают	1	1
59	общество и государство	1	1
60	в том что	15	1
61	себя на место	1	1
62	того чтобы быть	2	1
63	как и в	2	1
