N	2gram	Trubetskoy_1	Morfolog
1	может быть	16	52
2	и пр	1	40
3	таким образом	31	20
4	не может	17	17
5	в этих	3	16
6	могут быть	1	15
7	с этим	11	14
8	и в	23	13
9	в этом	12	13
10	так как	7	12
11	перед нами	1	11
12	связи с	4	11
13	чаще всего	1	11
14	мы видим	1	11
15	видим что	1	10
16	заметить что	1	10
17	то же	4	9
18	так и	10	9
19	этом случае	4	9
20	прежде всего	3	9
21	а не	1	9
22	в связи	3	9
23	и не	8	9
24	а затем	2	8
25	при помощи	3	8
26	что и	7	8
27	с другой	6	8
28	по существу	6	8
29	в результате	9	8
30	вопрос о	3	7
31	в качестве	1	7
32	представляет собою	2	7
33	в тех	3	7
34	все же	13	7
35	но если	2	7
36	но не	2	6
37	это не	3	6
38	не могут	4	6
39	составные части	1	6
40	в том	30	6
41	а в	3	6
42	мы не	1	5
43	во всех	10	5
44	то что	18	5
45	далеко не	5	5
46	не менее	7	5
47	потому что	9	5
48	иногда в	1	5
49	образом мы	1	5
50	один из	1	5
51	если мы	4	5
52	наряду с	1	5
53	как бы	10	5
54	и другие	1	5
55	также и	2	4
56	тех же	2	4
57	то это	1	4
58	что его	4	4
59	если в	1	4
60	как в	1	4
61	хотя и	4	4
62	и как	1	4
63	ни одна	1	4
64	не только	7	4
65	на его	1	4
66	на этом	2	4
67	его в	5	4
68	было бы	3	4
69	вовсе не	2	4
70	как и	9	4
71	несмотря на	6	4
72	точки зрения	13	4
73	с точки	8	4
74	тем не	4	4
75	на котором	1	4
76	ничего не	1	4
77	тем что	1	4
78	в других	1	4
79	как мы	2	4
80	раньше чем	1	4
81	по отношению	9	4
82	случае не	1	4
83	и затем	1	4
84	другой стороны	5	4
85	так же	8	4
86	на пути	1	4
87	а если	1	4
88	оно может	1	4
89	отношению к	9	4
90	что в	8	4
91	самом деле	12	3
92	на самом	7	3
93	в первом	1	3
94	и для	6	3
95	между собой	4	3
96	из приведенных	1	3
97	заметим что	2	3
98	вступают в	2	3
99	независимо от	2	3
100	целый ряд	4	3
101	но в	4	3
102	в целом	5	3
103	в нашем	3	3
104	он должен	2	3
105	и по	3	3
106	но все	5	3
107	входит в	1	3
108	из них	5	3
109	сам он	1	3
110	в один	2	3
111	том что	19	3
112	в то	6	3
113	в сущности	2	3
114	на него	2	3
115	того чтобы	8	3
116	от того	3	3
117	на нем	1	3
118	большей частью	1	3
119	если бы	8	3
120	но и	9	3
121	он не	3	3
122	во втором	2	3
123	к нему	2	3
124	и ее	2	3
125	не происходит	1	3
126	рассматриваться как	3	3
127	в начале	2	3
128	а то	1	3
129	друг друга	2	3
130	мы можем	6	3
131	что они	2	3
132	для этой	1	3
133	из которых	4	3
134	последнем случае	1	3
135	кроме того	1	3
136	мы должны	4	3
137	только что	3	3
138	если же	3	3
139	можно назвать	3	3
140	смысле слова	1	2
141	тем же	2	2
142	что эти	2	2
143	что многие	2	2
144	время как	1	2
145	мы получаем	1	2
146	совсем не	1	2
147	друг на	1	2
148	а с	4	2
149	и таким	1	2
150	первый взгляд	1	2
