N	3gram	Nazirov_Vr_1	Sovremen
1	с точки зрения	2	5
2	не может быть	2	4
3	тем не менее	1	2
4	во всяком случае	1	2
5	в свою очередь	1	2
6	с помощью которых	1	2
7	может быть и	1	2
8	можно говорить об	1	1
9	быть и речи	1	1
10	в известном смысле	1	1
11	и в этом	1	1
12	по крайней мере	1	1
13	в связи с	3	1
14	равно как и	1	1
15	в этом смысле	1	1
16	так же как	1	1
17	шаг за шагом	1	1
18	не было бы	1	1
19	и все же	5	1
20	до сих пор	1	1
21	то же время	4	1
22	и в то	1	1
23	что в ней	1	1
24	и не может	1	1
25	все же в	1	1
26	стремится быть объективным	1	1
27	но мы знаем	1	1
28	в то же	4	1
29	в том что	2	1
30	и во всей	1	1
31	на этот раз	1	1
