N	4gram	Savitsky_E_1	Myslijsy
1	одного и того же	1	6
2	в то время как	1	3
3	в то же время	14	2
4	не заключает в себе	1	2
5	на то что в	1	2
6	и связанное с ним	1	1
7	с одной стороны и	6	1
8	между тем в одном	1	1
9	и та и другая	1	1
10	но само по себе	1	1
11	в том смысле что	1	1
12	и во многих других	1	1
13	что само по себе	1	1
14	и то и другое	1	1
15	один и тот же	1	1
16	бы то ни было	4	1
17	в том случае если	1	1
18	само по себе не	2	1
19	в большей или меньшей	1	1
20	дело в том что	1	1
21	можно сказать даже что	1	1
