N	2gram	Losev_Dial_4	Russkaja
1	не может	11	22
2	и не	30	19
3	в том	11	17
4	в этом	11	17
5	и в	15	14
6	то что	16	13
7	то же	9	11
8	точки зрения	14	11
9	таким образом	5	11
10	в то	6	10
11	же время	6	10
12	но и	4	10
13	в себе	8	9
14	не только	8	9
15	том что	10	9
16	с точки	9	9
17	может быть	17	9
18	церкви и	1	9
19	во всяком	2	9
20	того чтобы	5	8
21	прежде всего	11	8
22	как на	1	8
23	отнюдь не	4	7
24	и если	3	7
25	к богу	1	7
26	и с	4	7
27	в данном	3	7
28	не будет	2	7
29	о том	5	7
30	мы должны	4	7
31	в своем	5	6
32	с тем	4	6
33	в своих	1	6
34	и при	2	6
35	если бы	6	6
36	все это	9	6
37	и для	5	6
38	для того	5	6
39	что он	7	6
40	для всех	3	6
41	на самом	1	6
42	а между	1	5
43	вопрос о	2	5
44	и на	5	5
45	во всех	2	5
46	на то	5	5
47	в нем	5	5
48	при этом	2	5
49	он не	1	5
50	он должен	1	5
51	было бы	9	5
52	в своей	3	5
53	никогда не	2	5
54	потому что	10	5
55	и только	2	5
56	только в	7	5
57	хотя бы	4	5
58	конечно не	2	5
59	или иной	1	5
60	себя и	3	5
61	из которых	3	5
62	по существу	1	5
63	а в	1	5
64	жизни в	1	5
65	и то	3	4
66	себе и	2	4
67	себя в	2	4
68	все же	2	4
69	не в	8	4
70	в этой	4	4
71	тому чтобы	1	4
72	то ни	4	4
73	том случае	1	4
74	его в	1	4
75	как и	7	4
76	в их	3	4
77	тогда когда	5	4
78	во всем	2	4
79	от того	2	4
80	не могут	2	4
81	идет речь	4	4
82	можно было	1	4
83	в его	4	4
84	так как	14	4
85	со стороны	3	4
86	вместе с	2	4
87	он будет	1	4
88	что же	2	4
89	как бы	14	4
90	в другое	1	4
91	возможно лишь	2	4
92	жизни и	4	4
93	что в	7	4
94	все что	2	4
95	и т	17	3
96	сил и	1	3
97	то в	5	3
98	и этот	1	3
99	так чтобы	3	3
100	говорить о	11	3
101	и ни	2	3
102	еще не	4	3
103	он сам	1	3
104	из этих	2	3
105	что они	4	3
106	в самом	2	3
107	что это	13	3
108	ни одна	2	3
109	главным образом	2	3
110	на том	1	3
111	и по	2	3
112	лишь в	2	3
113	о которых	1	3
114	должно быть	2	3
115	всех этих	1	3
116	но если	5	3
117	знаем что	1	3
118	можно ли	1	3
119	одна из	1	3
120	связи с	1	3
121	то это	1	3
122	что оно	7	3
123	той или	4	3
124	приходит к	1	3
125	что все	4	3
126	данном случае	1	3
127	может только	2	3
128	что может	1	3
129	для этого	2	3
130	может не	1	3
131	но мы	2	3
132	и во	2	3
133	что и	6	3
134	что бы	1	3
135	в лучшем	1	3
136	того что	13	3
137	одной из	2	3
138	в качестве	2	3
139	с нею	1	3
140	в виде	3	3
141	из них	2	3
142	в конце	1	3
143	себя от	1	3
144	тем что	2	3
145	именно в	5	3
146	только к	1	3
147	что для	1	3
148	не было	2	3
149	ко всем	1	3
150	и потому	3	3
151	да и	2	3
152	этом случае	1	3
153	при условии	2	3
154	лучшем случае	1	3
155	она может	1	3
156	или в	7	3
157	о котором	1	3
158	конце концов	1	3
159	и как	4	3
160	ибо в	1	3
161	все они	1	3
162	не есть	40	3
163	из этого	1	3
164	случае если	1	3
165	себя как	3	2
166	речь идет	1	2
167	говоря о	1	2
168	и есть	19	2
169	должна быть	7	2
170	видеть в	1	2
171	но она	1	2
172	в ней	5	2
173	или от	22	2
174	чуда и	1	2
175	они будут	1	2
176	именно на	1	2
177	не просто	7	2
178	друг от	1	2
179	сама по	5	2
180	с этим	3	2
181	помнить что	1	2
182	целый ряд	1	2
183	и наконец	3	2
184	но в	3	2
185	не можем	1	2
186	это есть	13	2
187	а во-вторых	1	2
188	все эти	3	2
189	это учение	2	2
190	этой личности	2	2
191	и тот	1	2
192	раз навсегда	1	2
193	и вот	11	2
194	чтобы в	1	2
195	мы уже	3	2
196	того или	2	2
197	этот человек	1	2
198	по себе	13	2
199	и тем	6	2
200	на основании	3	2
201	и тогда	2	2
202	нисколько не	2	2
203	что такое	5	2
204	в котором	2	2
205	этой третьей	1	2
206	место в	1	2
207	в силу	4	2
208	друг другу	1	2
209	и более	1	2
210	их в	1	2
